job_order,arm_id,model_seed,attempt_n,status,selected_epoch,selected_validation_early_rankic,optimizer_step_n,data_pass_n,batch_size,parameter_n,peak_vram_bytes,wall_seconds,checkpoint_path,checkpoint_byte_sha256,checkpoint_semantic_sha256,selection_worker_exit_record_sha256
0,G0_CURRENT_X0_COUPLED,20260713,1,complete,8,0.005949575429699258,10488,18,256,140741,555745280,856.2239388779999,training/checkpoints/G0_CURRENT_X0_COUPLED/seed_20260713/state_dict.pt,1517fd270a76c5041cb61fb209ef5b0805e7ed203ed0e85463a8f701b6ee85c2,cd82c881c535500e1c6f4b93184605f0a8a5fa24f3de15ed0df698a832ce31cd,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
1,G0_CURRENT_X0_COUPLED,20260714,1,complete,16,0.009829404192532967,20976,26,256,140741,555745280,1220.1076569569996,training/checkpoints/G0_CURRENT_X0_COUPLED/seed_20260714/state_dict.pt,37f50e7ec7f7793752ea7e6964baa7e30913b4e5d1565473e6bb25e6757c443d,e1678f1f31fb6837cc0d7449a64b08b65f2fbe48411d2b6843acaf6a1218fcfd,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
2,G0_CURRENT_X0_COUPLED,20260715,1,complete,3,0.008025732739492664,3933,13,256,140741,555745280,627.955332077996,training/checkpoints/G0_CURRENT_X0_COUPLED/seed_20260715/state_dict.pt,c8a7f85cdeaf1393b2658a101d7b8e7517926c2cfc7dc38eb16d00b74f23bb4b,ff28f8c6ba815dbddec63e3ab2242bf1be3d91e77f408e3b61c3e997f64c16a8,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
3,G1_STOPGRAD_X0_RECON,20260713,1,complete,18,0.007047811081060447,36708,28,256,140741,555745280,1309.5952730830031,training/checkpoints/G1_STOPGRAD_X0_RECON/seed_20260713/state_dict.pt,573d88cabf1ee96a6f4a6ed6716ff54b7071794101acbf83b40ac391e96129a0,b76e52f8efda345de90570f608913fa4b8fe55af0c141d36618ed5e5090f7ce4,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
4,G1_STOPGRAD_X0_RECON,20260714,1,complete,22,0.008347134909504799,41952,32,256,140741,555745280,1510.2971790340089,training/checkpoints/G1_STOPGRAD_X0_RECON/seed_20260714/state_dict.pt,ee766028c62a9a9043b1a8ad018fcbe671a7ebd8520b508b249a6bab88b43dce,09871279a722b3b665f6aec93c8135eb5a407f6b317b09b55cfebcf3064f124b,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
5,G1_STOPGRAD_X0_RECON,20260715,1,complete,3,0.006602663314570153,17043,13,256,140741,555745280,620.7973418180045,training/checkpoints/G1_STOPGRAD_X0_RECON/seed_20260715/state_dict.pt,c967c7e40b0c8192dfaa7bdc7d0b171ef8fe85b186b25e24302d89e7c497ee1b,1b556c8f414cefd1de1ef9eeb2ee1085199c0bf29d2e3165f411a313452b724d,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
6,G2_TEACHER_LATENT_RECON_ORACLE,20260713,1,complete,2,-0.006002012314505202,15732,12,256,140741,555745280,574.6895373949956,training/checkpoints/G2_TEACHER_LATENT_RECON_ORACLE/seed_20260713/state_dict.pt,1d548ad45017d85e6e03037b834f5fec8645c453162a1b7c8dc3b0711a9c17c4,c1ad57a3ed1c62963b4834ee1da6f6d1c8eebf10c0153efaa7858e6ba2f2d992,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
7,G2_TEACHER_LATENT_RECON_ORACLE,20260714,1,complete,39,0.009290244106772145,64239,49,256,140741,555745280,2349.7511753520084,training/checkpoints/G2_TEACHER_LATENT_RECON_ORACLE/seed_20260714/state_dict.pt,59adc2dec725d04eeadbb7080d91ad3fea71c0c05308b8ef930367461d8dbb96,808fee724d0752c4cf9ff72529fd992be1bd236464a04f6064d9c7f4454df083,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
8,G2_TEACHER_LATENT_RECON_ORACLE,20260715,1,complete,13,0.010594450029574808,30153,23,256,140741,555745280,1092.6495375670056,training/checkpoints/G2_TEACHER_LATENT_RECON_ORACLE/seed_20260715/state_dict.pt,0f44c33b0e3e1ea84f9c8ee5eb3d29da53ee8d5b2963ce14c25aaff3ddedd146,ac130590512f0b4ee03c5ca5e04828034e8e3a8a45ea0a975a82ba8bf7b7abff,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
9,A1_MLP_100_STEP,20260713,1,complete,9,0.009061447681437676,24909,19,256,140741,1077936128,2713.2458709430066,training/checkpoints/A1_MLP_100_STEP/seed_20260713/state_dict.pt,8b55e703635b58c4f979c290275e06014181eb49ea3d2e3e53d38b73cbde999f,37f58b0ab3e7faaf7426f2a7ca1004d4ef20b2073aeb988fe6447276cad4d7e8,f08ad75f2e678be54f7d5fd40afbda13595ed2c27cc3ea318c327225fddbb81d
