condition_group_id,winner_event_id,instrument_id,reference_date,split,forward_peak_return,forward_peak_date,missing_reason
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH600362_20250403_000114,SH600362,2025-04-03,robustness,0.5897568372232358,2025-09-17,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH600886_20240122_000226,SH600886,2024-01-22,robustness,0.5041946468468823,2024-07-03,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601100_20240702_000273,SH601100,2024-07-02,robustness,0.5216029551565111,2024-10-08,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601360_20240521_000327,SH601360,2024-05-21,robustness,0.5048543644373911,2024-11-15,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601669_20250122_000354,SH601669,2025-01-22,robustness,0.5329217293411532,2025-07-24,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601689_20241126_000361,SH601689,2024-11-26,robustness,0.5219270873666997,2025-02-06,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601727_20240426_000370,SH601727,2024-04-26,robustness,0.5587582822698209,2024-10-28,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH601985_20240117_000433,SH601985,2024-01-17,robustness,0.5006552604886987,2024-07-19,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH603019_20240509_000443,SH603019,2024-05-09,robustness,0.5557009433620981,2024-11-05,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH603019_20250324_000444,SH603019,2025-03-24,robustness,0.5383920745096609,2025-09-15,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH603501_20240814_000478,SH603501,2024-08-14,robustness,0.5447171455850501,2025-02-18,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH603986_20240723_000502,SH603986,2024-07-23,robustness,0.519615695868948,2025-01-17,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SH603986_20250915_000504,SH603986,2025-09-15,robustness,0.7125925538401123,2026-01-28,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ000776_20240606_000617,SZ000776,2024-06-06,robustness,0.5025381292233573,2024-10-08,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ000807_20250410_000623,SZ000807,2025-04-10,robustness,0.510261852777929,2025-10-09,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ000933_20251015_000639,SZ000933,2025-10-15,robustness,0.6906667073567709,2026-03-12,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ000938_20240807_000643,SZ000938,2024-08-07,robustness,0.5229769767210106,2024-11-11,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ002050_20240708_000676,SZ002050,2024-07-08,robustness,0.5187256010760475,2024-11-11,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ002179_20240411_000696,SZ002179,2024-04-11,robustness,0.5006443446254432,2024-10-08,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ002475_20240117_000771,SZ002475,2024-01-17,robustness,0.5419820149739583,2024-07-16,no_condition_group_hit_in_t0_t30
volume_money__and4__4eb7a99e922f,big_winner_50h120_close_confirmed_SZ002648_20250916_000806,SZ002648,2025-09-16,robustness,0.5069912577053282,2026-03-12,no_condition_group_hit_in_t0_t30
