atomic_condition_id,family_id,feature_template_id,window,operator,threshold,pit_formula,required_fields,lookback_days_required,warmup_policy,nan_policy,formula_hash,selected_for_candidate_generation
price_trend__close_over_ma5__gteq__0,price_trend,close_over_ma_N,5,>=,0.0,close_over_ma5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,59b11abc501dad43,True
price_trend__close_over_ema5__gteq__0,price_trend,close_over_ema_N,5,>=,0.0,close_over_ema5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,c90ea60de2ff5269,True
price_trend__close_over_ma5__gteq__0_03,price_trend,close_over_ma_N,5,>=,0.03,close_over_ma5_r02 >= 0.03,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,5b0a979e665e65d2,True
price_trend__close_over_ema5__gteq__0_03,price_trend,close_over_ema_N,5,>=,0.03,close_over_ema5_r02 >= 0.03,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,fb238b7772b3464b,True
price_trend__close_over_ma5__gteq__0_05,price_trend,close_over_ma_N,5,>=,0.05,close_over_ma5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,10289d8a6f421794,True
price_trend__close_over_ema5__gteq__0_05,price_trend,close_over_ema_N,5,>=,0.05,close_over_ema5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,90c829b4f9d59423,True
price_trend__ma_slope5__gteq__0,price_trend,ma_slope_N,5,>=,0.0,ma_slope5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,33dd9ccc9bb7cdc8,True
price_trend__ema_slope5__gteq__0,price_trend,ema_slope_N,5,>=,0.0,ema_slope5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,62f945703f9b4d66,True
price_trend__ma_slope5__gteq__0_02,price_trend,ma_slope_N,5,>=,0.02,ma_slope5_r02 >= 0.02,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,43b955377f220f9f,True
price_trend__ema_slope5__gteq__0_02,price_trend,ema_slope_N,5,>=,0.02,ema_slope5_r02 >= 0.02,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e1fe962ff0b331be,True
momentum_rps__ret5__gteq__0,momentum_rps,ret_N,5,>=,0.0,ret5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,69be6d048fa5b6fe,True
momentum_rps__roc5__gteq__0,momentum_rps,roc_N,5,>=,0.0,roc5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,19409b83c320b31d,True
momentum_rps__market_relative_ret5__gteq__0,momentum_rps,market_relative_ret_N,5,>=,0.0,market_relative_ret5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,5899e76bff5d13fa,True
momentum_rps__ret5__gteq__0_05,momentum_rps,ret_N,5,>=,0.05,ret5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a2231a9fcd73ffbe,True
momentum_rps__roc5__gteq__0_05,momentum_rps,roc_N,5,>=,0.05,roc5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e396876200b46349,True
momentum_rps__market_relative_ret5__gteq__0_05,momentum_rps,market_relative_ret_N,5,>=,0.05,market_relative_ret5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d8c84291122f4a17,True
momentum_rps__ret5__gteq__0_1,momentum_rps,ret_N,5,>=,0.1,ret5_r02 >= 0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b000e387f05510a0,True
momentum_rps__roc5__gteq__0_1,momentum_rps,roc_N,5,>=,0.1,roc5_r02 >= 0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,7c2de8adb5026a49,True
momentum_rps__market_relative_ret5__gteq__0_1,momentum_rps,market_relative_ret_N,5,>=,0.1,market_relative_ret5_r02 >= 0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,762721e305ba9cec,True
momentum_rps__ret5__gteq__0_2,momentum_rps,ret_N,5,>=,0.2,ret5_r02 >= 0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,42ed92657092e060,True
momentum_rps__roc5__gteq__0_2,momentum_rps,roc_N,5,>=,0.2,roc5_r02 >= 0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,ba6c7bbdf7ef382f,True
momentum_rps__market_relative_ret5__gteq__0_2,momentum_rps,market_relative_ret_N,5,>=,0.2,market_relative_ret5_r02 >= 0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,646ad18b62a82881,True
