condition_group_id,family_id,kind,n_terms,condition_text,coverage_t0_t30,covered_events_t0_t30,uncovered_events_t0_t30,eligible_day_density,eligible_day_trigger_count,eligible_day_denominator,global_eligible_day_denominator,feature_eligible_day_denominator,feature_eligible_day_density,feature_eligible_ratio,low_feature_coverage_warning,median_earliest_hit_offset,median_closest_hit_offset,offset_bucket_first_hit_distribution,market_context_decomposition_status,coverage_by_split_train,coverage_by_split_validation,coverage_by_split_robustness,coverage_by_year_min,coverage_by_year_max,rank_score,worker_id,chunk_id,chunk_sequence,result_hash
volume_money__and4__4eb7a99e922f,volume_money,same_family_and4,4,volume_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_price_coherence5_r02 == 1.0 AND money_price_coherence10_r02 == 1.0,0.8816568047337278,745,100,0.05768034275366351,22806,395386,395386,395386,0.05768034275366351,1.0,False,11.0,11.0,"{""D0-D5"": 220, ""D11-D20"": 253, ""D21-D30"": 137, ""D6-D10"": 135}",decomposition_only,0.8699551569506726,0.879746835443038,0.9045643153526971,0.8043478260869565,0.9383561643835616,0.8239764619800642,258558,162,242,9fbcc0c48e7de488
volume_money__and4__b8c2a9c61df5,volume_money,same_family_and4,4,turnover_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_price_coherence5_r02 == 1.0 AND money_price_coherence10_r02 == 1.0,0.8816568047337278,745,100,0.05768034275366351,22806,395386,395386,395386,0.05768034275366351,1.0,False,11.0,11.0,"{""D0-D5"": 220, ""D11-D20"": 253, ""D21-D30"": 137, ""D6-D10"": 135}",decomposition_only,0.8699551569506726,0.879746835443038,0.9045643153526971,0.8043478260869565,0.9383561643835616,0.8239764619800642,258553,171,93,daab6c6f3672aed3
oscillator__and4__95dbd99ae828,oscillator,same_family_and4,4,kdj_k5_r02 >= 60 AND cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150,0.850887573964497,719,126,0.05850485348494888,23132,395386,395386,395383,0.05850529739518391,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 239, ""D11-D20"": 234, ""D21-D30"": 132, ""D6-D10"": 114}",decomposition_only,0.8452914798206278,0.8291139240506329,0.8755186721991701,0.7641509433962265,0.927536231884058,0.7923827204795482,258552,41,354,3d55f0edae0a53ce
oscillator__and4__079cc72a9837,oscillator,same_family_and4,4,cci5_r02 >= 100 AND macd_hist5_r02 >= 0.0 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150,0.8520710059171598,720,125,0.05912955946846879,23379,395386,395386,395383,0.05913000811871021,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 236, ""D11-D20"": 230, ""D21-D30"": 138, ""D6-D10"": 116}",decomposition_only,0.8408071748878924,0.8481012658227848,0.8755186721991701,0.7641509433962265,0.927536231884058,0.792941446448691,258554,30,5,55ea0aa95067df70
oscillator__and4__b9cb467aa4c0,oscillator,same_family_and4,4,cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150 AND macd_hist10_r02 >= 0.0,0.8520710059171598,720,125,0.05912955946846879,23379,395386,395386,395383,0.05913000811871021,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 236, ""D11-D20"": 230, ""D21-D30"": 138, ""D6-D10"": 116}",decomposition_only,0.8408071748878924,0.8481012658227848,0.8755186721991701,0.7641509433962265,0.927536231884058,0.792941446448691,258550,44,347,dd5f578036c715f8
oscillator__and4__ec61783ced19,oscillator,same_family_and4,4,cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150 AND macd_hist30_r02 >= 0.0,0.8520710059171598,720,125,0.05912955946846879,23379,395386,395386,395383,0.05913000811871021,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 236, ""D11-D20"": 230, ""D21-D30"": 138, ""D6-D10"": 116}",decomposition_only,0.8408071748878924,0.8481012658227848,0.8755186721991701,0.7641509433962265,0.927536231884058,0.792941446448691,258555,48,470,2ef1e709fecd26e3
oscillator__and4__ee234d3f6618,oscillator,same_family_and4,4,cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150 AND macd_hist60_r02 >= 0.0,0.8520710059171598,720,125,0.05912955946846879,23379,395386,395386,395383,0.05913000811871021,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 236, ""D11-D20"": 230, ""D21-D30"": 138, ""D6-D10"": 116}",decomposition_only,0.8408071748878924,0.8481012658227848,0.8755186721991701,0.7641509433962265,0.927536231884058,0.792941446448691,258553,49,48,6a0352de2084979f
volume_money__and4__354ef7f0b377,volume_money,same_family_and4,4,turnover_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_zscore10_r02 >= 1.0 AND money_price_coherence10_r02 == 1.0,0.8923076923076924,754,91,0.05921808055925096,23414,395386,395386,395386,0.05921808055925096,1.0,False,11.0,11.0,"{""D0-D5"": 228, ""D11-D20"": 248, ""D21-D30"": 137, ""D6-D10"": 141}",decomposition_only,0.8789237668161435,0.9177215189873418,0.9004149377593361,0.8301886792452831,0.9285714285714286,0.8330896117484414,258555,160,200,5b154a4620bb9030
volume_money__and4__f9c6a1f9aabc,volume_money,same_family_and4,4,volume_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_zscore10_r02 >= 1.0 AND money_price_coherence10_r02 == 1.0,0.8923076923076924,754,91,0.05921808055925096,23414,395386,395386,395386,0.05921808055925096,1.0,False,11.0,11.0,"{""D0-D5"": 228, ""D11-D20"": 248, ""D21-D30"": 137, ""D6-D10"": 141}",decomposition_only,0.8789237668161435,0.9177215189873418,0.9004149377593361,0.8301886792452831,0.9285714285714286,0.8330896117484414,258554,176,290,cc1c396dcee96906
oscillator__and3__36788921d351,oscillator,same_family_and3,3,rsi5_r02 >= 70 AND cci5_r02 >= 100 AND cci10_r02 >= 150,0.8532544378698225,721,124,0.060490255092491896,23917,395386,395386,395383,0.06049071406711973,0.9999924124779329,False,11.0,11.0,"{""D0-D5"": 236, ""D11-D20"": 231, ""D21-D30"": 139, ""D6-D10"": 115}",decomposition_only,0.8430493273542601,0.8354430379746836,0.8838174273858921,0.7547169811320755,0.9565217391304348,0.7927641827773306,258551,26,53,7cc1dfb11584f694
