condition_group_id,market_context_dimension,market_context_bucket,bucket_winner_count,bucket_coverage_t0_t30,bucket_eligible_day_count,bucket_eligible_day_density,decomposition_only_flag
volume_money__and4__4eb7a99e922f,split,robustness,241,0.9045643153526971,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,split,train,446,0.8699551569506726,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,split,validation,158,0.879746835443038,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2017,27,0.9259259259259259,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2018,62,0.9032258064516129,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2019,69,0.927536231884058,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2020,182,0.8516483516483516,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2021,106,0.8301886792452831,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2022,112,0.9107142857142857,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2023,46,0.8043478260869565,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2024,95,0.8526315789473684,395386,0.05768034275366351,True
volume_money__and4__4eb7a99e922f,reference_year,2025,146,0.9383561643835616,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,split,robustness,241,0.9045643153526971,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,split,train,446,0.8699551569506726,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,split,validation,158,0.879746835443038,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2017,27,0.9259259259259259,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2018,62,0.9032258064516129,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2019,69,0.927536231884058,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2020,182,0.8516483516483516,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2021,106,0.8301886792452831,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2022,112,0.9107142857142857,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2023,46,0.8043478260869565,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2024,95,0.8526315789473684,395386,0.05768034275366351,True
volume_money__and4__b8c2a9c61df5,reference_year,2025,146,0.9383561643835616,395386,0.05768034275366351,True
oscillator__and4__95dbd99ae828,split,robustness,241,0.8755186721991701,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,split,train,446,0.8452914798206278,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,split,validation,158,0.8291139240506329,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2017,27,0.8518518518518519,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2018,62,0.8225806451612904,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2019,69,0.927536231884058,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2020,182,0.8681318681318682,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2021,106,0.7641509433962265,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2022,112,0.8303571428571429,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2023,46,0.8260869565217391,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2024,95,0.8210526315789474,395386,0.05850485348494888,True
oscillator__and4__95dbd99ae828,reference_year,2025,146,0.910958904109589,395386,0.05850485348494888,True
oscillator__and4__079cc72a9837,split,robustness,241,0.8755186721991701,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,split,train,446,0.8408071748878924,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,split,validation,158,0.8481012658227848,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2017,27,0.8518518518518519,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2018,62,0.8064516129032258,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2019,69,0.927536231884058,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2020,182,0.8626373626373627,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2021,106,0.7641509433962265,395386,0.05912955946846879,True
