code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap,included,reason
600313,农发种业,SH600313,SH,2025-12-31,2025-12-31,6.44,2024-01-19,1082198663.0,stock_zh_a_gbjg_em,6969359389.72,False,below_threshold
600315,上海家化,SH600315,SH,2025-12-31,2025-12-31,22.52,2024-10-08,672225980.0,stock_zh_a_gbjg_em,15138529069.6,False,below_threshold
600316,洪都航空,SH600316,SH,2025-12-31,2025-12-31,34.91,2013-07-12,717114512.0,stock_zh_a_gbjg_em,25034467613.92,False,below_threshold
600318,新力金融,SH600318,SH,2025-12-31,2025-12-31,8.98,2022-06-01,512727632.0,stock_zh_a_gbjg_em,4604294135.360001,False,below_threshold
600319,亚星化学,SH600319,SH,2025-12-31,2025-12-31,9.28,2025-08-25,387709384.0,stock_zh_a_gbjg_em,3597943083.52,False,below_threshold
600320,振华重工,SH600320,SH,2025-12-31,2025-12-31,5.15,2018-08-13,5268353501.0,stock_zh_a_gbjg_em,27132020530.15,False,below_threshold
600322,津投城开,SH600322,SH,2025-12-31,2025-12-31,2.33,2010-10-19,1105700000.0,stock_zh_a_gbjg_em,2576281000.0,False,below_threshold
600323,瀚蓝环境,SH600323,SH,2025-12-31,2025-12-31,28.6,2021-04-27,815347146.0,stock_zh_a_gbjg_em,23318928375.600002,False,below_threshold
600325,华发股份,SH600325,SH,2025-12-31,2025-12-31,4.22,2025-05-06,2752152116.0,stock_zh_a_gbjg_em,11614081929.519999,False,below_threshold
600326,西藏天路,SH600326,SH,2025-12-31,2025-12-31,11.03,2025-10-27,1362464423.0,stock_zh_a_gbjg_em,15027982585.689999,False,below_threshold
600327,大东方,SH600327,SH,2025-12-31,2025-12-31,4.95,2019-05-30,884779518.0,stock_zh_a_gbjg_em,4379658614.1,False,below_threshold
600328,中盐化工,SH600328,SH,2025-12-31,2025-12-31,8.24,2025-08-11,1466309533.0,stock_zh_a_gbjg_em,12082390551.92,False,below_threshold
600329,达仁堂,SH600329,SH,2025-12-31,2025-12-31,45.62,2025-01-22,770094356.0,stock_zh_a_gbjg_em,35131704520.72,False,below_threshold
600330,天通股份,SH600330,SH,2025-12-31,2025-12-31,13.13,2023-05-23,1233434416.0,stock_zh_a_gbjg_em,16194993882.080002,False,below_threshold
