kind,topk,n_drop,report_path,analysis_path,rows,turnover_mean,cost_mean,excess_return_without_cost.mean,excess_return_without_cost.std,excess_return_without_cost.annualized_return,excess_return_without_cost.information_ratio,excess_return_without_cost.max_drawdown,excess_return_with_cost.mean,excess_return_with_cost.std,excess_return_with_cost.annualized_return,excess_return_with_cost.information_ratio,excess_return_with_cost.max_drawdown,benchmark.mean,benchmark.std,benchmark.annualized_return,benchmark.information_ratio,benchmark.max_drawdown,strategy_return_without_cost.mean,strategy_return_without_cost.std,strategy_return_without_cost.annualized_return,strategy_return_without_cost.information_ratio,strategy_return_without_cost.max_drawdown,strategy_return_with_cost.mean,strategy_return_with_cost.std,strategy_return_with_cost.annualized_return,strategy_return_with_cost.information_ratio,strategy_return_with_cost.max_drawdown,indicator.ffr,indicator.pa,indicator.pos,indicator.deal_amount,indicator.value,indicator.count,first_trade_date,trade_days,final_account,total_return,total_cost,name,market,rebalance,experiment,new.run_dir,new.logged final train l2,new.logged train rounds,new.best iteration,new.best valid l2,new.logged final valid l2,new.logged valid rounds,new.IC,new.ICIR,new.IC.count,new.ic_path,new.Rank IC,new.Rank ICIR,new.Rank IC.count,new.ric_path,new.excess_return_without_cost.mean,new.excess_return_without_cost.std,new.excess_return_without_cost.annualized_return,new.excess_return_without_cost.information_ratio,new.excess_return_without_cost.max_drawdown,new.excess_return_with_cost.mean,new.excess_return_with_cost.std,new.excess_return_with_cost.annualized_return,new.excess_return_with_cost.information_ratio,new.excess_return_with_cost.max_drawdown,new.port_analysis_path,old.run_dir,old.logged final train l2,old.logged train rounds,old.best iteration,old.best valid l2,old.logged final valid l2,old.logged valid rounds,old.IC,old.ICIR,old.IC.count,old.ic_path,old.Rank IC,old.Rank ICIR,old.Rank IC.count,old.ric_path,old.excess_return_without_cost.mean,old.excess_return_without_cost.std,old.excess_return_without_cost.annualized_return,old.excess_return_without_cost.information_ratio,old.excess_return_without_cost.max_drawdown,old.excess_return_with_cost.mean,old.excess_return_with_cost.std,old.excess_return_with_cost.annualized_return,old.excess_return_with_cost.information_ratio,old.excess_return_with_cost.max_drawdown,old.port_analysis_path
alpha360_topk_grid,30.0,3.0,Explore2/outputs/backtests/alpha360_grid/topk030_drop003/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk030_drop003/port_analysis_1day.pkl,319.0,0.2016464135897834,0.0002002025243532,0.0015400000258784,0.0088824185633696,0.3665200061590821,2.674717826611307,-0.1107977553311819,0.0013397975015252,0.0088810301939485,0.3188718053630124,2.3273639100218806,-0.1135910693644551,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0022173731810358,0.0153352846805936,0.5277348170865419,2.2306705131891547,-0.1776361390058034,0.0020171706566826,0.0153326622843937,0.4800866162904723,2.0296144696527425,-0.1804294530390766,1.0,0.0,0.0,15678.757253099113,281430.9125316336,6.043887147335423,2025-01-03,318.0,1831853.9786180763,0.8318539786180763,89329.04961972366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,30.0,5.0,Explore2/outputs/backtests/alpha360_grid/topk030_drop005/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk030_drop005/port_analysis_1day.pkl,319.0,0.3302649044288474,0.0003289029501975,0.0017682569717586,0.0086932255460114,0.4208451592785472,3.1379997889094016,-0.1035702807829669,0.001439354021561,0.0086925417704229,0.3425662571315288,2.554520062147266,-0.108495277065711,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0024456301269159,0.0147098585597952,0.5820599702060071,2.5649018886517885,-0.1749016026726713,0.0021167271767184,0.0147055730274388,0.5037810680589886,2.220605504876376,-0.1848350113012502,1.0,0.0,0.0,27067.234360937517,469064.4302292597,10.021943573667713,2025-01-03,318.0,1896607.7816943773,0.8966077816943774,149222.35782024442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,30.0,10.0,Explore2/outputs/backtests/alpha360_grid/topk030_drop010/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk030_drop010/port_analysis_1day.pkl,319.0,0.6445063689662647,0.0006433387082549,0.0016500451931561,0.0082350844056672,0.3927107559711586,3.091122832017473,-0.084884837791853,0.0010067064849011,0.0082368415077999,0.2395961434064778,1.8855177941416863,-0.0931232517657284,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0023274183483135,0.0140603742184686,0.5539255668986185,2.553677515658142,-0.1441647448958789,0.0016840796400585,0.0140518471062384,0.4008109543339375,1.8489181605485248,-0.1543694199161195,1.0,0.0,0.0,50867.88544793929,845126.7771123725,19.905956112852664,2025-01-03,318.0,1657545.560961787,0.6575455609617868,269259.13174572564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,50.0,3.0,Explore2/outputs/backtests/alpha360_grid/topk050_drop003/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk050_drop003/port_analysis_1day.pkl,319.0,0.122167678654982,0.0001207100663684,0.0012627081789253,0.0082042486749749,0.3005245465842251,2.374393290989735,-0.103894890620403,0.0011419981125569,0.0082042699380528,0.2717955507885448,2.14740481964029,-0.1057239473668394,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0019400813340827,0.0147278869245541,0.4617393575116848,2.032207148132477,-0.1707332742950246,0.0018193712677143,0.0147266585657658,0.4330103617160045,1.90592405974197,-0.172562331041461,1.0,0.0,0.0,9884.007512411315,163727.42687402165,6.210031347962382,2025-01-03,318.0,1725068.5120815074,0.7250685120815075,51778.79622933015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,50.0,5.0,Explore2/outputs/backtests/alpha360_grid/topk050_drop005/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk050_drop005/port_analysis_1day.pkl,319.0,0.2009617952984136,0.0001995558859818,0.0015742511342851,0.0077258395644136,0.3746717699598607,3.1435242004833674,-0.0842921194511278,0.0013746952483033,0.0077258919653782,0.3271774690961874,2.7450248421916634,-0.0871681539054746,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0022516242894425,0.0141268559267556,0.5358865808873206,2.4588887926216296,-0.1511305031257496,0.0020520684034607,0.0141242002715543,0.4883922800236472,2.2413849165183244,-0.1540065375800962,1.0,0.0,0.0,17152.78677584068,283909.4271153551,10.272727272727272,2025-01-03,318.0,1862910.7783252068,0.8629107783252068,90141.52036147234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,50.0,10.0,Explore2/outputs/backtests/alpha360_grid/topk050_drop010/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk050_drop010/port_analysis_1day.pkl,319.0,0.3924995159421491,0.0003912538809002,0.0013178841475624,0.0070011969450725,0.3136564271198686,2.9039786420843177,-0.0775987807060057,0.0009266302666622,0.0070030176432566,0.2205380034656195,2.041313649535464,-0.0827839200921267,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0019952573027198,0.0130138272193283,0.4748712380473284,2.3652788647211667,-0.1384109048084415,0.0016040034218196,0.0130088558777372,0.3817528143930793,1.9021933834288416,-0.1442276383884846,1.0,0.0,0.0,32104.10263663794,509659.9770718116,20.31661442006269,2025-01-03,318.0,1623030.8653022554,0.6230308653022554,162218.69747035624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,100.0,3.0,Explore2/outputs/backtests/alpha360_grid/topk100_drop003/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk100_drop003/port_analysis_1day.pkl,319.0,0.061551002469704,6.061545925721559e-05,0.001428623408194,0.0063306066016227,0.3400123711501729,3.481456026296852,-0.0690161979847159,0.0013680079489367,0.0063290567640355,0.3255858918469557,3.334556716737044,-0.0697488981709921,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0021059965633513,0.012843970672052,0.5012271820776328,2.5295707539666408,-0.144800503979765,0.0020453811040941,0.0128426153048509,0.4868007027744155,2.45702312711179,-0.1465771325837125,1.0,0.0,0.0,5614.478667115702,82818.32341827055,6.852664576802508,2025-01-03,318.0,1869157.597747872,0.8691575977478718,26146.607735097736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,100.0,5.0,Explore2/outputs/backtests/alpha360_grid/topk100_drop005/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk100_drop005/port_analysis_1day.pkl,319.0,0.1019266840083839,0.0001010131125107,0.0013692410004546,0.0060530616950727,0.3258793581082089,3.489741621607416,-0.0644273965437914,0.0012682278879439,0.0060526699115623,0.3018382373306486,3.232501891015001,-0.0656285858528167,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.002046614155612,0.0124505397341975,0.4870941690356687,2.535924231639888,-0.1265007183665667,0.0019456010431012,0.0124494100627996,0.4630530482581083,2.410979384316208,-0.1279971324930429,1.0,0.0,0.0,9730.911007405728,138417.46183720557,11.23510971786834,2025-01-03,318.0,1813604.2969287653,0.8136042969287653,43892.66097317544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha360_topk_grid,100.0,10.0,Explore2/outputs/backtests/alpha360_grid/topk100_drop010/report_normal_1day.pkl,Explore2/outputs/backtests/alpha360_grid/topk100_drop010/port_analysis_1day.pkl,319.0,0.2000973611841358,0.0001996088808884,0.0011893523380556,0.0054534723298602,0.2830658564572409,3.3645415446853133,-0.0589068873015243,0.0009897434571671,0.0054545687387031,0.2355589428057861,2.7993080875358807,-0.061301263467038,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.001866725493213,0.0116532432853767,0.4442806673847008,2.471280963149429,-0.1143409154191641,0.0016671166123245,0.0116510427773607,0.3967737537332458,2.2074438270659145,-0.1200215674673577,1.0,0.0,0.0,18812.537249387497,261470.21540724303,22.00313479623825,2025-01-03,318.0,1664783.504988239,0.6647835049882389,83300.98656665906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equal_weight_monthly,,,Explore2/outputs/backtests/equal_weight_monthly/report_normal_1day.pkl,Explore2/outputs/backtests/equal_weight_monthly/port_analysis_1day.pkl,319.0,0.0028775690570629,7.566941414489622e-06,0.0004696463382218,0.0046741596107108,0.1117758284967894,1.550086310033573,-0.0473859309260315,0.0004620793968073,0.0046709325436225,0.1099748964401408,1.5261649939067017,-0.0484459309260315,0.0006773731551573,0.0097193532019242,0.1612148109274598,1.0751748451146768,-0.1079994440078735,0.0011470194933791,0.0073424370799271,0.2729906394242492,2.4100111045342474,-0.0858329100854907,0.0011394525519647,0.0073410591258767,0.2711897073676006,2.3945615352022536,-0.0858329100854907,1.0,0.0,0.0,330.7701304340153,3088.3855831688584,1.6739811912225706,2025-02-05,15.0,1425716.6617522463,0.4257166617522463,2690.985500010948,equal_weight_monthly,mcap500_mainboard_20251231,monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
