instrument,path,rows,start,end,duplicate_dates,missing_values,max_abs_close_jump,max_abs_factor_jump,errors
SH000300,Explore1/data/interim/qlib_csv/day/SH000300.csv,2263,2017-01-03,2026-04-30,0,2263,0.08482632837295823,0.0,
SH600000,Explore1/data/interim/qlib_csv/day/SH600000.csv,2263,2017-01-03,2026-04-30,0,0,0.10069444444444442,0.31691748303002587,
SH600009,Explore1/data/interim/qlib_csv/day/SH600009.csv,2252,2017-01-03,2026-04-30,0,0,0.10004284490145676,0.012043630739851707,
SH600010,Explore1/data/interim/qlib_csv/day/SH600010.csv,2254,2017-01-03,2026-04-30,0,0,0.10344827586206895,0.39780387042916376,
SH600011,Explore1/data/interim/qlib_csv/day/SH600011.csv,2263,2017-01-03,2026-04-30,0,0,0.10188087774294674,0.0438681170481976,
SH600015,Explore1/data/interim/qlib_csv/day/SH600015.csv,2263,2017-01-03,2026-04-30,0,0,0.09623430962343105,0.22043010742582703,
SH600016,Explore1/data/interim/qlib_csv/day/SH600016.csv,2263,2017-01-03,2026-04-30,0,0,0.09999999999999987,0.21755872161490508,
SH600018,Explore1/data/interim/qlib_csv/day/SH600018.csv,2260,2017-01-03,2026-04-30,0,0,0.1018099547511313,0.03483338369841271,
SH600019,Explore1/data/interim/qlib_csv/day/SH600019.csv,2244,2017-01-03,2026-04-30,0,0,0.10025706940874035,0.07692201521224074,
SH600021,Explore1/data/interim/qlib_csv/day/SH600021.csv,2257,2017-01-03,2026-04-30,0,0,0.10102489019033678,0.03835037764502558,
SH600023,Explore1/data/interim/qlib_csv/day/SH600023.csv,2263,2017-01-03,2026-04-30,0,0,0.09971509971509973,0.0670553936321765,
SH600025,Explore1/data/interim/qlib_csv/day/SH600025.csv,2030,2017-12-15,2026-04-30,0,0,0.10210210210210202,0.05282602699861205,
SH600026,Explore1/data/interim/qlib_csv/day/SH600026.csv,2258,2017-01-03,2026-04-30,0,0,0.10064102564102573,0.03242386698053101,
SH600027,Explore1/data/interim/qlib_csv/day/SH600027.csv,2252,2017-01-03,2026-04-30,0,0,0.10179640718562877,0.07877528150086976,
SH600028,Explore1/data/interim/qlib_csv/day/SH600028.csv,2263,2017-01-03,2026-04-30,0,0,0.10061919504643968,0.07468146066068537,
SH600029,Explore1/data/interim/qlib_csv/day/SH600029.csv,2260,2017-01-03,2026-04-30,0,0,0.09983079526226724,0.013764880918367473,
SH600030,Explore1/data/interim/qlib_csv/day/SH600030.csv,2246,2017-01-03,2026-04-30,0,0,0.10030395136778103,0.06078225149282446,
SH600031,Explore1/data/interim/qlib_csv/day/SH600031.csv,2263,2017-01-03,2026-04-30,0,0,0.0999585234342597,0.025989482272540165,
SH600036,Explore1/data/interim/qlib_csv/day/SH600036.csv,2263,2017-01-03,2026-04-30,0,0,0.09996404171161455,0.060312067439840966,
SH600039,Explore1/data/interim/qlib_csv/day/SH600039.csv,2251,2017-01-03,2026-04-30,0,0,0.10382513661202175,0.49280522036401053,
SH600048,Explore1/data/interim/qlib_csv/day/SH600048.csv,2263,2017-01-03,2026-04-30,0,0,0.10115911485774487,0.06472478576244312,
SH600050,Explore1/data/interim/qlib_csv/day/SH600050.csv,2168,2017-01-03,2026-04-30,0,0,0.10256410256410264,0.02022058821466466,
SH600066,Explore1/data/interim/qlib_csv/day/SH600066.csv,2262,2017-01-03,2026-04-30,0,0,0.10052356020942388,0.07908984481649406,
SH600089,Explore1/data/interim/qlib_csv/day/SH600089.csv,2257,2017-01-03,2026-04-30,0,0,0.10091743119266061,0.3666606828266876,
SH600096,Explore1/data/interim/qlib_csv/day/SH600096.csv,2261,2017-01-03,2026-04-30,0,0,0.10080645161290325,0.061682463559034284,
SH600104,Explore1/data/interim/qlib_csv/day/SH600104.csv,2263,2017-01-03,2026-04-30,0,0,0.10046265697290147,0.05509663363932993,
SH600111,Explore1/data/interim/qlib_csv/day/SH600111.csv,2263,2017-01-03,2026-04-30,0,0,0.10062333036509341,0.012632684254556326,
SH600115,Explore1/data/interim/qlib_csv/day/SH600115.csv,2263,2017-01-03,2026-04-30,0,0,0.09986504723346834,0.011185682323907375,
SH600118,Explore1/data/interim/qlib_csv/day/SH600118.csv,2263,2017-01-03,2026-04-30,0,0,0.10041841004184104,0.005667588057217676,
SH600143,Explore1/data/interim/qlib_csv/day/SH600143.csv,2182,2017-01-03,2026-04-30,0,0,0.10169491525423724,0.027840219018211654,
SH600150,Explore1/data/interim/qlib_csv/day/SH600150.csv,2122,2017-01-03,2026-04-30,0,0,0.10058027079303655,0.008172605444275227,
SH600160,Explore1/data/interim/qlib_csv/day/SH600160.csv,2253,2017-01-03,2026-04-30,0,0,0.10055521283158553,0.3110560014404309,
SH600176,Explore1/data/interim/qlib_csv/day/SH600176.csv,2251,2017-01-03,2026-04-30,0,0,0.10105580693815996,0.22839259416860935,
SH600183,Explore1/data/interim/qlib_csv/day/SH600183.csv,2263,2017-01-03,2026-04-30,0,0,0.1003360537686031,0.4994930148226311,
SH600188,Explore1/data/interim/qlib_csv/day/SH600188.csv,2263,2017-01-03,2026-04-30,0,0,0.102112676056338,0.7176501889620999,
SH600196,Explore1/data/interim/qlib_csv/day/SH600196.csv,2263,2017-01-03,2026-04-30,0,0,0.10025111068186199,0.014286374417266101,
SH600219,Explore1/data/interim/qlib_csv/day/SH600219.csv,2257,2017-01-03,2026-04-30,0,0,0.10313901345291487,0.09036879004828635,
SH600221,Explore1/data/interim/qlib_csv/day/SH600221.csv,2132,2017-01-03,2026-04-30,0,0,0.10399999999999987,0.015664674386176802,
SH600233,Explore1/data/interim/qlib_csv/day/SH600233.csv,2263,2017-01-03,2026-04-30,0,0,0.10046012269938664,0.028368794329887814,
SH600236,Explore1/data/interim/qlib_csv/day/SH600236.csv,2263,2017-01-03,2026-04-30,0,0,0.10218978102189769,0.3562555053868326,
SH600276,Explore1/data/interim/qlib_csv/day/SH600276.csv,2263,2017-01-03,2026-04-30,0,0,0.10006157635467972,0.30178719474300486,
SH600292,Explore1/data/interim/qlib_csv/day/SH600292.csv,2253,2017-01-03,2026-04-30,0,0,0.10137457044673537,0.011057715600020224,
SH600309,Explore1/data/interim/qlib_csv/day/SH600309.csv,2138,2017-01-03,2026-04-30,0,0,0.10024855012427492,0.2217487497981867,
SH600346,Explore1/data/interim/qlib_csv/day/SH600346.csv,2200,2017-03-14,2026-04-30,0,0,0.10085470085470083,0.42446388333828144,
SH600362,Explore1/data/interim/qlib_csv/day/SH600362.csv,2263,2017-01-03,2026-04-30,0,0,0.10025062656641581,0.029914147293576443,
SH600372,Explore1/data/interim/qlib_csv/day/SH600372.csv,2240,2017-01-03,2026-04-30,0,0,0.10074318744838973,0.009871328356013231,
SH600377,Explore1/data/interim/qlib_csv/day/SH600377.csv,2263,2017-01-03,2026-04-30,0,0,0.09965237543453065,0.06121747036710956,
SH600406,Explore1/data/interim/qlib_csv/day/SH600406.csv,2156,2017-06-08,2026-04-30,0,0,0.101010101010101,0.2185680798879206,
SH600415,Explore1/data/interim/qlib_csv/day/SH600415.csv,2263,2017-01-03,2026-04-30,0,0,0.1018957345971565,0.026293507211830658,
