version,candidate_type,candidate_for_future_final_test,diagnostic_only,reject_reason,improvement_mainly_exposure_reduction,positive_valid_years,qualified_valid_years,expectancy_improved_years_vs_original,return_not_below_breakout_years,avg_cash_ratio,max_fold_cash_ratio,trades,trade_ratio_vs_original_pullback,stop_time_trade_ratio,stop_time_ratio_reduction_vs_original,worst_year_drawdown,year_return_concentration,all_folds_success,universe_point_in_time,industry_membership_point_in_time,provider_not_coverage_limited,positive_valid_years_ok,qualified_valid_years_ok,expectancy_improved_years_ok,return_not_below_breakout_years_ok,avg_cash_ok,fold_cash_ok,trade_ratio_ok,min_trades_per_fold_ok,worst_year_drawdown_ok,stop_time_ratio_reduction_ok,year_return_concentration_ok,observed_replication_unused
pit_rebuilt_pullback_candidate,candidate,False,True,positive_valid_years_ok; qualified_valid_years_ok; return_not_below_breakout_years_ok; avg_cash_ok; fold_cash_ok; trade_ratio_ok; min_trades_per_fold_ok; stop_time_ratio_reduction_ok; year_return_concentration_ok,True,2,3,4,1,0.977058520138387,0.9912061776438699,133,0.39002932551319647,0.6165413533834586,0.008299049510568935,-0.022247381165312552,0.8102919893789327,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True
pit_strong_trend_pullback_candidate,candidate,False,True,positive_valid_years_ok; qualified_valid_years_ok; return_not_below_breakout_years_ok; avg_cash_ok; fold_cash_ok; trade_ratio_ok; min_trades_per_fold_ok; stop_time_ratio_reduction_ok; year_return_concentration_ok,True,2,3,4,1,0.977058520138387,0.9912061776438699,133,0.39002932551319647,0.6165413533834586,0.008299049510568935,-0.022247381165312552,0.8102919893789327,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True
