version,calendar_year,year_return_with_cost,max_drawdown,trades,net_pnl_sum,yearly_expectancy,avg_cost_after_return,avg_r_multiple,median_r_multiple,stop_time_trade_ratio,cash_ratio,year_instances,folds
pit_breakdown_repair_diagnostic,2019,0.15449822228601118,-0.080281420925441,304.0,144101.92256730795,474.01948212930245,0.016136463536196542,0.21562614651596967,-0.1704374951486778,0.4473684210526316,0.47028672162399865,1,WF1
pit_breakdown_repair_diagnostic,2020,0.20068428302362407,-0.12219189189042179,294.0,260949.72897602918,886.1248439057614,0.029397595919793122,0.28437806290028056,-0.1762870250204994,0.43534727451775473,0.47376261381513013,2,"WF1,WF2"
pit_breakdown_repair_diagnostic,2021,-0.015516245501348502,-0.1431086533946232,387.0,-65586.66031655074,-170.03792508792185,-0.005520837574695141,-0.029465520092967566,-0.29092453794158124,0.4908008658008658,0.4662584051764355,2,"WF2,WF3"
pit_breakdown_repair_diagnostic,2022,-0.2219474978626088,-0.240984117870233,427.0,-199630.73411756754,-467.4824495791071,-0.019440382794354623,-0.27486760326506554,-0.37278478736310244,0.44266377078671404,0.521697952204609,2,"WF3,WF4"
pit_breakdown_repair_diagnostic,2023,-0.12928541209568017,-0.1702798770473687,390.0,-121797.49260352852,-312.25897707967704,-0.013547187732803001,-0.14717919230688575,-0.31136293195461595,0.4757097003341314,0.47431251329668356,2,"WF4,WF5"
pit_breakdown_repair_diagnostic,2024,0.1379447607147095,-0.06424818659974663,298.0,114304.47242946629,383.5720551324372,0.015899673264397972,0.423981546053194,-0.20044952070336514,0.42953020134228187,0.4725635455049003,1,WF5
pit_breakout_core_baseline,2019,-0.010026404660630206,-0.017123059374552385,17.0,-15978.056353402133,-939.8856678471843,-0.03299069349289642,-0.26219958338769717,-0.2352551865068299,0.8823529411764706,0.9739028241382868,1,WF1
pit_breakout_core_baseline,2020,0.022943237426113594,-0.010308789348553171,13.5,29039.594450438024,2142.8771849663704,0.10730951690981005,0.5526323672685076,0.017051061672162533,0.5192307692307692,0.9672860691458878,2,"WF1,WF2"
pit_breakout_core_baseline,2021,0.009055214380468857,-0.010659539967675546,3.0,5898.979096984862,1966.3263656616207,0.09193710282187802,0.49218199940055984,0.31746010427220384,0.3333333333333333,0.9848838146715132,2,"WF2,WF3"
pit_breakout_core_baseline,2022,-0.004388457090373277,-0.005223206314874829,3.0,-4401.366469240189,-1467.1221564133966,-0.05033586807717117,-0.3634992477277464,-0.2835104341171178,0.6666666666666666,0.9974145859376284,2,"WF3,WF4"
pit_breakout_core_baseline,2023,-0.0037973350687783847,-0.012495185925340047,10.0,-3788.962328529354,-378.89623285293544,-0.01352552401605615,-0.10239110304226715,-0.06639946302006164,0.7,0.9776589172454024,2,"WF4,WF5"
pit_breakout_core_baseline,2024,-0.0060953105806001995,-0.015057237056996353,15.0,-6249.28005049229,-416.6186700328193,-0.014698278290722231,-0.12108028736580714,-0.06079688847395923,0.5333333333333333,0.9717317077750971,1,WF5
pit_original_pullback_baseline,2019,-0.009048446188664405,-0.03171030249940132,34.0,-15594.474809718135,-458.6610238152393,-0.016650514780478954,-0.13510879725647204,-0.22984252610919267,0.7058823529411765,0.9473665829713477,1,WF1
pit_original_pullback_baseline,2020,0.011094222240836893,-0.022479372150363774,45.5,24758.928377693894,541.4830938760756,0.03094198702122468,0.3178121605405476,-0.2219037927189042,0.6154589371980677,0.9294409758926796,2,"WF1,WF2"
pit_original_pullback_baseline,2021,0.017620002832572812,-0.02438311572323071,13.0,7255.199453544613,558.092265657278,0.026051136054699307,0.3822104796933999,-0.06407147939756187,0.46153846153846156,0.9721761431772937,2,"WF2,WF3"
pit_original_pullback_baseline,2022,-0.009222103927337577,-0.014110918780122605,14.0,-9255.69893373251,-661.1213524094651,-0.025356210192022034,-0.4682549874388005,-0.6191338255198263,0.5714285714285714,0.9879007890885412,2,"WF3,WF4"
