date,instruments,close_gt_ema60_ratio,ema20_gt_ema60_ratio,width_ok,market_width_state
2017-07-04,114,0.0,0.0,False,width_weak
2017-07-05,115,0.782608695652174,0.782608695652174,True,width_strong
2017-07-06,114,0.6929824561403509,0.7894736842105263,True,width_strong
2017-07-07,117,0.6410256410256411,0.7350427350427351,True,width_strong
2017-07-10,116,0.6637931034482759,0.6896551724137931,True,width_strong
2017-07-11,116,0.75,0.7413793103448276,True,width_strong
2017-07-12,115,0.6434782608695652,0.7130434782608696,True,width_strong
2017-07-13,116,0.6724137931034483,0.7155172413793104,True,width_strong
2017-07-14,115,0.7391304347826086,0.7304347826086957,True,width_strong
2017-07-17,113,0.6283185840707964,0.6991150442477876,True,width_strong
2017-07-18,115,0.6521739130434783,0.7043478260869566,True,width_strong
2017-07-19,115,0.8173913043478261,0.7391304347826086,True,width_strong
2017-07-20,115,0.8347826086956521,0.7565217391304347,True,width_strong
2017-07-21,116,0.8189655172413793,0.7672413793103449,True,width_strong
2017-07-24,118,0.8050847457627118,0.7627118644067796,True,width_strong
2017-07-25,119,0.7815126050420168,0.7478991596638656,True,width_strong
2017-07-26,119,0.7310924369747899,0.7647058823529411,True,width_strong
2017-07-27,120,0.7333333333333333,0.7583333333333333,True,width_strong
2017-07-28,119,0.7394957983193278,0.773109243697479,True,width_strong
2017-07-31,118,0.7372881355932204,0.7711864406779662,True,width_strong
2017-08-01,117,0.7606837606837606,0.7521367521367521,True,width_strong
2017-08-02,119,0.680672268907563,0.7563025210084033,True,width_strong
2017-08-03,118,0.6271186440677966,0.7627118644067796,True,width_strong
2017-08-04,118,0.5932203389830508,0.7542372881355932,True,width_strong
2017-08-07,118,0.5932203389830508,0.7457627118644068,True,width_strong
2017-08-08,118,0.6016949152542372,0.7372881355932204,True,width_strong
2017-08-09,119,0.6050420168067226,0.7310924369747899,True,width_strong
2017-08-10,119,0.6218487394957983,0.7142857142857143,True,width_strong
2017-08-11,118,0.4067796610169492,0.7033898305084746,False,width_weak
2017-08-14,118,0.5084745762711864,0.6694915254237288,False,width_neutral
2017-08-15,119,0.5042016806722689,0.6554621848739496,False,width_neutral
2017-08-16,119,0.453781512605042,0.6470588235294118,False,width_neutral
2017-08-17,119,0.6302521008403361,0.6386554621848739,True,width_strong
2017-08-18,119,0.6218487394957983,0.6386554621848739,True,width_strong
2017-08-21,120,0.6833333333333333,0.6416666666666667,True,width_strong
2017-08-22,119,0.7058823529411765,0.6722689075630253,True,width_strong
2017-08-23,120,0.65,0.6583333333333333,True,width_strong
2017-08-24,120,0.5333333333333333,0.6583333333333333,False,width_neutral
2017-08-25,120,0.7666666666666667,0.675,True,width_strong
2017-08-28,120,0.875,0.7,True,width_strong
2017-08-29,121,0.8347107438016529,0.7272727272727273,True,width_strong
2017-08-30,121,0.8264462809917356,0.7272727272727273,True,width_strong
2017-08-31,121,0.7768595041322314,0.743801652892562,True,width_strong
2017-09-01,124,0.7258064516129032,0.7258064516129032,True,width_strong
2017-09-04,125,0.728,0.752,True,width_strong
2017-09-05,124,0.7419354838709677,0.7338709677419355,True,width_strong
2017-09-06,124,0.7903225806451613,0.7580645161290323,True,width_strong
2017-09-07,123,0.7317073170731707,0.7723577235772358,True,width_strong
2017-09-08,124,0.7258064516129032,0.7580645161290323,True,width_strong
2017-09-11,125,0.704,0.76,True,width_strong
2017-09-12,124,0.6935483870967742,0.782258064516129,True,width_strong
2017-09-13,125,0.68,0.776,True,width_strong
2017-09-14,124,0.7016129032258065,0.7661290322580645,True,width_strong
2017-09-15,124,0.6532258064516129,0.7741935483870968,True,width_strong
2017-09-18,124,0.7419354838709677,0.7741935483870968,True,width_strong
2017-09-19,125,0.648,0.768,True,width_strong
2017-09-20,126,0.6587301587301587,0.746031746031746,True,width_strong
2017-09-21,125,0.632,0.776,True,width_strong
2017-09-22,125,0.624,0.752,True,width_strong
2017-09-25,125,0.608,0.728,True,width_strong
2017-09-26,125,0.616,0.744,True,width_strong
2017-09-27,126,0.5873015873015873,0.746031746031746,True,width_strong
2017-09-28,126,0.5793650793650794,0.7380952380952381,True,width_strong
2017-09-29,124,0.5725806451612904,0.7419354838709677,True,width_strong
2017-10-09,125,0.616,0.72,True,width_strong
2017-10-10,125,0.64,0.72,True,width_strong
2017-10-11,126,0.6746031746031746,0.6984126984126984,True,width_strong
2017-10-12,126,0.6111111111111112,0.7142857142857143,True,width_strong
2017-10-13,127,0.6456692913385826,0.6850393700787402,True,width_strong
2017-10-16,126,0.6587301587301587,0.6904761904761905,True,width_strong
2017-10-17,127,0.5905511811023622,0.6850393700787402,True,width_strong
2017-10-18,127,0.6377952755905512,0.6929133858267716,True,width_strong
2017-10-19,127,0.5748031496062992,0.7007874015748031,True,width_strong
2017-10-20,128,0.59375,0.6875,True,width_strong
2017-10-24,130,0.6384615384615384,0.6923076923076923,True,width_strong
2017-10-25,131,0.6183206106870229,0.6793893129770993,True,width_strong
2017-10-26,131,0.6564885496183206,0.6870229007633588,True,width_strong
2017-10-27,131,0.6412213740458015,0.6793893129770993,True,width_strong
2017-10-30,130,0.6153846153846154,0.6692307692307692,True,width_strong
2017-10-31,131,0.5877862595419847,0.6717557251908397,True,width_strong
2017-11-01,130,0.5846153846153846,0.676923076923077,True,width_strong
2017-11-02,128,0.5546875,0.65625,True,width_strong
2017-11-03,130,0.5461538461538461,0.6461538461538462,False,width_neutral
2017-11-06,130,0.5615384615384615,0.6153846153846154,True,width_strong
2017-11-07,132,0.5909090909090909,0.6060606060606061,True,width_strong
2017-11-08,133,0.631578947368421,0.6090225563909775,True,width_strong
2017-11-09,132,0.6590909090909091,0.6060606060606061,True,width_strong
2017-11-10,131,0.5954198473282443,0.6259541984732825,True,width_strong
2017-11-13,132,0.6136363636363636,0.6212121212121212,True,width_strong
2017-11-14,130,0.5538461538461539,0.6230769230769231,True,width_strong
2017-11-15,130,0.5384615384615384,0.6230769230769231,False,width_neutral
2017-11-16,129,0.5038759689922481,0.6124031007751938,False,width_neutral
2017-11-17,129,0.5813953488372093,0.5813953488372093,True,width_strong
2017-11-20,129,0.5968992248062015,0.5968992248062015,True,width_strong
2017-11-21,129,0.6589147286821705,0.5891472868217055,True,width_strong
2017-11-22,129,0.7131782945736435,0.6046511627906976,True,width_strong
2017-11-23,127,0.6377952755905512,0.6062992125984252,True,width_strong
2017-11-24,128,0.609375,0.609375,True,width_strong
2017-11-27,125,0.568,0.608,True,width_strong
2017-11-28,126,0.5317460317460317,0.5952380952380952,False,width_neutral
2017-11-29,127,0.5275590551181102,0.5905511811023622,False,width_neutral
2017-11-30,128,0.4609375,0.59375,False,width_neutral
2017-12-01,128,0.46875,0.5859375,False,width_neutral
2017-12-04,127,0.5354330708661418,0.5669291338582677,False,width_neutral
2017-12-05,121,0.5785123966942148,0.5785123966942148,True,width_strong
2017-12-06,122,0.5327868852459017,0.5901639344262295,False,width_neutral
2017-12-07,120,0.48333333333333334,0.6,False,width_neutral
2017-12-08,122,0.4672131147540984,0.5737704918032787,False,width_neutral
2017-12-11,125,0.488,0.568,False,width_neutral
2017-12-12,123,0.4634146341463415,0.5772357723577236,False,width_neutral
2017-12-13,125,0.488,0.56,False,width_neutral
2017-12-14,122,0.45901639344262296,0.5491803278688525,False,width_neutral
2017-12-15,123,0.3902439024390244,0.5284552845528455,False,width_weak
2017-12-18,122,0.4098360655737705,0.5081967213114754,False,width_weak
2017-12-19,123,0.45528455284552843,0.4959349593495935,False,width_neutral
2017-12-20,121,0.4380165289256198,0.49586776859504134,False,width_weak
2017-12-21,122,0.45901639344262296,0.4918032786885246,False,width_neutral
2017-12-22,125,0.448,0.496,False,width_neutral
2017-12-25,125,0.48,0.504,False,width_neutral
2017-12-26,125,0.504,0.488,False,width_neutral
2017-12-27,124,0.4596774193548387,0.5,False,width_neutral
2017-12-28,125,0.472,0.504,False,width_neutral
2017-12-29,126,0.5079365079365079,0.5079365079365079,False,width_neutral
2018-01-02,129,0.5503875968992248,0.5038759689922481,True,width_strong
2018-01-03,130,0.5923076923076923,0.5230769230769231,True,width_strong
2018-01-04,133,0.6090225563909775,0.5413533834586466,True,width_strong
2018-01-05,133,0.6165413533834586,0.5488721804511278,True,width_strong
2018-01-08,133,0.6541353383458647,0.5488721804511278,True,width_strong
2018-01-09,133,0.6390977443609023,0.5639097744360902,True,width_strong
