version,period,stage,sizing,risk_budget_per_trade,single_stock_max_weight,max_positions,max_daily_new_weight,max_industry_weight,rows,trades,win_rate,total_return_with_cost,total_return_without_cost,annual_return_with_cost,max_drawdown,return_drawdown_ratio,turnover_mean,cost_sum,cost_ratio,avg_positions,avg_cash_ratio,max_single_stock_weight_observed,max_industry_weight_observed,ending_account,remove_top5_trade_return_sum,fold,candidate_type,train_start,train_end,valid_start,valid_end,valid_executable_end,coverage_limited_diagnostic
pit_breakout_core_baseline,WF1,baseline,risk_unit,0.005,0.03,20,0.2,0.2,486,34,0.2647058823529412,0.0007451008680579019,0.002509758960287156,0.000386279322021732,-0.023196316235477465,0.016652614928181545,0.0036726904012306444,1750.902998137474,0.001750902998137474,1.0884773662551441,0.9687542608846891,0.04375941807540313,0.07284401739579008,1000745.1008680579,-0.9823816412189917,WF1,baseline,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_breakout_core_baseline,WF2,baseline,risk_unit,0.005,0.03,20,0.2,0.2,485,20,0.45,0.023196499410247373,0.024233834093641216,0.011986215496329278,-0.011558229356218974,1.037028694181434,0.002065355136336234,1027.5040000915528,0.001027504000091553,0.9092783505154639,0.974902317448759,0.04306688620685295,0.07168843473916188,1023196.4994102474,-0.5949458454783869,WF2,baseline,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_breakout_core_baseline,WF3,baseline,risk_unit,0.005,0.03,20,0.2,0.2,483,8,0.25,-0.0034200555622101447,-0.0030120221177888373,-0.0017858386132407755,-0.011673842870255524,-0.15297778401583761,0.0008504525540374905,409.05550117492675,0.0004090555011749267,0.3146997929606625,0.9916883735678939,0.0331516050976636,0.05477665395385532,996579.9444377898,-0.2989454838022839,WF3,baseline,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_breakout_core_baseline,WF4,baseline,risk_unit,0.005,0.03,20,0.2,0.2,482,14,0.21428571428571427,-0.007484447353935053,-0.00672793802980054,-0.003920043969364406,-0.010373613516225566,-0.3778860628683526,0.0015881114344185516,759.4484983444215,0.0007594484983444215,0.42531120331950206,0.9880822746276733,0.03549902264886409,0.05673463925205579,992515.5526460649,-0.48143620663016506,WF4,baseline,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_breakout_core_baseline,WF5,baseline,risk_unit,0.005,0.03,20,0.2,0.2,483,27,0.25925925925925924,-0.010320659202623261,-0.00899308786736519,-0.0053980491082328275,-0.017681524783330738,-0.30529319017338596,0.002813254360045876,1337.6675072193148,0.0013376675072193148,0.8778467908902692,0.9747106371708287,0.03540188742420585,0.0883566719614042,989679.3407973767,-0.6518160401342257,WF5,baseline,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
pit_original_pullback_baseline,WF1,baseline,risk_unit,0.005,0.03,20,0.2,0.2,486,95,0.29473684210526313,-0.02220711029142164,-0.017460439282771856,-0.011577042378931646,-0.05378617526453955,-0.21524197104537796,0.010124572511981081,4735.116010606289,0.004735116010606289,2.4176954732510287,0.9330702281712996,0.040173946228918976,0.09510288589627716,977792.8897085784,-2.06395602922139,WF1,baseline,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_original_pullback_baseline,WF2,baseline,risk_unit,0.005,0.03,20,0.2,0.2,485,74,0.35135135135135137,0.024139207872139412,0.028165738417196273,0.012470561452158746,-0.03600864611694943,0.34632130882279405,0.008061302103085047,3964.787999403477,0.003964787999403477,2.1030927835051547,0.941093566413219,0.04646364101926503,0.11044018675473768,1024139.2078721395,-0.8220379251379035,WF2,baseline,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_original_pullback_baseline,WF3,baseline,risk_unit,0.005,0.03,20,0.2,0.2,483,36,0.2777777777777778,-0.017045377449393606,-0.015201997371434794,-0.008929797585054744,-0.035907668727037434,-0.2486877567278787,0.0038907265819304302,1862.369493842125,0.001862369493842125,0.8322981366459627,0.9778057692332397,0.036210414138118215,0.10724272039454953,982954.6225506064,-1.3440396070148104,WF3,baseline,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_original_pullback_baseline,WF4,baseline,risk_unit,0.005,0.03,20,0.2,0.2,482,37,0.1891891891891892,-0.020431038715958527,-0.018522318811086014,-0.010734388140978046,-0.025725901633140147,-0.41725993879841283,0.004059114363605062,1933.036997437477,0.0019330369974374772,0.8257261410788381,0.9773045662783999,0.03702504257083389,0.09280040541552304,979568.9612840415,-1.299947028519928,WF4,baseline,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_original_pullback_baseline,WF5,baseline,risk_unit,0.005,0.03,20,0.2,0.2,483,99,0.2222222222222222,-0.03642165380355111,-0.03163240236126652,-0.01917114468845693,-0.04993973228896276,-0.38388561191173964,0.010481489225564498,4879.664000236989,0.004879664000236989,2.1469979296066253,0.9384756724453697,0.03666074047984479,0.20086079858237896,963578.3461964489,-2.0518015756943764,WF5,baseline,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
pit_strong_trend_pullback_candidate,WF1,candidate,risk_unit,0.005,0.03,20,0.2,0.2,486,42,0.2857142857142857,-6.615474302762436e-05,0.0021480726914500092,-3.430300567131006e-05,-0.028884289833890575,-0.0011876007985164858,0.00459900040497489,2197.1595056772235,0.0021971595056772234,1.2592592592592593,0.9634676210556485,0.04385930617660239,0.07297249625572456,999933.8452569724,-1.1908673014434363,WF1,candidate,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_strong_trend_pullback_candidate,WF2,candidate,risk_unit,0.005,0.03,20,0.2,0.2,485,23,0.391304347826087,0.022337598916553958,0.02355229136518422,0.011544741830599614,-0.013446507943286279,0.8585680296544056,0.002425572450433726,1201.4045033216478,0.0012014045033216477,0.9216494845360824,0.9744490833008634,0.04316565664204286,0.07181623728419562,1022337.598916554,-0.6261677514391979,WF2,candidate,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_strong_trend_pullback_candidate,WF3,candidate,risk_unit,0.005,0.03,20,0.2,0.2,483,10,0.2,-0.004287177682876675,-0.0037843912796611257,-0.0022390863569919928,-0.01266936361355353,-0.17673234625586445,0.001048882055717338,504.17749977111816,0.0005041774997711181,0.33540372670807456,0.9912061776438699,0.0331516050976636,0.05477665395385532,995712.8223171233,-0.415055800050645,WF3,candidate,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_strong_trend_pullback_candidate,WF4,candidate,risk_unit,0.005,0.03,20,0.2,0.2,482,18,0.16666666666666666,-0.009806809547996509,-0.008874529965039124,-0.005139266559003652,-0.010397692320749052,-0.4942699207157746,0.0019621236711782073,936.810997581482,0.000936810997581482,0.491701244813278,0.986641749728861,0.035581635204493894,0.056864682437525495,990193.1904520035,-0.5892974972179323,WF4,candidate,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_strong_trend_pullback_candidate,WF5,candidate,risk_unit,0.005,0.03,20,0.2,0.2,483,40,0.2,-0.017260967498707425,-0.01524791356296784,-0.009043213983248477,-0.024269125363795774,-0.3726221628381785,0.004276258324057022,2033.9735087633135,0.0020339735087633133,1.0724637681159421,0.9695279689626928,0.035471018818645235,0.11586591161078705,982739.0325012925,-0.9393621885785041,WF5,candidate,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
