datetime,instruments,breakout_entry,original_pullback_entry,raw_pullback_shape,combined_entry,trend_score_median
2017-07-04,114,0,0,0,0,
2017-07-05,115,0,0,6,0,
2017-07-06,114,0,0,16,0,
2017-07-07,117,0,0,12,0,
2017-07-10,116,0,0,14,0,
2017-07-11,116,0,0,15,0,
2017-07-12,115,0,0,15,0,
2017-07-13,116,0,0,16,0,
2017-07-14,115,0,0,15,0,
2017-07-17,113,0,0,5,0,
2017-07-18,115,0,0,15,0,0.22088069246067588
2017-07-19,115,0,0,13,0,0.14500082801453118
2017-07-20,115,0,0,8,0,0.15429075277805765
2017-07-21,116,0,0,6,0,0.1846921086911634
2017-07-24,118,0,0,12,0,0.14121445412552894
2017-07-25,119,0,0,4,0,0.28153222198222116
2017-07-26,119,0,0,20,0,0.2377646386692789
2017-07-27,120,0,1,21,1,0.1689800372056219
2017-07-28,119,0,1,31,1,0.13886140444087264
2017-07-31,118,0,0,23,0,0.19745540042490284
2017-08-01,117,0,0,24,0,0.33389141613603635
2017-08-02,119,0,0,7,0,0.21845382671979874
2017-08-03,118,0,0,5,0,0.18774514204700607
2017-08-04,118,0,0,13,0,0.2619859927577569
2017-08-07,118,0,0,20,0,0.2364602412434525
2017-08-08,118,0,0,14,0,0.14439815365622918
2017-08-09,119,2,0,8,2,0.09537490822429931
2017-08-10,119,1,0,10,1,0.2084249700703398
2017-08-11,118,0,0,8,0,
2017-08-14,118,0,0,8,0,0.2899259814866786
2017-08-15,119,0,0,15,0,0.2980665358383915
2017-08-16,119,0,1,9,1,0.17951818261444824
2017-08-17,119,0,0,11,0,0.1149541770400066
2017-08-18,119,0,2,19,2,0.1484772913887019
2017-08-21,120,0,1,14,1,0.04890520953787687
2017-08-22,119,0,0,16,0,0.16994410826285283
2017-08-23,120,0,2,19,2,0.09895865447259058
2017-08-24,120,0,0,3,0,0.018822565023478757
2017-08-25,120,0,1,29,1,0.06777965180839332
2017-08-28,120,0,0,32,0,0.034525090662575655
2017-08-29,121,0,0,11,0,0.054294087215362816
2017-08-30,121,0,0,24,0,0.017289993312705282
2017-08-31,121,1,0,10,1,-0.005418747423117504
2017-09-01,124,0,0,16,0,0.1954740189173136
2017-09-04,125,1,0,24,1,0.10007055748515868
2017-09-05,124,0,0,14,0,0.10853491958216868
2017-09-06,124,0,0,10,0,0.09040105699563034
