instrument,path,rows,start,end,duplicate_dates,missing_values,max_abs_close_jump,max_abs_factor_jump,errors
SH000300,Explore7/data/interim/qlib_csv/day/SH000300.csv,2263,2017-01-03,2026-04-30,0,2263,0.08482632837295823,0.0,
SH600000,Explore7/data/interim/qlib_csv/day/SH600000.csv,2263,2017-01-03,2026-04-30,0,0,0.10069444444444442,0.31691748303002587,
SH600009,Explore7/data/interim/qlib_csv/day/SH600009.csv,2252,2017-01-03,2026-04-30,0,0,0.10004284490145676,0.012043630739851707,
SH600010,Explore7/data/interim/qlib_csv/day/SH600010.csv,2254,2017-01-03,2026-04-30,0,0,0.10344827586206895,0.39780387042916376,
SH600011,Explore7/data/interim/qlib_csv/day/SH600011.csv,2263,2017-01-03,2026-04-30,0,0,0.10188087774294674,0.0438681170481976,
SH600015,Explore7/data/interim/qlib_csv/day/SH600015.csv,2263,2017-01-03,2026-04-30,0,0,0.09623430962343105,0.22043010742582703,
SH600016,Explore7/data/interim/qlib_csv/day/SH600016.csv,2263,2017-01-03,2026-04-30,0,0,0.09999999999999987,0.21755872161490508,
SH600018,Explore7/data/interim/qlib_csv/day/SH600018.csv,2260,2017-01-03,2026-04-30,0,0,0.1018099547511313,0.03483338369841271,
SH600019,Explore7/data/interim/qlib_csv/day/SH600019.csv,2244,2017-01-03,2026-04-30,0,0,0.10025706940874035,0.07692201521224074,
SH600021,Explore7/data/interim/qlib_csv/day/SH600021.csv,2257,2017-01-03,2026-04-30,0,0,0.10102489019033678,0.03835037764502558,
SH600023,Explore7/data/interim/qlib_csv/day/SH600023.csv,2263,2017-01-03,2026-04-30,0,0,0.09971509971509973,0.0670553936321765,
SH600025,Explore7/data/interim/qlib_csv/day/SH600025.csv,2030,2017-12-15,2026-04-30,0,0,0.10210210210210202,0.05282602699861205,
SH600026,Explore7/data/interim/qlib_csv/day/SH600026.csv,2258,2017-01-03,2026-04-30,0,0,0.10064102564102573,0.03242386698053101,
SH600027,Explore7/data/interim/qlib_csv/day/SH600027.csv,2252,2017-01-03,2026-04-30,0,0,0.10179640718562877,0.07877528150086976,
SH600028,Explore7/data/interim/qlib_csv/day/SH600028.csv,2263,2017-01-03,2026-04-30,0,0,0.10061919504643968,0.07468146066068537,
SH600029,Explore7/data/interim/qlib_csv/day/SH600029.csv,2260,2017-01-03,2026-04-30,0,0,0.09983079526226724,0.013764880918367473,
SH600030,Explore7/data/interim/qlib_csv/day/SH600030.csv,2246,2017-01-03,2026-04-30,0,0,0.10030395136778103,0.06078225149282446,
SH600031,Explore7/data/interim/qlib_csv/day/SH600031.csv,2263,2017-01-03,2026-04-30,0,0,0.0999585234342597,0.025989482272540165,
SH600036,Explore7/data/interim/qlib_csv/day/SH600036.csv,2263,2017-01-03,2026-04-30,0,0,0.09996404171161455,0.060312067439840966,
SH600039,Explore7/data/interim/qlib_csv/day/SH600039.csv,2251,2017-01-03,2026-04-30,0,0,0.10382513661202175,0.49280522036401053,
SH600048,Explore7/data/interim/qlib_csv/day/SH600048.csv,2263,2017-01-03,2026-04-30,0,0,0.10115911485774487,0.06472478576244312,
SH600050,Explore7/data/interim/qlib_csv/day/SH600050.csv,2168,2017-01-03,2026-04-30,0,0,0.10256410256410264,0.02022058821466466,
SH600061,Explore7/data/interim/qlib_csv/day/SH600061.csv,2263,2017-01-03,2026-04-30,0,0,0.12010443864229758,0.5435302151326964,
SH600066,Explore7/data/interim/qlib_csv/day/SH600066.csv,2262,2017-01-03,2026-04-30,0,0,0.10052356020942388,0.07908984481649406,
SH600068,Explore7/data/interim/qlib_csv/day/SH600068.csv,1126,2017-01-03,2021-09-01,0,0,0.10396039603960394,0.03479946936627809,
SH600079,Explore7/data/interim/qlib_csv/day/SH600079.csv,2250,2017-01-03,2026-04-30,0,0,0.11138411138411142,0.026905212698518532,
SH600085,Explore7/data/interim/qlib_csv/day/SH600085.csv,2263,2017-01-03,2026-04-30,0,0,0.10917030567685582,0.019569359860847957,
SH600089,Explore7/data/interim/qlib_csv/day/SH600089.csv,2257,2017-01-03,2026-04-30,0,0,0.10091743119266061,0.3666606828266876,
SH600095,Explore7/data/interim/qlib_csv/day/SH600095.csv,2242,2017-01-03,2026-04-30,0,0,0.10857142857142854,0.01947688646575174,
SH600096,Explore7/data/interim/qlib_csv/day/SH600096.csv,2261,2017-01-03,2026-04-30,0,0,0.10080645161290325,0.061682463559034284,
SH600104,Explore7/data/interim/qlib_csv/day/SH600104.csv,2263,2017-01-03,2026-04-30,0,0,0.10046265697290147,0.05509663363932993,
SH600105,Explore7/data/interim/qlib_csv/day/SH600105.csv,2263,2017-01-03,2026-04-30,0,0,0.11009174311926606,0.32233388021687115,
SH600109,Explore7/data/interim/qlib_csv/day/SH600109.csv,2253,2017-01-03,2026-04-30,0,0,0.11029411764705865,0.020458235625154364,
SH600111,Explore7/data/interim/qlib_csv/day/SH600111.csv,2263,2017-01-03,2026-04-30,0,0,0.10062333036509341,0.012632684254556326,
SH600115,Explore7/data/interim/qlib_csv/day/SH600115.csv,2263,2017-01-03,2026-04-30,0,0,0.09986504723346834,0.011185682323907375,
SH600118,Explore7/data/interim/qlib_csv/day/SH600118.csv,2263,2017-01-03,2026-04-30,0,0,0.10041841004184104,0.005667588057217676,
SH600132,Explore7/data/interim/qlib_csv/day/SH600132.csv,2263,2017-01-03,2026-04-30,0,0,0.2899728997289972,0.238177931323432,
SH600141,Explore7/data/interim/qlib_csv/day/SH600141.csv,2262,2017-01-03,2026-04-30,0,0,0.1578947368421053,0.21896702066444584,
SH600143,Explore7/data/interim/qlib_csv/day/SH600143.csv,2182,2017-01-03,2026-04-30,0,0,0.10169491525423724,0.027840219018211654,
SH600150,Explore7/data/interim/qlib_csv/day/SH600150.csv,2122,2017-01-03,2026-04-30,0,0,0.10058027079303655,0.008172605444275227,
SH600160,Explore7/data/interim/qlib_csv/day/SH600160.csv,2253,2017-01-03,2026-04-30,0,0,0.10055521283158553,0.3110560014404309,
SH600161,Explore7/data/interim/qlib_csv/day/SH600161.csv,2168,2017-03-24,2026-04-30,0,0,0.10575296108291032,0.31217678396948023,
SH600176,Explore7/data/interim/qlib_csv/day/SH600176.csv,2251,2017-01-03,2026-04-30,0,0,0.10105580693815996,0.22839259416860935,
SH600183,Explore7/data/interim/qlib_csv/day/SH600183.csv,2263,2017-01-03,2026-04-30,0,0,0.1003360537686031,0.4994930148226311,
SH600188,Explore7/data/interim/qlib_csv/day/SH600188.csv,2263,2017-01-03,2026-04-30,0,0,0.102112676056338,0.7176501889620999,
SH600196,Explore7/data/interim/qlib_csv/day/SH600196.csv,2263,2017-01-03,2026-04-30,0,0,0.10025111068186199,0.014286374417266101,
SH600219,Explore7/data/interim/qlib_csv/day/SH600219.csv,2257,2017-01-03,2026-04-30,0,0,0.10313901345291487,0.09036879004828635,
SH600221,Explore7/data/interim/qlib_csv/day/SH600221.csv,2132,2017-01-03,2026-04-30,0,0,0.10399999999999987,0.015664674386176802,
SH600233,Explore7/data/interim/qlib_csv/day/SH600233.csv,2263,2017-01-03,2026-04-30,0,0,0.10046012269938664,0.028368794329887814,
SH600236,Explore7/data/interim/qlib_csv/day/SH600236.csv,2263,2017-01-03,2026-04-30,0,0,0.10218978102189769,0.3562555053868326,
SH600256,Explore7/data/interim/qlib_csv/day/SH600256.csv,2222,2017-01-03,2026-04-30,0,0,3.5,3.3783783782285397,
SH600271,Explore7/data/interim/qlib_csv/day/SH600271.csv,2258,2017-01-03,2026-04-30,0,0,0.10772833723653386,0.019437489326716628,
SH600276,Explore7/data/interim/qlib_csv/day/SH600276.csv,2263,2017-01-03,2026-04-30,0,0,0.10006157635467972,0.30178719474300486,
SH600292,Explore7/data/interim/qlib_csv/day/SH600292.csv,2253,2017-01-03,2026-04-30,0,0,0.10137457044673537,0.011057715600020224,
SH600295,Explore7/data/interim/qlib_csv/day/SH600295.csv,2237,2017-01-03,2026-04-30,0,0,12.0,11.597419353870647,
SH600297,Explore7/data/interim/qlib_csv/day/SH600297.csv,1831,2017-01-03,2024-07-17,0,0,0.10526315789473673,0.3287482805871129,
SH600298,Explore7/data/interim/qlib_csv/day/SH600298.csv,2263,2017-01-03,2026-04-30,0,0,0.11517113783533772,0.016900670993515,
SH600309,Explore7/data/interim/qlib_csv/day/SH600309.csv,2138,2017-01-03,2026-04-30,0,0,0.10024855012427492,0.2217487497981867,
SH600331,Explore7/data/interim/qlib_csv/day/SH600331.csv,2218,2017-01-23,2026-04-30,0,0,0.10194174757281549,0.0,
SH600332,Explore7/data/interim/qlib_csv/day/SH600332.csv,2215,2017-01-03,2026-04-30,0,0,0.12415349887133176,0.02517623362834831,
SH600340,Explore7/data/interim/qlib_csv/day/SH600340.csv,2244,2017-01-03,2026-04-29,0,0,0.11871113623516094,0.3736532810034585,
SH600346,Explore7/data/interim/qlib_csv/day/SH600346.csv,2200,2017-03-14,2026-04-30,0,0,0.10085470085470083,0.42446388333828144,
SH600348,Explore7/data/interim/qlib_csv/day/SH600348.csv,2263,2017-01-03,2026-04-30,0,0,0.3090909090909092,0.6066029078379271,
SH600350,Explore7/data/interim/qlib_csv/day/SH600350.csv,2263,2017-01-03,2026-04-30,0,0,0.2142857142857144,0.1269841270623584,
SH600352,Explore7/data/interim/qlib_csv/day/SH600352.csv,2263,2017-01-03,2026-04-30,0,0,0.12297734627831725,0.029539009625415558,
SH600362,Explore7/data/interim/qlib_csv/day/SH600362.csv,2263,2017-01-03,2026-04-30,0,0,0.10025062656641581,0.029914147293576443,
SH600372,Explore7/data/interim/qlib_csv/day/SH600372.csv,2240,2017-01-03,2026-04-30,0,0,0.10074318744838973,0.009871328356013231,
SH600377,Explore7/data/interim/qlib_csv/day/SH600377.csv,2263,2017-01-03,2026-04-30,0,0,0.09965237543453065,0.06121747036710956,
SH600378,Explore7/data/interim/qlib_csv/day/SH600378.csv,2126,2017-01-03,2026-04-30,0,0,0.12939521800281284,0.02984803546522241,
SH600383,Explore7/data/interim/qlib_csv/day/SH600383.csv,2263,2017-01-03,2026-04-30,0,0,0.1292372881355932,0.07161563048606112,
SH600390,Explore7/data/interim/qlib_csv/day/SH600390.csv,2256,2017-01-03,2026-04-30,0,0,0.12638580931263865,0.2219106087591105,
SH600392,Explore7/data/interim/qlib_csv/day/SH600392.csv,2263,2017-01-03,2026-04-30,0,0,0.10843373493975927,0.3026118872234991,
SH600398,Explore7/data/interim/qlib_csv/day/SH600398.csv,2258,2017-01-03,2026-04-30,0,0,0.14829659318637278,0.10125927198852214,
SH600399,Explore7/data/interim/qlib_csv/day/SH600399.csv,2054,2017-01-03,2026-04-30,0,0,0.10108695652173938,0.008523188576504692,
SH600406,Explore7/data/interim/qlib_csv/day/SH600406.csv,2156,2017-06-08,2026-04-30,0,0,0.101010101010101,0.2185680798879206,
