date,instrument,missing_fields,missing_field_count
2017-07-04,SH600061,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600068,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600297,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600340,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600383,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600518,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600606,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600637,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600663,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600688,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600705,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600816,"open,high,low,close,volume,money,factor",7
2017-07-04,SH600837,"open,high,low,close,volume,money,factor",7
2017-07-04,SH601933,"open,high,low,close,volume,money,factor",7
2017-07-04,SH601992,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ000069,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ000333,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ000413,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ000783,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ002010,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ002024,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ002120,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ002450,"open,high,low,close,volume,money,factor",7
2017-07-04,SZ002456,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600061,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600068,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600297,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600340,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600383,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600518,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600606,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600637,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600663,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600688,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600705,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600816,"open,high,low,close,volume,money,factor",7
2017-07-05,SH600837,"open,high,low,close,volume,money,factor",7
2017-07-05,SH601933,"open,high,low,close,volume,money,factor",7
2017-07-05,SH601992,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ000069,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ000333,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ000413,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ000783,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002010,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002024,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002120,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002450,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002456,"open,high,low,close,volume,money,factor",7
2017-07-05,SZ002673,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600061,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600068,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600297,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600340,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600383,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600518,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600606,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600637,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600663,"open,high,low,close,volume,money,factor",7
2017-07-06,SH600688,"open,high,low,close,volume,money,factor",7
