source_key,source_path,key_path,value,classification,used_for_calculation,reason,sha256
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,qlib,<structural_config>,allowed_structural_config_key,True,closed whitelist structural key,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,costs,<structural_config>,allowed_structural_config_key,True,closed whitelist structural key,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,rules,<structural_config>,allowed_structural_config_key,True,closed whitelist structural key,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,targets,<structural_config>,allowed_structural_config_key,True,closed whitelist structural key,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.provider_uri,Explore1/data/qlib/cn_data,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.explore1_universe_csv,Explore1/data/universe/mcap500_mainboard_20251231.csv,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.explore1_universe_qlib,Explore1/data/universe/qlib_mcap500_mainboard_20251231.txt,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.universe_csv,Explore4/data/universe/mcap500_mainboard_20251231.csv,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.universe_qlib,Explore4/data/universe/qlib_mcap500_mainboard_20251231.txt,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
source_rule_config,Explore4/configs/trend_rule_v1_frozen.yaml,paths.target_dir,Explore4/data/targets,forbidden_result_path,False,source config path keys are not calculation inputs,5e8ba37a8ce98ee3efb18139e5e1c0aa1859fd85e0a3df2e0e05872cbc27f3c7
