stage,split,model_id,score_id,target_id,history_policy_id,history_window_mode,trailing_history_window_sessions,auc_target_id,auc_score_direction,rank_ic_expected_sign,event_n,positive_n,base_rate,auc,spearman_rank_ic,rank_ic_pvalue,decile_lift,quintile_lift,tail_bucket_rate,direction_check_status,rank_quality_status
stage_1,all,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,15113,5632,0.3726592999404486,0.7323583320948116,0.38918544363549457,,0.6276455026455027,0.6276455026455027,0.7255291005291006,pass,readout
stage_1,train,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,8303,3476,0.418643863663736,0.7382779617814351,0.4072095906970455,,0.6823104693140793,0.6823104693140793,0.7593261131167268,pass,readout
stage_1,validation,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,2151,731,0.3398419339841934,0.6941648523149844,0.31858383586198746,,0.5260120585701982,0.5260120585701982,0.6186046511627907,pass,readout
stage_1,robustness,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,4659,1425,0.30585962652929816,0.7217841139645651,0.3540020668370578,,0.5257510729613735,0.5257510729613735,0.628755364806867,pass,readout
stage_1,all,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,15113,5632,0.3726592999404486,0.7323583320948116,0.38918544363549457,,0.6276455026455027,0.6276455026455027,0.7255291005291006,pass,readout
stage_1,train,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,8303,3476,0.418643863663736,0.7382779617814351,0.4072095906970455,,0.6823104693140793,0.6823104693140793,0.7593261131167268,pass,readout
stage_1,validation,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,2151,731,0.3398419339841934,0.6941648523149844,0.31858383586198746,,0.5260120585701982,0.5260120585701982,0.6186046511627907,pass,readout
stage_1,robustness,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,4659,1425,0.30585962652929816,0.7217841139645651,0.3540020668370578,,0.5257510729613735,0.5257510729613735,0.628755364806867,pass,readout
stage_1,all,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,15113,5632,0.3726592999404486,0.7323583320948116,0.38918544363549457,,0.6276455026455027,0.6276455026455027,0.7255291005291006,pass,readout
stage_1,train,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,8303,3476,0.418643863663736,0.7382779617814351,0.4072095906970455,,0.6823104693140793,0.6823104693140793,0.7593261131167268,pass,readout
stage_1,validation,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,2151,731,0.3398419339841934,0.6941648523149844,0.31858383586198746,,0.5260120585701982,0.5260120585701982,0.6186046511627907,pass,readout
stage_1,robustness,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,4659,1425,0.30585962652929816,0.7217841139645651,0.3540020668370578,,0.5257510729613735,0.5257510729613735,0.628755364806867,pass,readout
stage_1,all,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,15113,5632,0.3726592999404486,0.7323583320948116,0.38918544363549457,,0.6276455026455027,0.6276455026455027,0.7255291005291006,pass,readout
stage_1,train,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,8303,3476,0.418643863663736,0.7382779617814351,0.4072095906970455,,0.6823104693140793,0.6823104693140793,0.7593261131167268,pass,readout
stage_1,validation,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,2151,731,0.3398419339841934,0.6941648523149844,0.31858383586198746,,0.5260120585701982,0.5260120585701982,0.6186046511627907,pass,readout
stage_1,robustness,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_1_fast_fail_target,higher_score_higher_positive_probability,positive,4659,1425,0.30585962652929816,0.7217841139645651,0.3540020668370578,,0.5257510729613735,0.5257510729613735,0.628755364806867,pass,readout
stage_2,all,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,7185,914,0.12720946416144746,0.6543770480419925,0.17819195195536425,,0.2169680111265647,0.2169680111265647,0.26564673157162727,pass,readout
stage_2,train,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,3107,471,0.15159317669777922,0.695043155524197,0.2423054951238134,,0.27974276527331193,0.27974276527331193,0.31511254019292606,pass,readout
stage_2,validation,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,1292,101,0.0781733746130031,0.6132545244448878,0.10531745792903066,,0.09230769230769231,0.09230769230769231,0.12307692307692308,pass,readout
