stage,feature_name,orientation_selected_on_train,selection_split,history_policy_id,history_window_mode,trailing_history_window_sessions,stage1_gate_source,stage1_budget_X,stage2_budget_X,budget_tuple_role,split,denominator_n,rank_evaluable_n,common_denominator_n,common_denominator_coverage,denominator_positive_n,rank_evaluable_positive_n,selected_n,selected_positive_n,matched_selected_n,matched_selected_rate,selected_budget_total,selected_budget_rank_evaluable,selected_rate,base_rate,challenger_status,denominator_match_status,diagnostic_only_flag
stage_1,volatility_60d,asc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,all,15113,14825,14825,1.0,5632,5445,8087,1949,8087,0.24100408062322246,0.5351022298683252,0.5454974704890387,0.24100408062322246,0.3672849915682968,ok,pass,False
stage_1,volatility_60d,asc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,train,8303,8050,8050,1.0,3476,3310,3979,1049,3979,0.2636340789143001,0.4792243767313019,0.4942857142857143,0.2636340789143001,0.4111801242236025,ok,pass,False
stage_1,volatility_60d,asc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,validation,2151,2133,2133,1.0,731,718,1681,466,1681,0.2772159428911362,0.7814969781496978,0.7880918893577121,0.2772159428911362,0.336615096108767,ok,pass,False
stage_1,volatility_60d,asc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,robustness,4659,4642,4642,1.0,1425,1417,2427,434,2427,0.1788215904408735,0.5209272376046362,0.522834984920293,0.1788215904408735,0.3052563550193882,ok,pass,False
stage_2,distance_to_120d_low,desc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,0.5,primary,all,6118,6008,6008,1.0,740,726,2730,448,2730,0.1641025641025641,0.4462242562929062,0.4543941411451398,0.1641025641025641,0.12083888149134488,ok,pass,False
stage_2,distance_to_120d_low,desc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,0.5,primary,train,2958,2867,2867,1.0,444,432,1427,303,1427,0.212333566923616,0.482420554428668,0.49773282176491107,0.212333566923616,0.15068015347052668,ok,pass,False
stage_2,distance_to_120d_low,desc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,0.5,primary,validation,1210,1197,1197,1.0,94,93,497,45,497,0.09054325955734406,0.41074380165289254,0.4152046783625731,0.09054325955734406,0.07769423558897243,ok,pass,False
stage_2,distance_to_120d_low,desc,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,0.5,primary,robustness,1950,1944,1944,1.0,202,201,806,100,806,0.12406947890818859,0.41333333333333333,0.41460905349794236,0.12406947890818859,0.10339506172839506,ok,pass,False
