stage,split,history_policy_id,history_window_mode,trailing_history_window_sessions,stage1_gate_source,stage1_budget_X,stage2_budget_X,budget_tuple_role,model_id,score_id,target_id,denominator_n,rank_evaluable_n,rank_not_evaluable_n,denominator_positive_n,rank_evaluable_positive_n,selected_n,selected_positive_n,selected_budget_total,selected_budget_rank_evaluable,selected_rate,base_rate,delta_vs_base,random_p05,random_p50,random_p95,delta_vs_random_p50,single_feature_name,single_feature_common_denominator_n,single_feature_matched_selected_n,single_feature_actual_budget_common,single_feature_selected_rate,delta_vs_single_feature,relative_lift_vs_random_p50,relative_lift_vs_single_feature,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_random_ci95_low,bootstrap_random_ci95_high,bootstrap_single_feature_ci95_low,bootstrap_single_feature_ci95_high,bootstrap_positive_n,bootstrap_status,readout_status,diagnostic_only_flag
stage_1,all,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.3,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,15113,14825,288,5632,5445,4942,954,0.3270032422417786,0.3333558178752108,0.19303925536220154,0.3672849915682968,-0.17424573620609526,0.2689487543042333,0.27830666396597126,0.28690500303828237,-0.08526740860376972,volatility_60d,14825.0,8087.0,0.5454974704890387,0.24100408062322246,-0.047964825261020916,-0.30637932771238063,-0.1990208013780791,,,,,,,954,pending,ok,False
stage_1,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.3,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,8303,8050,253,3476,3310,2220,439,0.267373238588462,0.27577639751552796,0.19774774774774775,0.4111801242236025,-0.21343237647585475,0.2854082092918358,0.30175913396481735,0.31763644564727106,-0.1040113862170696,volatility_60d,8050.0,3979.0,0.4942857142857143,0.2636340789143001,-0.06588633116655232,-0.3446834727103786,-0.24991583575949639,,,,,,,439,pending,ok,False
stage_1,validation,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.3,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,2151,2133,18,731,718,1189,267,0.5527661552766155,0.5574308485700891,0.22455845248107653,0.336615096108767,-0.11205664362769047,0.2752104377104377,0.29335016835016836,0.31233164983164985,-0.06879171586909183,volatility_60d,2133.0,1681.0,0.7880918893577121,0.2772159428911362,-0.05265749041005968,-0.23450375452648808,-0.18995116175817672,,,,,,,267,pending,ok,False
stage_1,robustness,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.3,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,4659,4642,17,1425,1417,1533,248,0.3290405666452028,0.3302455838000862,0.16177429876060012,0.3052563550193882,-0.14348205625878807,0.21801566579634465,0.23368146214099217,0.2493798955613577,-0.07190716338039205,volatility_60d,4642.0,2427.0,0.522834984920293,0.1788215904408735,-0.017047291680273385,-0.30771445334849334,-0.09533128319821083,,,,,,,248,pending,ok,False
stage_1,all,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,15113,14825,288,5632,5445,8087,1969,0.5351022298683252,0.5454974704890387,0.243477185606529,0.3672849915682968,-0.1238078059617678,0.28409821870361207,0.29156358238495794,0.29861454725383474,-0.048086396778428936,volatility_60d,14825.0,8087.0,0.5454974704890387,0.24100408062322246,0.002473104983306551,-0.164925936171752,0.010261672652642329,-0.05785711499057108,-0.03868868503074583,-0.05785711499057108,-0.03868868503074583,-0.004235842436733794,0.008915185570616865,1969,bootstrap_vs_random_nested_random_seed;bootstrap_vs_single_feature_paired_event,ok,False
stage_1,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,8303,8050,253,3476,3310,3979,1021,0.4792243767313019,0.4942857142857143,0.2565971349585323,0.4111801242236025,-0.1545829892650702,0.3106837606837607,0.32277526395173456,0.3333333333333333,-0.06617812899320225,volatility_60d,8050.0,3979.0,0.4942857142857143,0.2636340789143001,-0.0070369439557677604,-0.20502850244155646,-0.026692087702573808,-0.08025208008206991,-0.05234872788019455,-0.08025208008206991,-0.05234872788019455,-0.018084876259168513,0.00363898473370577,1021,bootstrap_vs_random_nested_random_seed;bootstrap_vs_single_feature_paired_event,ok,False
stage_1,validation,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,2151,2133,18,731,718,1681,471,0.7814969781496978,0.7880918893577121,0.28019036287923854,0.336615096108767,-0.056424733229528456,0.28622023809523806,0.3005952380952381,0.31788690476190473,-0.02040487521599954,volatility_60d,2133.0,1681.0,0.7880918893577121,0.2772159428911362,0.002974419988102328,-0.06788156507500842,0.010729613733905685,-0.04241630902807285,0.0022003714484008993,-0.04241630902807285,0.0022003714484008993,-0.00939588943876427,0.015052893344303741,471,bootstrap_vs_random_nested_random_seed;bootstrap_vs_single_feature_paired_event,ok,False
stage_1,robustness,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.5,,primary,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,4659,4642,17,1425,1417,2427,477,0.5209272376046362,0.522834984920293,0.1965389369592089,0.3052563550193882,-0.10871741806017929,0.22009480626545755,0.23392415498763397,0.246558120362737,-0.037385218028425066,volatility_60d,4642.0,2427.0,0.522834984920293,0.1788215904408735,0.017717346518335397,-0.15981768975675636,0.09907834101382496,-0.052837504768251914,-0.021522594126057115,-0.052837504768251914,-0.021522594126057115,0.006458679866698141,0.02903187060555844,477,bootstrap_vs_random_nested_random_seed;bootstrap_vs_single_feature_paired_event,ok,False
stage_1,all,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.7,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,15113,14825,288,5632,5445,10957,3177,0.7250049626149673,0.7390893760539629,0.28995162909555533,0.3672849915682968,-0.07733336247274147,0.29864852524883573,0.30641037348187383,0.3124006940005479,-0.016458744386318502,volatility_60d,14825.0,8087.0,0.5454974704890387,0.24100408062322246,0.048947548472332875,-0.05371471011013973,0.20309842200911032,,,,,,,3177,pending,ok,False
stage_1,train,board_then_global_rolling_504_sessions,rolling_sessions,504,primary_model_trailing_rank_keep,0.7,,stage_1_curve,logistic_regression_l2,stage1_fast_fail_score,stage_1_fast_fail_target,8303,8050,253,3476,3310,5736,1833,0.6908346380826207,0.7125465838509317,0.3195606694560669,0.4111801242236025,-0.09161945476753558,0.33803418803418805,0.3469387755102041,0.35626199197627767,-0.027378106054137152,volatility_60d,8050.0,3979.0,0.4942857142857143,0.2636340789143001,0.05592659054176685,-0.07891336450898356,0.2121371818548048,,,,,,,1833,pending,ok,False
