stage,split,score_decile,event_n,positive_n,target_rate,score_min,score_max
stage_1,all,1,1512,148,0.09788359788359788,0.016863031915944543,0.1255710798129296
stage_1,all,2,1511,243,0.16082064857710127,0.12557366016231822,0.17865137884705648
stage_1,all,3,1511,328,0.21707478491065518,0.17865554684095963,0.22594935757006365
stage_1,all,4,1511,411,0.27200529450694905,0.22598668444424114,0.2735748525855733
stage_1,all,5,1512,475,0.31415343915343913,0.27357868323201434,0.3235946237380676
stage_1,all,6,1511,578,0.3825281270681668,0.3236208315896787,0.3800530474039317
stage_1,all,7,1511,699,0.4626075446724024,0.3800544811586444,0.4441068124186504
stage_1,all,8,1511,756,0.500330906684315,0.4441397186634922,0.5234019303568875
stage_1,all,9,1511,897,0.5936465916611515,0.5234095824975337,0.6355509955290743
stage_1,all,10,1512,1097,0.7255291005291006,0.635663465843974,0.9997121641641563
stage_1,train,1,831,64,0.07701564380264742,0.03131765323661419,0.1782178656416369
stage_1,train,2,830,163,0.1963855421686747,0.1782978789569898,0.2426066138886074
stage_1,train,3,830,220,0.26506024096385544,0.24268492225471475,0.29673812373694575
stage_1,train,4,830,277,0.3337349397590361,0.29673961607539595,0.3482345428057088
stage_1,train,5,831,321,0.3862815884476534,0.34828000504389356,0.4025786597533958
stage_1,train,6,830,360,0.43373493975903615,0.40260662546234877,0.45548727622539964
stage_1,train,7,830,431,0.519277108433735,0.455517961271361,0.5144659086893631
stage_1,train,8,830,458,0.5518072289156627,0.5144739396150773,0.5834427161213996
stage_1,train,9,830,551,0.6638554216867469,0.5834701709400639,0.6847537908588373
stage_1,train,10,831,631,0.7593261131167268,0.6848449176529764,0.9997121641641563
stage_1,validation,1,216,20,0.09259259259259259,0.016863031915944543,0.09190592698639372
stage_1,validation,2,215,49,0.22790697674418606,0.09248098951068177,0.13791804536040123
stage_1,validation,3,215,44,0.20465116279069767,0.1380546540602897,0.17516687935053613
stage_1,validation,4,215,44,0.20465116279069767,0.1754540086342985,0.2050197180346049
stage_1,validation,5,215,79,0.3674418604651163,0.20505558507747088,0.23555673308832917
stage_1,validation,6,215,70,0.32558139534883723,0.2356775488956393,0.27208244768898343
stage_1,validation,7,215,86,0.4,0.2722464415312014,0.3151880766053784
stage_1,validation,8,215,84,0.39069767441860465,0.31527572859641634,0.36917973035876583
stage_1,validation,9,215,122,0.5674418604651162,0.3692959369107905,0.46116322250793274
stage_1,validation,10,215,133,0.6186046511627907,0.46136880321708007,0.9327920098819283
stage_1,robustness,1,466,48,0.10300429184549356,0.025936056634660105,0.1003521630750662
stage_1,robustness,2,466,62,0.13304721030042918,0.10035392592238786,0.13682325728827124
stage_1,robustness,3,466,72,0.15450643776824036,0.13683284071543167,0.17015875045447068
stage_1,robustness,4,466,94,0.2017167381974249,0.17016933548219842,0.20554919691060086
stage_1,robustness,5,466,123,0.26394849785407726,0.20564550148112046,0.2458482511733046
stage_1,robustness,6,465,123,0.2645161290322581,0.24587856588149162,0.29009064046731187
stage_1,robustness,7,466,164,0.351931330472103,0.29011007103386166,0.3435758144744813
stage_1,robustness,8,466,216,0.463519313304721,0.34374617198541446,0.41607457714905444
stage_1,robustness,9,466,230,0.49356223175965663,0.416106067271851,0.5417055783638987
stage_1,robustness,10,466,293,0.628755364806867,0.5417913457033044,0.99968570690243
stage_2,all,1,719,35,0.048678720445062586,0.009250351516878044,0.051468903349547596
stage_2,all,2,718,54,0.07520891364902507,0.05151240756278289,0.07024472489592738
stage_2,all,3,719,51,0.07093184979137691,0.07024581297578868,0.0861596249250313
