,,risk
excess_return_without_cost,mean,0.00046964633822180424
excess_return_without_cost,std,0.004674159610710824
excess_return_without_cost,annualized_return,0.11177582849678941
excess_return_without_cost,information_ratio,1.550086310033573
excess_return_without_cost,max_drawdown,-0.047385930926031536
excess_return_with_cost,mean,0.00046207939680731455
excess_return_with_cost,std,0.0046709325436225324
excess_return_with_cost,annualized_return,0.10997489644014086
excess_return_with_cost,information_ratio,1.5261649939067017
excess_return_with_cost,max_drawdown,-0.048445930926031534
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0011470194933791984
strategy_return_without_cost,std,0.007342437079927157
strategy_return_without_cost,annualized_return,0.2729906394242492
strategy_return_without_cost,information_ratio,2.4100111045342474
strategy_return_without_cost,max_drawdown,-0.08583291008549077
strategy_return_with_cost,mean,0.0011394525519647085
strategy_return_with_cost,std,0.007341059125876796
strategy_return_with_cost,annualized_return,0.2711897073676006
strategy_return_with_cost,information_ratio,2.3945615352022536
strategy_return_with_cost,max_drawdown,-0.08583291008549077
