version,period,stage,instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return,risk_budget_per_trade,target_loss_budget,initial_risk_per_share,risk_budget_loss_ratio,diagnostic_scope
breakout_only,valid,diagnostic_only,SZ000963,2023-01-09,2023-01-10,2023-01-10,breakout,600,45.529998779296875,27317.999267578125,13.658999633789064,2023-01-30,2023-01-31,45.220001220703125,27132.000732421875,40.698001098632815,-185.99853515625,-240.3555358886726,38.611749744415285,38.611749744415285,6.91824903488159,time_stop,21,-0.0068086441226682,-0.008794034139414517,0.005,5000.0,6.91824903488159,0.048071107177734516,diagnostic_only
breakout_only,valid,diagnostic_only,SH601601,2023-01-13,2023-01-16,2023-01-16,breakout,1200,23.450000762939453,28140.000915527344,14.070000457763673,2023-01-30,2023-01-31,23.649999618530273,28379.999542236328,42.569999313354494,239.99862670898438,183.35862693786765,20.817749071121217,20.817749071121217,2.6322516918182366,time_stop,15,0.008528735568610297,0.006512686122196335,0.005,5002.601703170777,2.6322516918182366,0.0,diagnostic_only
breakout_only,valid,diagnostic_only,SZ002415,2023-02-07,2023-02-08,2023-02-08,breakout,800,34.310001373291016,27448.001098632812,13.724000549316406,2023-02-27,2023-02-28,34.869998931884766,27895.999145507812,41.84399871826172,447.998046875,392.4300476074226,29.080750751495362,29.080750751495362,5.229250621795654,time_stop,20,0.01632170026754024,0.014290072680798557,0.005,5011.590229084015,5.229250621795654,0.0,diagnostic_only
breakout_only,valid,diagnostic_only,SZ002558,2023-02-20,2023-02-21,2023-02-21,breakout,2100,10.239999771118164,21503.999519348145,10.751999759674073,2023-03-03,2023-03-06,10.079999923706055,21167.999839782715,31.751999759674074,-335.9996795654297,-378.50367908477926,7.861750173568725,7.861750173568725,2.3782495975494387,time_stop,13,-0.015624985448084446,-0.017592751594115327,0.005,5018.298609926224,2.3782495975494387,0.0754247023754419,diagnostic_only
breakout_only,valid,diagnostic_only,SH601601,2023-02-13,2023-02-14,2023-02-14,breakout,1200,24.329999923706055,29195.999908447266,14.597999954223633,2023-03-09,2023-03-10,23.969999313354492,28763.99917602539,43.14599876403809,-432.000732421875,-489.74473114013597,21.342250299453735,21.342250299453735,2.98774962425232,time_stop,24,-0.01479657260503294,-0.016765994748750988,0.005,5003.181612743378,2.98774962425232,0.09788665873985651,diagnostic_only
breakout_only,valid,diagnostic_only,SZ002415,2023-03-01,2023-03-02,2023-03-02,breakout,800,36.439998626708984,29151.998901367188,14.575999450683595,2023-03-13,2023-03-14,36.06999969482422,28855.999755859375,43.283999633789065,-295.9991455078125,-353.8591445922859,32.23499956130981,32.23499956130981,4.204999065399171,time_stop,12,-0.010153648348756303,-0.012132351700383001,0.005,5031.471275985241,4.204999065399171,0.07032915924239172,diagnostic_only
breakout_only,valid,diagnostic_only,SH600570,2023-01-16,2023-01-17,2023-01-17,breakout,600,43.189998626708984,25913.99917602539,12.956999588012696,2023-04-24,2023-04-25,46.630001068115234,27978.00064086914,41.96700096130371,2064.00146484375,2009.0774642944336,35.22524890899658,43.189998626708984,7.964749717712401,ema60_exit,98,0.07964812574175285,0.0774899085988408,0.005,5001.9913522529605,7.964749717712401,0.0,diagnostic_only
breakout_only,valid,diagnostic_only,SZ002236,2023-02-27,2023-02-28,2023-02-28,breakout,2300,12.930000305175781,29739.000701904297,14.86950035095215,2023-04-25,2023-04-26,21.190000534057617,48737.00122833252,73.10550184249878,18998.000526428223,18910.025524234774,11.190500068664551,21.600108951552777,1.7395002365112298,trailing_stop,57,0.6388244419124585,0.6355484310340728,0.005,5000.300639337062,1.7395002365112298,0.0,diagnostic_only
breakout_only,valid,diagnostic_only,SH601009,2024-03-05,2024-03-06,2024-03-06,breakout,3900,7.75,30225.0,15.1125,2024-03-19,2024-03-20,7.75,30225.0,45.3375,0.0,-60.45000000000145,6.979999995231628,6.979999995231628,0.7700000047683719,time_stop,14,0.0,-0.001999000499750173,0.005,5100.162142861844,0.7700000047683719,0.011852564351234775,diagnostic_only
breakout_only,valid,diagnostic_only,SH600027,2024-03-07,2024-03-08,2024-03-08,breakout,5000,6.079999923706055,30399.999618530273,15.199999809265137,2024-03-19,2024-03-20,6.03000020980835,30150.001049041748,45.22500157356262,-249.9985694885254,-310.42357087135315,5.125249779224395,5.125249779224395,0.9547501444816593,time_stop,12,-0.008223637257420856,-0.010206198702183634,0.005,5102.426578130246,0.9547501444816593,0.060838419939617444,diagnostic_only
