prototype_type,cluster_split_bucket,threshold_id,state,high_membership_anchor_n,high_membership_state_share,baseline_state_share,share_delta,overlap_status,overlap_source_status
smooth_trend_winner,train,up100pct,compression_state,1387,0.1232876712328767,0.20967142808901496,-0.08638375685613825,independent_of_known_failure,pass
smooth_trend_winner,train,up100pct,drawdown_reversal_state,1387,0.1802451333813987,0.18687738493229325,-0.006632251550894558,independent_of_known_failure,pass
stair_step_winner,train,up100pct,compression_state,7718,0.16299559471365638,0.20967142808901496,-0.04667583337535858,independent_of_known_failure,pass
stair_step_winner,train,up100pct,drawdown_reversal_state,7718,0.12140450894013993,0.18687738493229325,-0.06547287599215332,independent_of_known_failure,pass
jump_repricing_winner,train,up100pct,compression_state,105,0.11428571428571428,0.20967142808901496,-0.09538571380330067,independent_of_known_failure,pass
jump_repricing_winner,train,up100pct,drawdown_reversal_state,105,0.0380952380952381,0.18687738493229325,-0.14878214683705515,independent_of_known_failure,pass
choppy_reversal_winner,train,up100pct,compression_state,284,0.045774647887323945,0.20967142808901496,-0.16389678020169102,independent_of_known_failure,pass
choppy_reversal_winner,train,up100pct,drawdown_reversal_state,284,0.13028169014084506,0.18687738493229325,-0.05659569479144819,independent_of_known_failure,pass
slow_grind_winner,train,up100pct,compression_state,0,,0.20967142808901496,,inconclusive_too_sparse,pass
slow_grind_winner,train,up100pct,drawdown_reversal_state,0,,0.18687738493229325,,inconclusive_too_sparse,pass
late_rescue_winner,train,up100pct,compression_state,2968,0.22371967654986524,0.20967142808901496,0.014048248460850288,independent_of_known_failure,pass
late_rescue_winner,train,up100pct,drawdown_reversal_state,2968,0.3359164420485175,0.18687738493229325,0.14903905711622426,rediscovered_known_failure,pass
smooth_trend_winner,robustness,up100pct,compression_state,309,0.16181229773462782,0.16170212765957448,0.0001101700750533452,independent_of_known_failure,pass
smooth_trend_winner,robustness,up100pct,drawdown_reversal_state,309,0.10355987055016182,0.28315602836879433,-0.17959615781863253,independent_of_known_failure,pass
stair_step_winner,robustness,up100pct,compression_state,2075,0.13349397590361445,0.16170212765957448,-0.02820815175596003,independent_of_known_failure,pass
stair_step_winner,robustness,up100pct,drawdown_reversal_state,2075,0.21590361445783132,0.28315602836879433,-0.06725241391096301,independent_of_known_failure,pass
jump_repricing_winner,robustness,up100pct,compression_state,87,0.16091954022988506,0.16170212765957448,-0.0007825874296894242,independent_of_known_failure,pass
jump_repricing_winner,robustness,up100pct,drawdown_reversal_state,87,0.3103448275862069,0.28315602836879433,0.027188799217412574,independent_of_known_failure,pass
choppy_reversal_winner,robustness,up100pct,compression_state,8,0.0,0.16170212765957448,-0.16170212765957448,inconclusive_too_sparse,pass
choppy_reversal_winner,robustness,up100pct,drawdown_reversal_state,8,0.5,0.28315602836879433,0.21684397163120567,inconclusive_too_sparse,pass
slow_grind_winner,robustness,up100pct,compression_state,0,,0.16170212765957448,,inconclusive_too_sparse,pass
slow_grind_winner,robustness,up100pct,drawdown_reversal_state,0,,0.28315602836879433,,inconclusive_too_sparse,pass
late_rescue_winner,robustness,up100pct,compression_state,0,,0.16170212765957448,,inconclusive_too_sparse,pass
late_rescue_winner,robustness,up100pct,drawdown_reversal_state,0,,0.28315602836879433,,inconclusive_too_sparse,pass
smooth_trend_winner,validation,up100pct,compression_state,121,0.38016528925619836,0.2450592885375494,0.13510600071864895,rediscovered_known_failure,pass
smooth_trend_winner,validation,up100pct,drawdown_reversal_state,121,0.1322314049586777,0.13438735177865613,-0.002155946819978438,independent_of_known_failure,pass
stair_step_winner,validation,up100pct,compression_state,52,0.09615384615384616,0.2450592885375494,-0.14890544238370323,independent_of_known_failure,pass
stair_step_winner,validation,up100pct,drawdown_reversal_state,52,0.15384615384615385,0.13438735177865613,0.019458802067497727,independent_of_known_failure,pass
jump_repricing_winner,validation,up100pct,compression_state,15,0.13333333333333333,0.2450592885375494,-0.11172595520421608,inconclusive_too_sparse,pass
jump_repricing_winner,validation,up100pct,drawdown_reversal_state,15,0.26666666666666666,0.13438735177865613,0.13227931488801054,inconclusive_too_sparse,pass
choppy_reversal_winner,validation,up100pct,compression_state,0,,0.2450592885375494,,inconclusive_too_sparse,pass
choppy_reversal_winner,validation,up100pct,drawdown_reversal_state,0,,0.13438735177865613,,inconclusive_too_sparse,pass
slow_grind_winner,validation,up100pct,compression_state,0,,0.2450592885375494,,inconclusive_too_sparse,pass
slow_grind_winner,validation,up100pct,drawdown_reversal_state,0,,0.13438735177865613,,inconclusive_too_sparse,pass
late_rescue_winner,validation,up100pct,compression_state,5,0.0,0.2450592885375494,-0.2450592885375494,inconclusive_too_sparse,pass
late_rescue_winner,validation,up100pct,drawdown_reversal_state,5,0.4,0.13438735177865613,0.2656126482213439,inconclusive_too_sparse,pass
smooth_trend_winner,train,up150pct,compression_state,457,0.1575492341356674,0.20308608225502703,-0.045536848119359624,independent_of_known_failure,pass
smooth_trend_winner,train,up150pct,drawdown_reversal_state,457,0.13129102844638948,0.17963671708887674,-0.048345688642487256,independent_of_known_failure,pass
stair_step_winner,train,up150pct,compression_state,3800,0.17789473684210527,0.20308608225502703,-0.025191345412921756,independent_of_known_failure,pass
stair_step_winner,train,up150pct,drawdown_reversal_state,3800,0.11026315789473684,0.17963671708887674,-0.0693735591941399,independent_of_known_failure,pass
jump_repricing_winner,train,up150pct,compression_state,7,0.0,0.20308608225502703,-0.20308608225502703,inconclusive_too_sparse,pass
jump_repricing_winner,train,up150pct,drawdown_reversal_state,7,0.14285714285714285,0.17963671708887674,-0.03677957423173389,inconclusive_too_sparse,pass
choppy_reversal_winner,train,up150pct,compression_state,57,0.017543859649122806,0.20308608225502703,-0.18554222260590422,independent_of_known_failure,pass
choppy_reversal_winner,train,up150pct,drawdown_reversal_state,57,0.17543859649122806,0.17963671708887674,-0.00419812059764868,independent_of_known_failure,pass
slow_grind_winner,train,up150pct,compression_state,0,,0.20308608225502703,,inconclusive_too_sparse,pass
slow_grind_winner,train,up150pct,drawdown_reversal_state,0,,0.17963671708887674,,inconclusive_too_sparse,pass
late_rescue_winner,train,up150pct,compression_state,1506,0.2583001328021248,0.20308608225502703,0.0552140505470978,rediscovered_known_failure,pass
late_rescue_winner,train,up150pct,drawdown_reversal_state,1506,0.28353253652058436,0.17963671708887674,0.10389581943170761,rediscovered_known_failure,pass
smooth_trend_winner,robustness,up150pct,compression_state,76,0.2631578947368421,0.16319253976961054,0.09996535496723155,rediscovered_known_failure,pass
smooth_trend_winner,robustness,up150pct,drawdown_reversal_state,76,0.06578947368421052,0.3143170597915524,-0.24852758610734188,independent_of_known_failure,pass
stair_step_winner,robustness,up150pct,compression_state,1080,0.1425925925925926,0.16319253976961054,-0.020599947177017935,independent_of_known_failure,pass
stair_step_winner,robustness,up150pct,drawdown_reversal_state,1080,0.2814814814814815,0.3143170597915524,-0.03283557831007089,independent_of_known_failure,pass
jump_repricing_winner,robustness,up150pct,compression_state,5,0.0,0.16319253976961054,-0.16319253976961054,inconclusive_too_sparse,pass
jump_repricing_winner,robustness,up150pct,drawdown_reversal_state,5,0.0,0.3143170597915524,-0.3143170597915524,inconclusive_too_sparse,pass
choppy_reversal_winner,robustness,up150pct,compression_state,3,0.0,0.16319253976961054,-0.16319253976961054,inconclusive_too_sparse,pass
choppy_reversal_winner,robustness,up150pct,drawdown_reversal_state,3,0.6666666666666666,0.3143170597915524,0.35234960687511424,inconclusive_too_sparse,pass
slow_grind_winner,robustness,up150pct,compression_state,0,,0.16319253976961054,,inconclusive_too_sparse,pass
slow_grind_winner,robustness,up150pct,drawdown_reversal_state,0,,0.3143170597915524,,inconclusive_too_sparse,pass
late_rescue_winner,robustness,up150pct,compression_state,0,,0.16319253976961054,,inconclusive_too_sparse,pass
