threshold_id,cluster_split_bucket,phase_scheme,entry_phase,phase_stratification_role,anchor_n,mean_membership_vector,top1_prototype_by_soft_mass,sharp_share,mean_membership_entropy,out_of_prototype_residual_share
up100pct,train,pit,undetermined_pit,descriptive_only_not_t0_feature,11534,"{""choppy_reversal_winner"": 0.2650035335746531, ""jump_repricing_winner"": 0.08145608722622211, ""late_rescue_winner"": 0.22891636152946646, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.08434229001426082, ""stair_step_winner"": 0.3402817276553976}",stair_step_winner,0.07516906537194382,0.7401757144528207,0.13273799202358244
up100pct,train,pit,early_base_pit,descriptive_only_not_t0_feature,4154,"{""choppy_reversal_winner"": 0.26611376464647896, ""jump_repricing_winner"": 0.08619159502830955, ""late_rescue_winner"": 0.22037112267102696, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.0875468886621302, ""stair_step_winner"": 0.3397766289920543}",stair_step_winner,0.07125662012518055,0.7465597326660617,0.13553201733269138
up100pct,train,pit,breakout_pit,descriptive_only_not_t0_feature,1897,"{""choppy_reversal_winner"": 0.26888678070458083, ""jump_repricing_winner"": 0.06709778586947591, ""late_rescue_winner"": 0.1958904145908502, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.07456952947563836, ""stair_step_winner"": 0.39355548935945467}",stair_step_winner,0.044807590933052185,0.7507679268686991,0.20347917764891935
up100pct,train,pit,mid_trend_pit,descriptive_only_not_t0_feature,7186,"{""choppy_reversal_winner"": 0.25957726840011713, ""jump_repricing_winner"": 0.07315541015664351, ""late_rescue_winner"": 0.2228210782813634, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.08092039734621134, ""stair_step_winner"": 0.3635258458156646}",stair_step_winner,0.06109101029780128,0.7514153755661668,0.18703033676593375
up100pct,train,pit,late_chase_pit,descriptive_only_not_t0_feature,4842,"{""choppy_reversal_winner"": 0.24573276964396312, ""jump_repricing_winner"": 0.08438209724618276, ""late_rescue_winner"": 0.22821341338346374, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.10059347738381184, ""stair_step_winner"": 0.34107824234257855}",stair_step_winner,0.0724907063197026,0.7597980071644768,0.17761255679471294
up100pct,robustness,pit,undetermined_pit,descriptive_only_not_t0_feature,2160,"{""choppy_reversal_winner"": 0.21527832298854846, ""jump_repricing_winner"": 0.11928914110292015, ""late_rescue_winner"": 0.14634099008726764, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.1117062741762111, ""stair_step_winner"": 0.40738527164505267}",stair_step_winner,0.047685185185185185,0.762826163590741,0.1550925925925926
up100pct,robustness,pit,mid_trend_pit,descriptive_only_not_t0_feature,1248,"{""choppy_reversal_winner"": 0.221986667242742, ""jump_repricing_winner"": 0.10353021253003747, ""late_rescue_winner"": 0.1515375880142679, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.09362540965830965, ""stair_step_winner"": 0.42932012255464297}",stair_step_winner,0.023237179487179488,0.7870565916747103,0.1971153846153846
up100pct,robustness,pit,early_base_pit,descriptive_only_not_t0_feature,865,"{""choppy_reversal_winner"": 0.21640166656012916, ""jump_repricing_winner"": 0.1184196549563495, ""late_rescue_winner"": 0.14478231915325918, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.10800557145153904, ""stair_step_winner"": 0.41239078787872313}",stair_step_winner,0.024277456647398842,0.7744612727856759,0.15375722543352602
up100pct,robustness,pit,late_chase_pit,descriptive_only_not_t0_feature,1181,"{""choppy_reversal_winner"": 0.22371060194280412, ""jump_repricing_winner"": 0.09510123093178051, ""late_rescue_winner"": 0.16511112695712402, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.10097959741080559, ""stair_step_winner"": 0.4150974427574857}",stair_step_winner,0.03895004233700254,0.7944001079678444,0.23116003386960204
up100pct,robustness,pit,breakout_pit,descriptive_only_not_t0_feature,186,"{""choppy_reversal_winner"": 0.1783886634821938, ""jump_repricing_winner"": 0.13578342828350085, ""late_rescue_winner"": 0.11850989085686749, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.15044942037884976, ""stair_step_winner"": 0.4168685969985881}",stair_step_winner,0.10215053763440861,0.7540895376584335,0.11290322580645161
