threshold_id,cluster_split_bucket,temperature,anchor_n,sharp_share,mean_membership_entropy,mean_top1_membership,decision_state_under_temperature,decision_matches_primary,temperature_sensitivity_status
up100pct,train,0.5,29613,0.6066254685442204,0.5122141058113857,0.6552223275303123,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,robustness,0.5,5640,0.5854609929078014,0.5168188235803258,0.6687747141799741,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,validation,0.5,253,0.857707509881423,0.418778087900451,0.7060657618125392,15C2_winner_shape_not_real_over_baselines,True,pass
up150pct,train,0.5,16461,0.49632464613328475,0.5374290882167673,0.6354019295106554,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,robustness,0.5,3646,0.44048272078990675,0.5609322408476779,0.6225737928538141,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,validation,0.5,155,0.7612903225806451,0.4329736537440512,0.727426977775208,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,train,0.5,56987,0.6443750329022409,0.5115818540694511,0.6508711835806846,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,robustness,0.5,11179,0.5718758386259951,0.5372872317678109,0.6434874111989454,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,validation,0.5,1065,0.7586854460093897,0.4784156610592251,0.6485838881181901,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,train,1.0,29613,0.06882112585688718,0.7476856588921234,0.482061970982695,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,robustness,1.0,5640,0.038652482269503546,0.7762956245106635,0.47985407336646935,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,validation,1.0,253,0.3952569169960474,0.648614600669092,0.5426727130394945,15C2_winner_shape_not_real_over_baselines,True,pass
up150pct,train,1.0,16461,0.042524755482655975,0.7636354100202819,0.46588593115972676,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,robustness,1.0,3646,0.009873834339001646,0.798699334557739,0.4489897720513253,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,validation,1.0,155,0.3096774193548387,0.6923988956174522,0.5391102481367731,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,train,1.0,56987,0.14787583132995244,0.7320084853112269,0.4864232278346399,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,robustness,1.0,11179,0.12183558457822703,0.7655506009954949,0.4723904917226433,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,validation,1.0,1065,0.21784037558685446,0.6790890059540517,0.5029350931903181,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,train,2.0,29613,0.0,0.9042905116173416,0.3520275008964757,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,robustness,2.0,5640,0.0,0.9243753158926256,0.3436698717510256,15C2_winner_shape_not_real_over_baselines,True,pass
up100pct,validation,2.0,253,0.0,0.8528230138628377,0.3981744739323877,15C2_winner_shape_not_real_over_baselines,True,pass
up150pct,train,2.0,16461,0.0,0.9109504366259286,0.3430772898029941,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,robustness,2.0,3646,0.0,0.9326449989397095,0.32821245030572205,15C2_winner_shape_inconclusive_too_sparse_or_unstable,True,pass
up150pct,validation,2.0,155,0.0,0.8838319532495509,0.38444094728655703,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,train,2.0,56987,0.0,0.8931347573230705,0.3589170688888247,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,robustness,2.0,11179,0.0,0.9127733740228244,0.3461770700000567,15C2_winner_shape_not_real_over_baselines,True,pass
up50pct,validation,2.0,1065,0.0,0.8621529806757139,0.3777667579916607,15C2_winner_shape_not_real_over_baselines,True,pass
