threshold_id,cluster_split_bucket,episode_cluster_id,cluster_anchor_n,cluster_mean_membership_vector,cluster_top1_prototype,cluster_top2_prototype,cluster_membership_entropy,cluster_within_membership_dispersion,cluster_sharp_anchor_share,cluster_out_of_prototype_residual_share
up100pct,train,up100pct::SH600185::000000,2,"{""choppy_reversal_winner"": 0.3506785641803135, ""jump_repricing_winner"": 0.03395567944032847, ""late_rescue_winner"": 0.4012555893008517, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.021552393632469198, ""stair_step_winner"": 0.19255777344603703}",late_rescue_winner,choppy_reversal_winner,0.6968882220261399,0.0009693527954550612,0.0,0.0
up100pct,train,up100pct::SH600196::000000,232,"{""choppy_reversal_winner"": 0.2155275195091163, ""jump_repricing_winner"": 0.10204661086286591, ""late_rescue_winner"": 0.15566853737956043, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.15978955010708776, ""stair_step_winner"": 0.36696778214136966}",stair_step_winner,choppy_reversal_winner,0.8450520746400271,0.1307152322615556,0.12931034482758622,0.15086206896551724
up100pct,train,up100pct::SH600201::000000,11,"{""choppy_reversal_winner"": 0.2645198009173917, ""jump_repricing_winner"": 0.04272028634864671, ""late_rescue_winner"": 0.19036937880847676, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.03601176608424659, ""stair_step_winner"": 0.4663787678412383}",stair_step_winner,choppy_reversal_winner,0.7130898907438797,0.008473682789345167,0.0,1.0
up100pct,train,up100pct::SH600211::000000,1,"{""choppy_reversal_winner"": 0.018924373391002593, ""jump_repricing_winner"": 0.26632415930370873, ""late_rescue_winner"": 0.0178423381811535, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.642267677425605, ""stair_step_winner"": 0.05464145169853034}",smooth_trend_winner,jump_repricing_winner,0.5260068642115392,0.0,0.0,1.0
up100pct,train,up100pct::SH600221::000000,2,"{""choppy_reversal_winner"": 0.11610293073156058, ""jump_repricing_winner"": 0.18151683425251428, ""late_rescue_winner"": 0.07232709158207389, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.19536946560115487, ""stair_step_winner"": 0.43468367783269657}",stair_step_winner,smooth_trend_winner,0.7985877303986165,0.061160191306828864,0.0,0.0
up100pct,robustness,up100pct::SH600221::000001,10,"{""choppy_reversal_winner"": 0.011006268353433941, ""jump_repricing_winner"": 0.2820320557795616, ""late_rescue_winner"": 0.008459014073943949, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.6618899053685452, ""stair_step_winner"": 0.03661275642451541}",smooth_trend_winner,jump_repricing_winner,0.46948455279777185,0.009725980294024042,0.4,0.6
up100pct,train,up100pct::SH600273::000000,1,"{""choppy_reversal_winner"": 0.009426465276542655, ""jump_repricing_winner"": 0.3120921857752763, ""late_rescue_winner"": 0.005456351830383539, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.6336873610046401, ""stair_step_winner"": 0.03933763611315744}",smooth_trend_winner,jump_repricing_winner,0.47561389211801935,0.0,1.0,0.0
up100pct,train,up100pct::SH600276::000000,27,"{""choppy_reversal_winner"": 0.234240885172834, ""jump_repricing_winner"": 0.037058522550200715, ""late_rescue_winner"": 0.15187226946173307, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.03010166060219033, ""stair_step_winner"": 0.5467266622130418}",stair_step_winner,choppy_reversal_winner,0.6607472872023318,0.015088332751136512,0.0,0.0
up100pct,train,up100pct::SH600298::000000,173,"{""choppy_reversal_winner"": 0.18757998159936537, ""jump_repricing_winner"": 0.11183963104329517, ""late_rescue_winner"": 0.12558165262513682, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.13058553867954728, ""stair_step_winner"": 0.44441319605265533}",stair_step_winner,choppy_reversal_winner,0.8068844598241204,0.10022792122837508,0.0,0.028901734104046242
up100pct,train,up100pct::SH600305::000000,1,"{""choppy_reversal_winner"": 0.23946792664937872, ""jump_repricing_winner"": 0.0494077093467766, ""late_rescue_winner"": 0.1885488941277337, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.043826410183495146, ""stair_step_winner"": 0.4787490596926158}",stair_step_winner,choppy_reversal_winner,0.7228425458163258,0.0,0.0,0.0
up100pct,train,up100pct::SH600309::000000,241,"{""choppy_reversal_winner"": 0.22257099810443734, ""jump_repricing_winner"": 0.0746056407504932, ""late_rescue_winner"": 0.14245026536966354, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.06905844929268366, ""stair_step_winner"": 0.4913146464827223}",stair_step_winner,choppy_reversal_winner,0.747533897058174,0.05948087458679868,0.0,0.02074688796680498
up100pct,train,up100pct::SH600315::000000,117,"{""choppy_reversal_winner"": 0.34732987933416126, ""jump_repricing_winner"": 0.032731168329930525, ""late_rescue_winner"": 0.25313546850815943, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.02867081500188006, ""stair_step_winner"": 0.3381326688258688}",choppy_reversal_winner,stair_step_winner,0.723009843335748,0.046660047431748765,0.0,0.39316239316239315
up100pct,train,up100pct::SH600316::000000,9,"{""choppy_reversal_winner"": 0.12038744825334399, ""jump_repricing_winner"": 0.1860560653961224, ""late_rescue_winner"": 0.06462574329731868, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.3116803054929596, ""stair_step_winner"": 0.3172504375602554}",stair_step_winner,smooth_trend_winner,0.8217339289374336,0.12495304265254914,0.2222222222222222,0.0
up100pct,train,up100pct::SH600323::000000,2,"{""choppy_reversal_winner"": 0.3937993548545785, ""jump_repricing_winner"": 0.011160224441318738, ""late_rescue_winner"": 0.4420808402068199, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.0071080720713214696, ""stair_step_winner"": 0.14585150842596145}",late_rescue_winner,choppy_reversal_winner,0.6105503485149949,0.00010741376314150767,0.0,0.0
up100pct,train,up100pct::SH600325::000000,66,"{""choppy_reversal_winner"": 0.40144348140198877, ""jump_repricing_winner"": 0.017388426214425445, ""late_rescue_winner"": 0.34568975172249705, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.011909822277646635, ""stair_step_winner"": 0.223568518383442}",choppy_reversal_winner,late_rescue_winner,0.6651146186743032,0.02974180841976001,0.0,0.5909090909090909
up100pct,train,up100pct::SH600338::000000,64,"{""choppy_reversal_winner"": 0.3791887320792733, ""jump_repricing_winner"": 0.010579676624183403, ""late_rescue_winner"": 0.5157489871406353, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.006352821192333452, ""stair_step_winner"": 0.08812978296357454}",late_rescue_winner,choppy_reversal_winner,0.5600798057609873,0.009284407235055171,0.0625,0.0
up100pct,train,up100pct::SH600339::000000,16,"{""choppy_reversal_winner"": 0.3396924753949363, ""jump_repricing_winner"": 0.016730746739778958, ""late_rescue_winner"": 0.4207530765121196, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.012615424710409563, ""stair_step_winner"": 0.21020827664275563}",late_rescue_winner,choppy_reversal_winner,0.6599523068101112,0.011235501795367635,0.0,0.0625
up100pct,train,up100pct::SH600346::000000,283,"{""choppy_reversal_winner"": 0.22041539943690777, ""jump_repricing_winner"": 0.10529140938352512, ""late_rescue_winner"": 0.13970393813360193, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.1185790558194123, ""stair_step_winner"": 0.4160101972265528}",stair_step_winner,choppy_reversal_winner,0.8165132717808828,0.10017746938831555,0.02120141342756184,0.06007067137809187
up100pct,train,up100pct::SH600352::000000,50,"{""choppy_reversal_winner"": 0.1746978655265583, ""jump_repricing_winner"": 0.18205224283763197, ""late_rescue_winner"": 0.10820337801281144, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.401661736981885, ""stair_step_winner"": 0.1333847766411133}",smooth_trend_winner,jump_repricing_winner,0.8319253051445261,0.14217604840156978,0.36,0.26
