threshold_id,cluster_split_bucket,type_pair,anchor_share,mean_top2_membership_gap,is_bridge_pair
up100pct,train,choppy_reversal_winner|stair_step_winner,0.5295309492452639,0.23692262875578873,False
up100pct,train,choppy_reversal_winner|late_rescue_winner,0.28994022895350013,0.13292396474600068,True
up100pct,train,late_rescue_winner|stair_step_winner,0.008577314017492317,0.0639837131078355,False
up100pct,train,jump_repricing_winner|stair_step_winner,0.054030324519636644,0.24792885275309565,False
up100pct,train,smooth_trend_winner|stair_step_winner,0.0370107722959511,0.1777175892347051,False
up100pct,train,jump_repricing_winner|smooth_trend_winner,0.08091041096815588,0.24305259507951565,False
up100pct,robustness,jump_repricing_winner|smooth_trend_winner,0.10407801418439716,0.2235624962894917,False
up100pct,robustness,choppy_reversal_winner|late_rescue_winner,0.07446808510638298,0.074020404713366,True
up100pct,robustness,choppy_reversal_winner|stair_step_winner,0.6569148936170213,0.25761342320844843,False
up100pct,robustness,jump_repricing_winner|stair_step_winner,0.10177304964539007,0.22449349814541947,False
up100pct,robustness,late_rescue_winner|stair_step_winner,0.04609929078014184,0.07477324106559816,False
up100pct,validation,choppy_reversal_winner|stair_step_winner,0.13043478260869565,0.3862062097904518,False
up100pct,validation,jump_repricing_winner|stair_step_winner,0.11857707509881422,0.28254010246534633,False
up100pct,robustness,smooth_trend_winner|stair_step_winner,0.016666666666666666,0.17359776142350242,False
up100pct,validation,jump_repricing_winner|smooth_trend_winner,0.6956521739130435,0.20128394816259917,False
up100pct,validation,choppy_reversal_winner|late_rescue_winner,0.05533596837944664,0.09678620035538829,True
up150pct,train,choppy_reversal_winner|late_rescue_winner,0.28084563513759797,0.12195828629287157,True
up150pct,train,late_rescue_winner|stair_step_winner,0.007350707733430533,0.052173226899336685,False
up150pct,train,choppy_reversal_winner|stair_step_winner,0.611748982443351,0.20689686220573622,False
up150pct,train,smooth_trend_winner|stair_step_winner,0.03177206731061297,0.19818960372024325,False
up150pct,train,jump_repricing_winner|smooth_trend_winner,0.04465099325678877,0.2614154709521357,False
up150pct,train,jump_repricing_winner|stair_step_winner,0.02363161411821882,0.2430632342356907,False
up150pct,robustness,choppy_reversal_winner|stair_step_winner,0.7657707076247943,0.20329743783506152,False
up150pct,robustness,smooth_trend_winner|stair_step_winner,0.02605595172792101,0.20210886863203126,False
up150pct,robustness,jump_repricing_winner|stair_step_winner,0.05019199122325837,0.20150935142668144,False
up150pct,robustness,choppy_reversal_winner|late_rescue_winner,0.06171146461876029,0.05371514163767236,True
up150pct,robustness,jump_repricing_winner|smooth_trend_winner,0.044432254525507406,0.2115361049389876,False
up150pct,validation,choppy_reversal_winner|stair_step_winner,0.16774193548387098,0.36258487493411784,False
up150pct,validation,jump_repricing_winner|stair_step_winner,0.0967741935483871,0.1655343620684776,True
up150pct,validation,smooth_trend_winner|stair_step_winner,0.03225806451612903,0.04962799268174213,False
up150pct,validation,jump_repricing_winner|smooth_trend_winner,0.6516129032258065,0.27399993901905256,False
up150pct,robustness,late_rescue_winner|stair_step_winner,0.05183763027975864,0.07236338834512902,True
up150pct,validation,choppy_reversal_winner|late_rescue_winner,0.05161290322580645,0.026756025033480124,True
up50pct,train,choppy_reversal_winner|late_rescue_winner,0.25830452559355643,0.14483782642984805,True
up50pct,train,jump_repricing_winner|stair_step_winner,0.1271167108287855,0.20106040476842396,False
up50pct,train,choppy_reversal_winner|stair_step_winner,0.36896134206046993,0.2266348065110612,False
up50pct,train,jump_repricing_winner|smooth_trend_winner,0.2217874252022391,0.21475405477530474,False
up50pct,train,smooth_trend_winner|stair_step_winner,0.010879674311685121,0.1444595491689482,False
up50pct,train,late_rescue_winner|stair_step_winner,0.012950322003263902,0.0519367251785982,False
up50pct,robustness,choppy_reversal_winner|stair_step_winner,0.4183737364701673,0.23554235608717325,False
up50pct,robustness,jump_repricing_winner|smooth_trend_winner,0.27632167456838713,0.19474969591477453,True
up50pct,robustness,jump_repricing_winner|stair_step_winner,0.19867608909562573,0.17889402922592654,True
up50pct,robustness,late_rescue_winner|stair_step_winner,0.036407549870292516,0.058649874471231225,False
up50pct,robustness,smooth_trend_winner|stair_step_winner,0.002504696305572949,0.07579281693659944,False
up50pct,robustness,choppy_reversal_winner|late_rescue_winner,0.06771625368995438,0.10680063734279531,True
up50pct,validation,choppy_reversal_winner|late_rescue_winner,0.3812206572769953,0.1394101260966672,True
up50pct,validation,choppy_reversal_winner|stair_step_winner,0.14366197183098592,0.2683203903661289,False
up50pct,validation,jump_repricing_winner|stair_step_winner,0.11267605633802817,0.19329159309988556,True
up50pct,validation,jump_repricing_winner|smooth_trend_winner,0.3624413145539906,0.1628367761610161,True
