threshold_id,cluster_split_bucket,prototype_type,anchor_n,soft_mass_mean,high_membership_share_50,high_membership_share_70,top1_share,hard_path_type_share_15b,distribution_status
up100pct,train,smooth_trend_winner,29613,0.08599262954663664,0.04683753756796002,0.00023638266977341033,0.07435923412014993,0.11538851180224902,pass
up100pct,train,stair_step_winner,29613,0.3493943168331262,0.2606287779015973,0.0,0.5485428696856111,0.4243406611960963,pass
up100pct,train,jump_repricing_winner,29613,0.07966473467264028,0.0035457400466011547,0.0,0.016715631648262588,0.017863776044304867,pass
up100pct,train,choppy_reversal_winner,29613,0.2609403261718645,0.009590382602235504,0.0,0.17975213588626618,0.002498902509033195,pass
up100pct,train,slow_grind_winner,29613,0.0,0.0,0.0,0.0,0.009252693073987775,pass
up100pct,train,late_rescue_winner,29613,0.22400799277573238,0.10022625198392598,0.0,0.18063012865971026,0.19498193361023874,pass
up100pct,robustness,smooth_trend_winner,5640,0.10616939353056651,0.054787234042553194,0.0012411347517730497,0.07588652482269503,0.12340425531914893,pass
up100pct,robustness,stair_step_winner,5640,0.41493428548846306,0.3679078014184397,0.0,0.7397163120567376,0.5595744680851064,pass
up100pct,robustness,jump_repricing_winner,5640,0.11114778775677314,0.015425531914893617,0.0,0.043617021276595745,0.030673758865248226,pass
up100pct,robustness,choppy_reversal_winner,5640,0.21748412983171245,0.0014184397163120568,0.0,0.11347517730496454,0.0,pass
up100pct,robustness,slow_grind_winner,5640,0.0,0.0,0.0,0.0,0.0,pass
up100pct,robustness,late_rescue_winner,5640,0.15026440339248484,0.0,0.0,0.027304964539007093,0.0,pass
up100pct,validation,smooth_trend_winner,253,0.39841120873425506,0.4782608695652174,0.0,0.5770750988142292,0.48221343873517786,pass
up100pct,validation,stair_step_winner,253,0.1852836498319236,0.20553359683794467,0.0,0.2490118577075099,0.15810276679841898,pass
up100pct,validation,jump_repricing_winner,253,0.29179049840368837,0.05928853754940711,0.0,0.11857707509881422,0.1976284584980237,pass
