target_key,name,ts_code,akshare_api,akshare_symbol,target_type
broad_market,沪深300,000300.SH,stock_zh_index_hist_csindex,000300,market
mid_cap_spread,中证500,000905.SH,stock_zh_index_hist_csindex,000905,market
small_cap_spread,中证1000,000852.SH,stock_zh_index_hist_csindex,000852,market
growth_board_spread,创业板指,399006.SZ,index_hist_cni,399006,market
