field,row_count,non_null_count,missing_count,status
open,1101821,1092439,9382,present
high,1101821,1092439,9382,present
low,1101821,1092439,9382,present
close,1101821,1092439,9382,present
volume,1101821,1092439,9382,present
money,1101821,1092439,9382,present
factor,1101821,1092439,9382,present
