canonical_unit_id,horizon,split,primary_comparator_scope,event_count
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,robustness,same_liquidity_only,57
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,same_day_pit_universe,54
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,same_liquidity_only,70
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,validation,same_liquidity_only,65
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,robustness,same_liquidity_only,56
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,same_day_pit_universe,54
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,same_liquidity_only,67
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,same_liquidity_only,61
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,robustness,same_liquidity_only,57
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,train,same_day_pit_universe,53
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,train,same_liquidity_only,70
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,validation,same_liquidity_only,67
