canonical_unit_id,horizon,split,decomposition_axis,decomposition_value,complete_event_count,mean_net_return,median_net_return,p10_net_return,loss_rate,relative_comparable_event_share,mean_matched_delta_return,median_matched_delta_return,p10_matched_delta_return,matched_loss_rate_delta,event_share,net_return_contribution_share,matched_delta_contribution_share
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,robustness,market_state,mixed,8,-0.002934764790141292,-0.011402804560171231,-0.0513030365515301,0.5,1.0,-0.00815556764023126,-0.010122137532712683,-0.06049172487032169,0.125,0.14035087719298245,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,robustness,market_state,risk_off,24,-0.010092361343727244,-0.03314208554085152,-0.09898532815761654,0.5833333333333334,1.0,-0.015129066226240976,-0.03122714262678622,-0.0940909571417621,0.0,0.42105263157894735,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,robustness,market_state,risk_on,25,-0.0075709526713643,-0.031768407709668045,-0.1088471644174585,0.64,1.0,0.007254482994770281,-0.0060282246105110016,-0.05942711440538795,-0.040000000000000036,0.43859649122807015,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,market_state,mixed,19,-0.006068739524860615,-0.010967098703888234,-0.13136029251190567,0.5263157894736842,1.0,-0.007122930258257112,-0.00557812884960307,-0.1178900321003534,0.0,0.1532258064516129,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,market_state,risk_off,61,0.004353834866210829,-0.0038924441506520413,-0.1272135997481555,0.5245901639344263,1.0,0.007645165576798638,0.0056995214042296904,-0.11712728872074785,-0.0491803278688524,0.49193548387096775,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,market_state,risk_on,43,0.004526759991638525,0.004301016767116694,-0.09658861145012179,0.4883720930232558,1.0,0.00814983625950386,-0.004756022953161798,-0.09663192448768478,-0.023255813953488413,0.3467741935483871,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,market_state,unknown,1,-0.08611995377183868,-0.08611995377183868,-0.08611995377183868,1.0,1.0,-0.07860172795669151,-0.07860172795669151,-0.07860172795669151,0.0,0.008064516129032258,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,validation,market_state,mixed,6,-0.010185890069486003,-0.008112136501750522,-0.09096356992403004,0.5,1.0,-0.004241780974535943,-0.030519218459438502,-0.07593601784763315,-0.16666666666666663,0.09230769230769231,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,validation,market_state,risk_off,49,-0.0014554986310451137,-0.01475649333160145,-0.14068696726548519,0.5510204081632653,1.0,0.015281400132649364,0.008315647224053646,-0.12751004571958127,-0.08163265306122458,0.7538461538461538,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,validation,market_state,risk_on,10,0.02058692418944156,-0.005587617365691355,-0.04778362519230423,0.6,1.0,0.02878093675684249,0.0264822242798316,-0.052559212289114574,0.19999999999999996,0.15384615384615385,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,robustness,market_state,mixed,8,-0.02322242313471358,-0.032647507223721006,-0.10547757472584304,0.625,1.0,-0.033496444031472464,-0.035567181160596484,-0.11869167580941972,0.25,0.14285714285714285,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,robustness,market_state,risk_off,23,0.018616634617457675,-0.008858338862454351,-0.1336199588631129,0.6086956521739131,1.0,-0.011596856037459191,-0.048136202749142654,-0.1226804681201001,0.3478260869565218,0.4107142857142857,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,robustness,market_state,risk_on,25,-0.0034080744066322445,0.012558587770830965,-0.1370126798167985,0.48,1.0,-0.00395706467302984,-0.009514582399356986,-0.08897012064653406,0.0,0.44642857142857145,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,market_state,mixed,17,0.03544334849114723,0.017214305668689978,-0.1115983951380692,0.4117647058823529,1.0,0.022083736144136924,-0.03076981220509034,-0.11103531594101641,0.1764705882352941,0.14049586776859505,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,market_state,risk_off,60,0.009615417681325062,-0.015319069392331408,-0.1614770401902072,0.5333333333333333,1.0,0.009495823778834029,-0.0010220153189939296,-0.17572599919605078,-0.06666666666666665,0.49586776859504134,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,market_state,risk_on,43,-0.012294229244085951,-0.03004067112223907,-0.16244243899242533,0.6046511627906976,1.0,-0.019542579132891185,-0.034993558325147056,-0.18347466456464387,0.18604651162790692,0.35537190082644626,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,market_state,unknown,1,-0.06700442408022,-0.06700442408022,-0.06700442408022,1.0,1.0,-0.08001454503085925,-0.08001454503085925,-0.08001454503085925,1.0,0.008264462809917356,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,market_state,mixed,6,0.04603274914736912,0.05060839333722916,-0.02877218492168787,0.5,1.0,0.02932610490039354,0.02091839702573578,-0.032038283766716635,0.0,0.09836065573770492,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,market_state,risk_off,45,-0.015670161399845013,-0.025960018337025437,-0.14770738654528928,0.6,1.0,0.0013138145565784014,-8.544127558929304e-05,-0.1431541897108508,-0.06666666666666665,0.7377049180327869,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,market_state,risk_on,10,0.02597597271000396,0.009753114510592409,-0.08456585614086046,0.5,1.0,0.0373079344796146,0.05497414502018805,-0.0579086092996951,-0.09999999999999998,0.16393442622950818,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,robustness,market_state,mixed,8,-0.013665798034198665,-0.012928670132613396,-0.04931722202892634,0.625,1.0,-0.013346922556083732,-0.013273794382305915,-0.04926195083161617,0.0,0.14035087719298245,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,robustness,market_state,risk_off,24,-0.022435007885802823,-0.0376651328807901,-0.12480099069791674,0.7083333333333334,1.0,-0.01603622028992788,-0.02149294144927605,-0.11070952705368445,-0.04166666666666663,0.42105263157894735,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,robustness,market_state,risk_on,25,0.004734030907671212,0.007097411473999449,-0.06912829716743862,0.44,1.0,0.015902064493089226,0.009050532414868195,-0.02805505904565664,-0.15999999999999998,0.43859649122807015,1.0,1.0
