canonical_unit_id,split,right_tail_path_status,right_tail_status,event_count
r03_downside_volatility_shock_rebound_natural_exit_v0,robustness,censored_provider_end,censored_not_evaluable,9
r03_downside_volatility_shock_rebound_natural_exit_v0,robustness,complete_same_split_120d,hit_plus20_only,13
r03_downside_volatility_shock_rebound_natural_exit_v0,robustness,complete_same_split_120d,hit_plus50,12
r03_downside_volatility_shock_rebound_natural_exit_v0,robustness,complete_same_split_120d,no_hit_complete,23
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus20_only,6
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_cross_split_120d_readonly,hit_plus50,1
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_cross_split_120d_readonly,no_hit_complete,10
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_same_split_120d,hit_plus20_only,39
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_same_split_120d,hit_plus50,23
r03_downside_volatility_shock_rebound_natural_exit_v0,train,complete_same_split_120d,no_hit_complete,45
r03_downside_volatility_shock_rebound_natural_exit_v0,validation,complete_cross_split_120d_readonly,hit_plus20_only,3
r03_downside_volatility_shock_rebound_natural_exit_v0,validation,complete_cross_split_120d_readonly,no_hit_complete,11
r03_downside_volatility_shock_rebound_natural_exit_v0,validation,complete_same_split_120d,hit_plus20_only,14
r03_downside_volatility_shock_rebound_natural_exit_v0,validation,complete_same_split_120d,hit_plus50,9
r03_downside_volatility_shock_rebound_natural_exit_v0,validation,complete_same_split_120d,no_hit_complete,30
