feature_name,row_count,non_null_count,weekly_non_null_count,status
ret5,1101821,1087898,220656,present
realized_vol10,1101821,1094929,222128,present
avg_money20_D,1101821,1072375,217430,present
money_ma20_prev_D,1101821,1071841,217361,present
stabilization_return_at_D,1101821,1091359,221433,present
money_repair_ratio_at_D,1101821,1071337,217277,present
rank_pct_realized_vol10,1101821,85817,85817,present
raw_primary_eligible_pre_collapse,1101821,1101821,223515,present
