canonical_unit_id,horizon,split,blocked_reason,blocked_count,signal_event_count,blocked_share
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,robustness,split_boundary,1,58,0.017241379310344827
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,train,split_boundary,2,126,0.015873015873015872
r03_downside_volatility_shock_rebound_natural_exit_v0,H10,validation,split_boundary,3,68,0.04411764705882353
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,robustness,split_boundary,2,58,0.034482758620689655
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,not_universe_member,3,126,0.023809523809523808
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,split_boundary,2,126,0.015873015873015872
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,not_universe_member,2,68,0.029411764705882353
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,split_boundary,5,68,0.07352941176470588
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,robustness,split_boundary,1,58,0.017241379310344827
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,train,not_universe_member,1,126,0.007936507936507936
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,train,split_boundary,2,126,0.015873015873015872
r03_downside_volatility_shock_rebound_natural_exit_v0,H5,validation,split_boundary,1,68,0.014705882352941176
