source,row_count,instrument_count,min_date,max_date,status
pit_universe,439140,539,2017-07-04,2026-04-30,passed
pit_industry,439140,539,2017-07-04,2026-04-30,passed
trading_calendar,2263,0,2017-01-03,2026-04-30,passed
