target_industry,task,fold_id,fold_role,scope_locked_distinct_instruments,feature_bank_v1_available_distinct_instruments,trainability_denominator_distinct_instruments,min_distinct_instruments_original,width_guardrail_pass,fold_2020_zero_launch_row_status,electronics_launch_width_solved_excluding_expected_fold_2020_boundary,electronics_launch_width_solved,electronics_failure_width_diagnostic_pass,width_problem_solved_phase_level,failed_width_reason,feature_availability_width_source,feature_availability_width_status,pass,reference_candidate_count_by_task
电子,launch_winner,fold_2020,core_oof,0,0,0,20,False,expected_event_history_boundary,True,True,True,True,distinct_instruments_below_threshold,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,False,49
电子,launch_winner,fold_2021,core_oof,26,26,24,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,49
电子,launch_winner,fold_2022,core_oof,25,25,24,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,49
电子,launch_winner,fold_2023,core_oof,27,27,25,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,49
电子,launch_winner,fold_2024,robustness_only,30,30,25,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,49
电子,failure_reject,fold_2020,core_oof,23,23,21,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,50
电子,failure_reject,fold_2021,core_oof,28,28,24,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,50
电子,failure_reject,fold_2022,core_oof,28,28,24,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,50
电子,failure_reject,fold_2023,core_oof,30,30,25,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,50
电子,failure_reject,fold_2024,robustness_only,33,33,25,20,True,,True,True,True,True,,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,computed_from_row_level_cache,True,50
