target_industry,task,fold_id,feature_asof_leakage_violation_count,observed_reference_decision_overlap_count,observed_reference_feature_overlap_count,observed_reference_decision_feature_overlap_eligible_rows,walk_forward_purge_pass,row_identity_mismatch_count,row_identity_join_key_set,row_identity_key_status,schema_key_missing_keys,schema_key_missing_count,row_identity_match_count,row_identity_missing_from_reference_count,row_identity_extra_in_reference_count,row_identity_join_status,fold_2024_used_for_support,feature_asof_audit_scope,feature_asof_source_artifact,observed_reference_source_artifact,purge_source_artifact,scope_lock_source_artifact,discipline_pass
电子,launch_winner,fold_2020,0,0,0,0,True,0,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,launch_winner,fold_2021,0,0,0,0,True,0,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,1104,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,launch_winner,fold_2022,0,0,0,0,True,0,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,1472,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,launch_winner,fold_2023,0,0,0,0,True,0,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,1913,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,launch_winner,fold_2024,0,0,0,0,True,0,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,2396,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,failure_reject,fold_2020,0,0,0,0,True,0,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,2309,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,failure_reject,fold_2021,0,0,0,0,True,0,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,3636,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,failure_reject,fold_2022,0,0,0,0,True,0,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,4861,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,failure_reject,fold_2023,0,0,0,0,True,0,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,6107,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
电子,failure_reject,fold_2024,0,0,0,0,True,0,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,7739,0,0,joined_with_canonical_keys,False,global_feature_bank_audit,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True
