target_industry,task,fold_id,stage_order,stage_name,source_artifact,row_count,distinct_instruments,loss_from_previous_stage,loss_reason,unknown_loss_count,unknown_loss_weight_share,pass
电子,launch_winner,fold_2020,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,4841,27.0,0,,0,0.0,True
电子,launch_winner,fold_2020,2,event_source_rows,Explore10 row-level cache,0,0.0,27,loss_at_event_source_rows,0,0.0,True
电子,launch_winner,fold_2020,3,scope_locked_rows,Explore10 row-level cache,0,0.0,0,,0,0.0,True
电子,launch_winner,fold_2020,4,feature_bank_v1_available_rows,Explore10 row-level cache,0,0.0,0,,0,0.0,True
电子,launch_winner,fold_2020,5,trainability_denominator_rows,Explore10 row-level cache,0,0.0,0,,0,0.0,True
电子,launch_winner,fold_2020,6,model_fit_reference_rows,Explore10 row-level cache,0,0.0,0,,0,0.0,True
电子,launch_winner,fold_2020,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,49,,0,,0,0.0,True
电子,launch_winner,fold_2021,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,14671,37.0,0,,0,0.0,True
电子,launch_winner,fold_2021,2,event_source_rows,Explore10 row-level cache,1104,26.0,11,loss_at_event_source_rows,0,0.0,True
电子,launch_winner,fold_2021,3,scope_locked_rows,Explore10 row-level cache,1104,26.0,0,,0,0.0,True
电子,launch_winner,fold_2021,4,feature_bank_v1_available_rows,Explore10 row-level cache,1104,26.0,0,,0,0.0,True
电子,launch_winner,fold_2021,5,trainability_denominator_rows,Explore10 row-level cache,899,24.0,2,loss_at_trainability_denominator_rows,0,0.0,True
电子,launch_winner,fold_2021,6,model_fit_reference_rows,Explore10 row-level cache,899,24.0,0,,0,0.0,True
电子,launch_winner,fold_2021,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,49,,0,,0,0.0,True
电子,launch_winner,fold_2022,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,18363,37.0,0,,0,0.0,True
电子,launch_winner,fold_2022,2,event_source_rows,Explore10 row-level cache,1472,25.0,12,loss_at_event_source_rows,0,0.0,True
