comparison_scope,target_industry,task,fold_id,scope_locked_distinct_instruments,feature_bank_v1_available_distinct_instruments,trainability_denominator_distinct_instruments,trainable_core_fold_count,primary_bottleneck,failed_predicate,width_delta_vs_automotive,automotive_scope_locked_distinct_instruments,automotive_feature_bank_v1_available_distinct_instruments,automotive_trainability_denominator_distinct_instruments,comparison_pass
electronics_vs_automotive_reference_only,电子,launch_winner,fold_2020,0,0,0,3,automotive_scope_width,distinct_instruments_below_threshold,0,0,0,0,False
electronics_vs_automotive_reference_only,电子,launch_winner,fold_2021,26,26,24,3,automotive_scope_width,,12,15,12,12,True
electronics_vs_automotive_reference_only,电子,launch_winner,fold_2022,25,25,24,3,automotive_scope_width,,11,15,13,13,True
electronics_vs_automotive_reference_only,电子,launch_winner,fold_2023,27,27,25,3,automotive_scope_width,,12,15,13,13,True
electronics_vs_automotive_reference_only,电子,failure_reject,fold_2020,23,23,21,4,automotive_scope_width,,11,12,10,10,True
electronics_vs_automotive_reference_only,电子,failure_reject,fold_2021,28,28,24,4,automotive_scope_width,,11,15,13,13,True
electronics_vs_automotive_reference_only,电子,failure_reject,fold_2022,28,28,24,4,automotive_scope_width,,11,16,13,13,True
electronics_vs_automotive_reference_only,电子,failure_reject,fold_2023,30,30,25,4,automotive_scope_width,,12,16,13,13,True
