artifact_name,artifact_path,is_parquet_cache,exists,git_check_ignore_pass,tracked_by_git,row_level_csv_generated_by_default,pass
explore10b_electronics_launch_width_panel.parquet,Explore10/outputs/explore10b/cache/explore10b_electronics_launch_width_panel.parquet,True,True,True,False,False,True
explore10b_electronics_failure_width_panel.parquet,Explore10/outputs/explore10b/cache/explore10b_electronics_failure_width_panel.parquet,True,True,True,False,False,True
explore10b_electronics_feature_availability_panel.parquet,Explore10/outputs/explore10b/cache/explore10b_electronics_feature_availability_panel.parquet,True,True,True,False,False,True
