artifact_name,artifact_path,required,exists,readable,file_size_bytes,sha256,row_count,column_count,required_columns_present,missing_required_columns,authority_role,preflight_status,pass
explore10_scope_lock,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True,True,True,5853,07ec20dea47c8811a8edbcb6da482dbee4d06957de120fc9e2ca0e50d9c5aaf5,0,25,True,,report_or_reference,pass,True
explore10_trainability,Explore10/outputs/explore10/reports/explore10_fold_trainability_audit.csv,True,True,True,5728,5c0f5edcdd1c5fa3ccadce70918272015c46ef0367912845a8faf14966208e33,0,26,True,,report_or_reference,pass,True
explore10_feature_asof_leakage,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,True,True,True,2843,5eca0ab4f746827c53fcfcba0a897e1e873326741db3c0cfb571367362e7cc70,0,16,True,,report_or_reference,pass,True
explore10_observed_reference_overlap,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,True,True,True,1831,16ffff40cce70511afc440c4ac4ba6ace664369cdcd1cfbd8191ce8858bbc141,0,13,True,,report_or_reference,pass,True
explore10_purge,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,True,True,True,1790,6233d7ee68c25ba0689b73287a5984c53077261b7ff6fa87949ec3e84cfd0fb2,0,13,True,,report_or_reference,pass,True
explore10_feature_bank_preflight,Explore10/outputs/explore10/reports/explore10_feature_bank_preflight_audit.csv,True,True,True,1336,3dfb09292bc9b4f83f5bc6a0e3d889bd28021ef6fa1ab1482119a517c904e936,0,23,True,,report_or_reference,pass,True
explore10_candidate_table,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,True,True,True,113149,77618a6d637c2d1173dcde7b2f27cc9e8196081e0edd5aac72b2fd47a7542ab3,0,21,True,,report_or_reference,pass,True
explore10a_width_attribution,Explore10/outputs/explore10a/reports/explore10a_sample_width_attribution.csv,True,True,True,1330,e11739111b0e3112f03fc84b6b37992fa03a86d10a4d4d891a280fc56545f72e,0,15,True,,report_or_reference,pass,True
explore10a_root_cause_gate,Explore10/outputs/explore10a/reports/explore10a_sample_width_root_cause_gate.csv,True,True,True,2892,9202b4e42682c46b2c9fb289dffc44b34169dc1e99918dd9c6333820e0d8efcf,0,15,True,,report_or_reference,pass,True
explore10a_report,Explore10/outputs/explore10a/reports/explore10a_report.md,True,True,True,21570,c03c774a23c1a880a61f4e136be6f8c7d72a243096f50ab86a7c8cf46e38200f,319,1,True,,report_or_reference,pass,True
p0_9b_train_eval_panel,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_train_eval_panel.parquet,True,True,True,4173694,ee817f9e83a4fa822e60ce78fb8dded09ff0110e91ba6e21fad62c625557356c,54029,240,True,,row_level_cache,pass,True
industry_membership,Explore7/data/targets/pit_industry_membership.csv,True,True,True,31641908,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,0,6,True,,report_or_reference,pass,True
explore10_lgbm_train_eval_panel,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,True,True,True,22625804,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,54029,411,True,,row_level_cache,pass,True
explore10_atomic_launch_event_panel,Explore10/outputs/explore10/cache/explore10_atomic_launch_event_panel.parquet,True,True,True,5870948,611bf8702d45196f9dbce3ddb6159fd13401bdb26902f5d94f079d708b35bad4,11748,410,True,,row_level_cache,pass,True
explore10_atomic_failure_decision_panel,Explore10/outputs/explore10/cache/explore10_atomic_failure_decision_panel.parquet,True,True,True,16125962,aa56c299448896991ad3c542819e71dc5939d4d9422a3858b36d69210d1481c6,42281,410,True,,row_level_cache,pass,True
