target_industry,task,fold_id,source_panel_path,source_panel_hash,source_filter_expression,feature_availability_predicate_name,feature_availability_predicate_columns,feature_available_row_count,feature_bank_v1_available_distinct_instruments,trainability_denominator_distinct_instruments,fallback_used,fallback_reason,feature_availability_width_status,pass
电子,launch_winner,fold_2020,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=launch_winner;fold_id=fold_2020;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,0,0,0,False,,computed_from_row_level_cache,False
电子,launch_winner,fold_2021,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=launch_winner;fold_id=fold_2021;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,1104,26,24,False,,computed_from_row_level_cache,True
电子,launch_winner,fold_2022,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=launch_winner;fold_id=fold_2022;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,1472,25,24,False,,computed_from_row_level_cache,True
电子,launch_winner,fold_2023,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=launch_winner;fold_id=fold_2023;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,1913,27,25,False,,computed_from_row_level_cache,True
电子,launch_winner,fold_2024,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=launch_winner;fold_id=fold_2024;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,2396,30,25,False,,computed_from_row_level_cache,True
电子,failure_reject,fold_2020,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=failure_reject;fold_id=fold_2020;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,2309,23,21,False,,computed_from_row_level_cache,True
电子,failure_reject,fold_2021,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=failure_reject;fold_id=fold_2021;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,3636,28,24,False,,computed_from_row_level_cache,True
电子,failure_reject,fold_2022,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=failure_reject;fold_id=fold_2022;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,4861,28,24,False,,computed_from_row_level_cache,True
电子,failure_reject,fold_2023,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=failure_reject;fold_id=fold_2023;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,6107,30,25,False,,computed_from_row_level_cache,True
电子,failure_reject,fold_2024,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,industry=电子;task=failure_reject;fold_id=fold_2024;sample_has_required_features=true;feature_asof_leakage_violation=false_if_present,sample_has_required_features_true_and_no_feature_asof_violation,sample_has_required_features;feature_asof_leakage_violation,7739,33,25,False,,computed_from_row_level_cache,True
