branch,loop_index,decision,factor_name,description,formulation,variables_json,factor_implementation,code_sha256,code_path,source_workspace,result_h5_path,result_h5_exists,result_rows,result_date_start,result_date_end,result_columns,result_h5_sha256
a20,0,False,Close_Momentum_5D,"[Momentum Factor] Measures the cumulative adjusted close-price return over a fixed 5-trading-day lookback. A positive value indicates short-term price persistence, while a negative value indicates recent price weakness. This factor uses only adjusted close prices from daily_pv.h5.","\mathrm{Close\_Momentum\_5D}_{j,t}=\frac{C_{j,t}}{C_{j,t-5}}-1","{""C_{j,t-5}"": ""Adjusted close price of instrument j exactly 5 instrument-specific trading observations before day t."", ""C_{j,t}"": ""Adjusted close price of instrument j on trading day t, from the $close column."", ""j"": ""Instrument identifier."", ""lookback"": ""Fixed at 5 trading days; the factor is missing when the lagged close price is unavailable or nonpositive."", ""t"": ""Current trading day.""}",True,aaee71ed82eb9b4bfcb4edba7849a38f6f655664e9b9f60608f0bd0a74974235,candidate_code/loop_0000/Close_Momentum_5D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/7f2d46b88a2b42e489d9d5f315306e43,workspaces/7f2d46b88a2b42e489d9d5f315306e43/result.h5,True,464577,2017-04-05,2026-05-27,['Close_Momentum_5D'],c0b9f0f486fe2b0201d1609237bd0f8d5a4c9404e1ff514072c18cab11549988
a20,0,False,Intraday_Return_1D,"[Intraday Buying Pressure Factor] Measures the adjusted open-to-close return on the current trading day. Positive values indicate net intraday buying pressure, while negative values indicate net intraday selling pressure. The factor has a fixed 1-day horizon and uses only adjusted open and close prices from daily_pv.h5.","\mathrm{Intraday\_Return\_1D}_{j,t}=\frac{C_{j,t}}{O_{j,t}}-1","{""C_{j,t}"": ""Adjusted close price of instrument j on trading day t, from the $close column."", ""O_{j,t}"": ""Adjusted open price of instrument j on trading day t, from the $open column."", ""horizon"": ""Fixed at the current trading day; the factor is missing when either required price is unavailable or the open price is nonpositive."", ""j"": ""Instrument identifier."", ""t"": ""Current trading day.""}",True,b1f662d14ddfd6a396f9f07a1178ff250def3fe4c13395d09d793596e00258cb,candidate_code/loop_0000/Intraday_Return_1D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/7464d91743af42e4850d6f67098da560,workspaces/7464d91743af42e4850d6f67098da560/result.h5,True,464577,2017-04-05,2026-05-27,['Intraday_Return_1D'],6223fc967c1f494494af1514f5f2be8cf1e5ec36018ec490492dd6df0e824f8b
a20,0,False,Parkinson_Volatility_10D,"[Range-Based Volatility Factor] Estimates daily volatility from the high-low price range over a fixed rolling window of 10 trading days. It applies the Parkinson range estimator, which uses more intraday price information than close-to-close volatility. Exactly 10 valid observations are required.","\mathrm{Parkinson\_Volatility\_10D}_{j,t}=\sqrt{\frac{1}{4\ln(2)}\cdot\frac{1}{10}\sum_{i=0}^{9}\left[\ln\left(\frac{H_{j,t-i}}{L_{j,t-i}}\right)\right]^2}","{""H_{j,t-i}"": ""Adjusted high price of instrument j on trading day t-i, from the $high column."", ""L_{j,t-i}"": ""Adjusted low price of instrument j on trading day t-i, from the $low column."", ""j"": ""Instrument identifier."", ""ln"": ""Natural logarithm."", ""minimum_observations"": ""Fixed at 10 valid high-low observations; the factor is missing if fewer are available or if any required high or low price is nonpositive."", ""t"": ""Current trading day."", ""window"": ""Fixed at 10 instrument-specific trading observations, including the current day and the preceding 9 trading days.""}",True,f480db1cf4f934dc7572ba917e68c220aa76b2ada9f48b26e8c20e9b64b893a5,candidate_code/loop_0000/Parkinson_Volatility_10D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/afe108f02c6c4881ba696c0635ff8ba8,workspaces/afe108f02c6c4881ba696c0635ff8ba8/result.h5,True,464577,2017-04-05,2026-05-27,['Parkinson_Volatility_10D'],a177e5cd63477713a43f25531de87f4d6626af0e35bc4c3417f2486bc4e80275
a20,0,False,Volume_Surprise_20D,"[Abnormal Trading Attention Factor] Measures current log-transformed trading volume relative to its fixed 20-prior-trading-day mean. Positive values indicate unusually high current trading attention, while negative values indicate unusually low attention. The current day's volume is excluded from the baseline, and exactly 20 prior observations are required.","\mathrm{Volume\_Surprise\_20D}_{j,t}=\ln\left(1+V_{j,t}\right)-\frac{1}{20}\sum_{i=1}^{20}\ln\left(1+V_{j,t-i}\right)","{""V_{j,t-i}"": ""Trading volume of instrument j i instrument-specific trading observations before day t."", ""V_{j,t}"": ""Trading volume of instrument j on the current trading day, from the $volume column."", ""baseline_window"": ""Fixed at the 20 prior trading observations, from t-1 through t-20; current-day volume is excluded."", ""j"": ""Instrument identifier."", ""ln"": ""Natural logarithm; adding 1 permits zero volume."", ""minimum_observations"": ""Fixed at 20 valid prior-day volume observations; the factor is missing when the full baseline is unavailable."", ""t"": ""Current trading day.""}",True,d257075534fec0bbbad901ede90dfb763023900a97e41230b011c0a33f513314,candidate_code/loop_0000/Volume_Surprise_20D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/3736069ba8094d16a1f599e3dd4c6834,workspaces/3736069ba8094d16a1f599e3dd4c6834/result.h5,True,464577,2017-04-05,2026-05-27,['Volume_Surprise_20D'],400ce62417170e262924d06c9a25985ace93f0407b5265709dba0cf2c98203c2
a20,1,True,Overnight_Gap_1D,"[Overnight Price Discovery Factor] Measures the adjusted return from the previous instrument-specific trading observation's close to the current day's open. Positive values indicate upward overnight price discovery, while negative values indicate downward overnight price discovery. The factor uses adjusted open and close prices from daily_pv.h5. A value observed on day t is available only for prediction or trading from the next session.","\mathrm{Overnight\_Gap\_1D}_{j,t}=\frac{O_{j,t}}{C_{j,t-1}}-1","{""C_{j,t-1}"": ""Adjusted close price of instrument j exactly 1 instrument-specific trading observation before day t, from the $close column."", ""O_{j,t}"": ""Adjusted open price of instrument j on day t, from the $open column."", ""j"": ""Instrument identifier."", ""lookback"": ""Fixed at 1 prior instrument-specific trading observation."", ""minimum_prior_observations"": ""Fixed at 1; the factor is missing when the immediately preceding instrument-specific close is unavailable."", ""signal_availability_lag"": ""Fixed at 1 session: the value computed for day t may only be used for prediction or trading beginning with the next session."", ""t"": ""Current instrument-specific trading day."", ""validity_rule"": ""The factor is missing when the current open or previous close is unavailable, non-finite, or nonpositive.""}",True,de8fce345a91dfb09d1a069cd8423afceed67fabc8c226f9be7e6526cfe707c2,candidate_code/loop_0001/Overnight_Gap_1D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/d8ec5923ef554fcd88b3e406091302fb,workspaces/d8ec5923ef554fcd88b3e406091302fb/result.h5,True,464577,2017-04-05,2026-05-27,['Overnight_Gap_1D'],4791b12b9e85b0223226f3788f8b593b7e9c27351ab920b225fabdafda37220c
a20,1,True,Close_Location_Value_1D,"[Range-Normalized Closing Pressure Factor] Measures where the adjusted close lies within the current day's adjusted high-low range. Values approach 1 when the close is near the high and -1 when it is near the low, indicating positive or negative closing pressure respectively. The factor uses adjusted high, low, and close prices from daily_pv.h5. It is missing when the daily range is nonpositive. A value observed on day t is available only for prediction or trading from the next session.","\mathrm{Close\_Location\_Value\_1D}_{j,t}=\begin{cases}\frac{2C_{j,t}-H_{j,t}-L_{j,t}}{H_{j,t}-L_{j,t}}, & H_{j,t}>L_{j,t}\\\mathrm{NaN}, & H_{j,t}\leq L_{j,t}\end{cases}","{""C_{j,t}"": ""Adjusted close price of instrument j on day t, from the $close column."", ""H_{j,t}"": ""Adjusted high price of instrument j on day t, from the $high column."", ""L_{j,t}"": ""Adjusted low price of instrument j on day t, from the $low column."", ""j"": ""Instrument identifier."", ""signal_availability_lag"": ""Fixed at 1 session: the value computed from the completed day t range and close may only be used for prediction or trading beginning with the next session."", ""t"": ""Current instrument-specific trading day."", ""validity_rule"": ""The factor is missing if any required value is unavailable or non-finite, or if H_{j,t} is less than or equal to L_{j,t}."", ""window"": ""Fixed at the current trading day only; no rolling history is used.""}",True,de2fd2408c5431bd780b2fbe215eb5a981cfecbd1371cc9ee90d6d35457f8fad,candidate_code/loop_0001/Close_Location_Value_1D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/408e9b005d08438cbbdefddb04a6d8b3,workspaces/408e9b005d08438cbbdefddb04a6d8b3/result.h5,True,464577,2017-04-05,2026-05-27,['Close_Location_Value_1D'],78408ab55b2e6f2f00e24a55a069b9ba1b1f931649f236214eadf447bc4b9347
a20,1,True,Close_Momentum_20D,"[Medium-Term Momentum Factor] Measures the cumulative adjusted close-price return over a fixed 20-trading-observation lookback. Positive values indicate medium-term price persistence, while negative values indicate medium-term price weakness. The factor uses only adjusted close prices from daily_pv.h5 and requires the close exactly 20 prior instrument-specific trading observations before the current day. A value observed on day t is available only for prediction or trading from the next session.","\mathrm{Close\_Momentum\_20D}_{j,t}=\frac{C_{j,t}}{C_{j,t-20}}-1","{""C_{j,t-20}"": ""Adjusted close price of instrument j exactly 20 instrument-specific trading observations before day t, from the $close column."", ""C_{j,t}"": ""Adjusted close price of instrument j on day t, from the $close column."", ""j"": ""Instrument identifier."", ""lookback"": ""Fixed at 20 instrument-specific trading observations."", ""minimum_prior_observations"": ""Fixed at exactly 20 prior instrument-specific trading observations; the factor is missing until the t-20 close exists."", ""signal_availability_lag"": ""Fixed at 1 session: the value computed for day t may only be used for prediction or trading beginning with the next session."", ""t"": ""Current instrument-specific trading day."", ""validity_rule"": ""The factor is missing when the current close or the close at t-20 is unavailable, non-finite, or nonpositive.""}",True,aa156f7771e52188945f382ab8ee2146751271aa29b394ee4fe2f47db8a34d9f,candidate_code/loop_0001/Close_Momentum_20D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/670d1f8d6fe34fc29ab5f52c8638d5c3,workspaces/670d1f8d6fe34fc29ab5f52c8638d5c3/result.h5,True,464577,2017-04-05,2026-05-27,['Close_Momentum_20D'],815edc1af653b6b26845a6f4e2be3f1f0c678e8cbd33fe1d59c47ec7ee1d56e3
a20,2,False,Gap_Confirmation_Volume_20D,"[Volume-Confirmed Overnight Price Discovery Factor] Measures the current overnight gap, scaled by agreement between the gap direction and the current day's range-normalized closing pressure, then weighted by current volume relative to the mean volume of exactly 20 prior instrument-specific trading observations. Confirmed gaps with elevated volume receive greater magnitude, while directionally unsupported gaps are downweighted. The factor uses only adjusted OHLCV data from daily_pv.h5. A value computed after day t closes is available only for prediction or trading beginning with the next session.","\mathrm{Gap\_Confirmation\_Volume\_20D}_{j,t}=g_{j,t}\times\frac{1+\operatorname{sign}(g_{j,t})\,\mathrm{CLV}_{j,t}}{2}\times\frac{V_{j,t}}{\overline{V}^{\mathrm{prior20}}_{j,t}},\quad g_{j,t}=\frac{O_{j,t}}{C_{j,t-1}}-1,\quad \mathrm{CLV}_{j,t}=\frac{2C_{j,t}-H_{j,t}-L_{j,t}}{H_{j,t}-L_{j,t}},\quad \overline{V}^{\mathrm{prior20}}_{j,t}=\frac{1}{20}\sum_{i=1}^{20}V_{j,t-i}","{""CLV_{j,t}"": ""Current close-location value within the daily high-low range."", ""C_{j,t-1}"": ""Adjusted close price exactly 1 instrument-specific trading observation before day t, from the $close column."", ""C_{j,t}"": ""Adjusted close price of instrument j on day t, from the $close column."", ""H_{j,t}"": ""Adjusted high price of instrument j on day t, from the $high column."", ""L_{j,t}"": ""Adjusted low price of instrument j on day t, from the $low column."", ""O_{j,t}"": ""Adjusted open price of instrument j on day t, from the $open column."", ""V_{j,t-i}"": ""Trading volume i instrument-specific trading observations before day t, from the $volume column."", ""V_{j,t}"": ""Current trading volume of instrument j on day t, from the $volume column."", ""confirmation_window"": ""Fixed at the current completed trading day for close-location confirmation."", ""g_{j,t}"": ""Current overnight gap return, defined as O_{j,t}/C_{j,t-1}-1."", ""gap_lookback"": ""Fixed at 1 prior instrument-specific trading observation for the previous close."", ""j"": ""Instrument identifier."", ""minimum_prior_volume_observations"": ""Exactly 20 valid prior volume observations are required. No shortened rolling window is permitted."", ""sign"": ""Sign function: 1 for a positive gap, -1 for a negative gap, and 0 when the gap equals zero."", ""signal_availability_lag"": ""Fixed at 1 session: the value computed from completed day-t data may only be used for prediction or trading beginning with the next session."", ""source_data"": ""Only daily_pv.h5 is used, specifically the $open, $close, $high, $low, and $volume columns."", ""t"": ""Current instrument-specific trading day."", ""validity_rule"": ""The factor is missing unless the current open, close, high, and low and the immediately previous close are finite and strictly positive; H_{j,t} must be strictly greater than L_{j,t}; current volume must be finite and nonnegative; all 20 prior volumes must be finite and nonnegative; and their arithmetic mean must be strictly positive."", ""volume_baseline_window"": ""Fixed at exactly 20 prior instrument-specific trading observations, t-1 through t-20; current-day volume is excluded.""}",True,e682a42c54464621d35a5434053bce757bc9e551f2cbc60931ab7d5558e3d4a6,candidate_code/loop_0002/Gap_Confirmation_Volume_20D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/dbc6a440250a4214a32aecd37c81fde9,workspaces/dbc6a440250a4214a32aecd37c81fde9/result.h5,True,464577,2017-04-05,2026-05-27,['Gap_Confirmation_Volume_20D'],7100b6a319dbfeecb340ffe04b81f73c3c492905f56ae502db3d58422d5b18bf
a20,3,False,Skip5_Momentum_60D,"[Delayed Long-Term Momentum Factor] Measures the adjusted close-price return from exactly 60 instrument-specific trading observations before day t through exactly 5 observations before day t, deliberately excluding the latest five sessions. This fixed 55-observation return interval captures slower price persistence while reducing exposure to short-lived gap, closing-pressure, and reversal effects. The factor requires a complete history of exactly 60 prior instrument-specific trading observations with finite, strictly positive adjusted closes. It uses only the $close column from daily_pv.h5. The value labeled for day t has a fixed one-session availability lag and may only be used for prediction or trading beginning with the next session.","\mathrm{Skip5\_Momentum\_60D}_{j,t}=\begin{cases}\dfrac{C_{j,t-5}}{C_{j,t-60}}-1, & \text{if } C_{j,t-i}\in(0,\infty) \text{ and is finite for every } i\in\{1,\ldots,60\},\\ \mathrm{NaN}, & \text{otherwise.}\end{cases}","{""C_{j,t-5}"": ""Adjusted close price exactly 5 instrument-specific trading observations before day t; this is the ending price of the measured return interval."", ""C_{j,t-60}"": ""Adjusted close price exactly 60 instrument-specific trading observations before day t; this is the starting price of the measured return interval."", ""C_{j,t-i}"": ""Adjusted close price of instrument j exactly i instrument-specific trading observations before day t, from the $close column of daily_pv.h5."", ""history_window"": ""Fixed at exactly 60 prior instrument-specific trading observations, covering t-1 through t-60."", ""j"": ""Instrument identifier."", ""minimum_prior_observations"": ""Exactly 60 prior instrument-specific trading observations are required. No shortened history window is permitted."", ""momentum_horizon"": ""Fixed at 55 instrument-specific trading intervals, from t-60 through t-5."", ""recent_skip"": ""Fixed at 5 instrument-specific trading observations; closes from t-4 through t are excluded from the return calculation."", ""signal_availability_lag"": ""Fixed at 1 session: the factor value labeled for day t may only be used for prediction or trading beginning with the next session."", ""source_data"": ""Only daily_pv.h5 is used, specifically its $close column."", ""t"": ""Current instrument-specific trading day on which the factor is labeled."", ""validity_rule"": ""The factor is missing unless every adjusted close in the fixed prior-history window t-1 through t-60 is available, finite, and strictly positive.""}",True,0c0a7a121d32784842776ab8434d851362dfe1221a2c82843285e9d922a6ae43,candidate_code/loop_0003/Skip5_Momentum_60D/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/8522f5ae990640fb9e9835061c784484,workspaces/8522f5ae990640fb9e9835061c784484/result.h5,True,464577,2017-04-05,2026-05-27,['Skip5_Momentum_60D'],6209c37d587155e458c9a9b5796f6ecac4f184c54d37e64d20f5f3d1cce60f44
a20,4,False,Signed_Trend_Efficiency_60D_Skip5,"[Path-Normalized Trend Efficiency Factor] Measures the signed adjusted-close trend from exactly 60 to exactly 5 instrument-specific trading observations before day t, normalized by the total absolute log-return path traveled over the same 55-session interval. Values lie in [-1, 1]: values near 1 indicate a smooth upward trend, values near -1 indicate a smooth downward trend, and values near 0 indicate a volatile or directionless path with little net displacement. The latest five sessions are excluded from the measured path. The factor requires every adjusted close from t-60 through t-1 to be finite and strictly positive, as well as a strictly positive path-length denominator. It uses only the $close column from daily_pv.h5. The value labeled for day t has a fixed one-session availability lag and may only be used for prediction or trading beginning with the next session.","\mathrm{Signed\_Trend\_Efficiency\_60D\_Skip5}_{j,t}=\begin{cases}\dfrac{\ln\!\left(C_{j,t-5}/C_{j,t-60}\right)}{\displaystyle\sum_{k=5}^{59}\left|\ln\!\left(C_{j,t-k}/C_{j,t-k-1}\right)\right|}, & \text{if all } C_{j,t-i}\in(0,\infty) \text{ are finite for } i=1,\ldots,60 \text{ and the denominator}>0,\\ \mathrm{NaN}, & \text{otherwise.}\end{cases}","{""C_{j,t-i}"": ""Adjusted close price of instrument j exactly i instrument-specific trading observations before day t, from the $close column of daily_pv.h5."", ""denominator"": ""Total absolute log-return path length over the same interval, fixed as sum from k=5 through 59 of |ln(C_{j,t-k}/C_{j,t-k-1})|."", ""history_window"": ""Fixed at exactly 60 prior instrument-specific trading observations, covering t-1 through t-60."", ""j"": ""Instrument identifier."", ""ln"": ""Natural logarithm."", ""minimum_prior_observations"": ""Exactly 60 prior instrument-specific trading observations are required; no shortened history window is permitted."", ""numerator"": ""Signed net log-price displacement ln(C_{j,t-5}/C_{j,t-60}) over the fixed interval from t-60 through t-5."", ""output_range"": ""Bounded to [-1, 1] when valid by the triangle inequality; the sign represents trend direction and the absolute value represents path efficiency."", ""path_return_count"": ""Fixed at exactly 55 one-session log returns in the denominator."", ""recent_skip"": ""Fixed at 5 instrument-specific trading observations. The measured trend and path end at t-5, so observations t-4 through t are excluded from the calculation."", ""signal_availability_lag"": ""Fixed at 1 session: the factor value labeled for day t may only be used for prediction or trading beginning with the next session."", ""source_data"": ""Only daily_pv.h5 is used, specifically its $close column."", ""t"": ""Current instrument-specific trading day on which the factor is labeled."", ""trend_interval"": ""Fixed at 55 instrument-specific trading intervals, beginning at t-60 and ending at t-5."", ""validity_rule"": ""The factor is missing unless every adjusted close from t-60 through t-1 is available, finite, and strictly positive and the fixed path-length denominator is finite and strictly positive. A constant path with a zero denominator produces NaN.""}",True,fba2503c04d5d5440f77157f9a8d33df38ee9ddf0b18a1f9c1440863f0c15c1f,candidate_code/loop_0004/Signed_Trend_Efficiency_60D_Skip5/factor.py,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/23_rdagent_quant_pit_replication_v0/outputs/23I1_rdfactor_a20_solpro_6h/workspaces/8ea492f2708b4bccaf6df015e17aebc2,workspaces/8ea492f2708b4bccaf6df015e17aebc2/result.h5,True,464577,2017-04-05,2026-05-27,['Signed_Trend_Efficiency_60D_Skip5'],f6bef1062bb3f16bca916132c619ce539a80e1e98f04b3f5e26725bf8b09d908
