branch,loop_index,trace_index,decision,task_count,implemented_task_count,checkpoint_count,five_step_checkpoint_complete,started_at_utc,ended_at_utc,wall_seconds,current_ic,current_rank_ic,current_net_arr,current_max_drawdown,baseline_ic,baseline_rank_ic,baseline_net_arr,baseline_max_drawdown
a20,0,0,False,4,4,5,True,2026-07-27T16:08:42.501641+00:00,2026-07-27T16:12:40.593668+00:00,238.0920271873474,0.0115985962303683,0.0071692432537473,-0.0074702899965882,-0.0547083655041312,0.0018338132376232,-0.0043907566574781,0.0560662023796822,-0.0820078387609567
a20,1,1,True,3,3,5,True,2026-07-27T16:14:18.722114+00:00,2026-07-27T16:17:05.521325+00:00,166.79921126365662,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955,0.0018338132376232,-0.0043907566574781,0.0560662023796822,-0.0820078387609567
a20,2,2,False,1,1,5,True,2026-07-27T16:18:29.758352+00:00,2026-07-27T16:20:11.861873+00:00,102.10352110862732,0.0123263171518522,0.0056954531368414,-0.0039727454556642,-0.0816429324945918,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,3,3,False,1,1,5,True,2026-07-27T16:21:09.801801+00:00,2026-07-27T16:22:38.165158+00:00,88.36335682868958,0.0096024681435417,0.0041084705652281,0.0079480528498991,-0.0980031150880961,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,4,4,False,1,1,5,True,2026-07-27T16:23:37.036705+00:00,2026-07-27T16:25:50.489490+00:00,133.45278453826904,0.0141315786648421,0.0103118423949809,-0.0102431152772574,-0.0865982432217899,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,5,5,False,1,1,5,True,2026-07-27T16:26:51.122853+00:00,2026-07-27T16:28:36.095172+00:00,104.97231912612915,0.0132516066581642,0.007924158835661,-0.0164112309290776,-0.0731342815627816,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,6,6,False,1,1,5,True,2026-07-27T16:29:58.888180+00:00,2026-07-27T16:31:37.134346+00:00,98.2461667060852,0.0143715497121579,0.0104093812919268,0.0449092166167937,-0.0864061196009705,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,7,7,False,1,1,5,True,2026-07-27T16:32:52.555211+00:00,2026-07-27T16:34:43.931579+00:00,111.37636852264404,0.0078283502679853,0.0028112278367632,-0.0367374139526063,-0.1028309787262677,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,8,8,False,1,1,5,True,2026-07-27T16:36:09.209872+00:00,2026-07-27T16:38:07.733022+00:00,118.5231499671936,0.0131014179053551,0.0080585599004264,0.0233646810466763,-0.0594428699241984,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
a20,9,9,False,1,1,5,True,2026-07-27T16:39:32.575173+00:00,2026-07-27T16:40:53.637747+00:00,81.0625741481781,0.0184895861000059,0.0127636598309517,0.0731172115704085,-0.0668128593579944,0.0194381784836631,0.0151608069601922,0.0825825884049168,-0.0599410125768955
