horizon,split,sample_status,sample_gate_pass,concentration_gate,active_overlap_gate,date_independence_gate,absolute_positive,relative_positive,baseline_lift_gate,robustness_confirmed,adjacent_horizon_clean
H5,train,pass,True,False,True,True,False,False,True,False,True
H10,train,pass,True,False,True,True,False,False,True,False,True
H20,train,pass,True,False,True,True,False,False,False,False,True
H5,validation,pass,True,False,True,False,False,False,False,False,True
H10,validation,pass,True,False,True,True,False,False,False,False,True
H20,validation,pass,True,False,True,True,False,False,False,False,True
H5,robustness,pass,True,False,True,False,False,False,True,False,True
H10,robustness,pass,True,False,True,False,False,False,False,False,True
H20,robustness,pass,True,False,True,True,False,False,True,False,True
