check_id,stage,artifact_path,expected_value,observed_value,status,reason
approved_21b_config_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_contract_erratum_id_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_contract_erratum_path_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_contract_erratum_schema_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_contract_erratum_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_decision_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_gate_evidence_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_manifest_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_output_hashes_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_pre_holdout_bundle_hash_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_requirement_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_requirement_version_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_root_canonical_versioned,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_runner_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_semantic_payload_bundle_hash_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21b_test_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21c_config_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21c_runner_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
approved_21c_test_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
authorization_observation_recorded,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
authorization_requirement_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
authorization_reviewer_human,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
