split,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252
outside_split,60000,0,0,0.0
robustness,230000,227772,227772,903.8571428571429
train,608000,452114,452114,1794.1031746031747
validation,242000,232965,232965,924.4642857142857
