instrument,board_bucket,active_in_requested_window,raw_daily_file_exists,share_history_file_exists,status_file_exists,raw_rows,rows_in_resolved_calendar,missing_share_asof_rows,eligible_candidate_rows,first_price_date,last_price_date,market_cap_source,latest_only,support_state,notes
SH600000,main_board,True,True,True,True,2281,2281,1641,640,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600001,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600002,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600003,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600004,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600005,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600006,main_board,True,True,True,True,2276,2276,0,2276,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600007,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600008,main_board,True,True,True,True,2265,2265,0,2265,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600009,main_board,True,True,True,True,2270,2270,0,2270,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600010,main_board,True,True,True,True,2272,2272,0,2272,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600011,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600012,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600015,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600016,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600017,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600018,main_board,True,True,True,True,2278,2278,0,2278,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600019,main_board,True,True,True,True,2262,2262,627,1635,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600020,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600021,main_board,True,True,True,True,2275,2275,0,2275,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600022,main_board,True,True,True,True,2184,2184,0,2184,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600023,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600025,main_board,True,True,True,True,2048,2048,0,2048,2017-12-15,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600026,main_board,True,True,True,True,2276,2276,0,2276,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600027,main_board,True,True,True,True,2270,2270,0,2270,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600028,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600029,main_board,True,True,True,True,2278,2278,1860,418,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600030,main_board,True,True,True,True,2264,2264,0,2264,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600031,main_board,True,True,True,True,2281,2281,859,1422,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600032,main_board,True,True,True,True,1215,1215,0,1215,2021-05-25,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600033,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600035,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600036,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600037,main_board,True,True,True,True,2275,2275,0,2275,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600038,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600039,main_board,True,True,True,True,2269,2269,1299,970,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600048,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600050,main_board,True,True,True,True,2186,2186,431,1755,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600051,main_board,True,True,True,True,2210,2210,0,2210,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600052,main_board,True,True,True,True,2198,2198,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600053,main_board,True,True,True,True,2274,2274,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600054,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600055,main_board,True,True,True,True,2272,2272,0,2272,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600056,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600057,main_board,True,True,True,True,2270,2270,1271,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
