board_bucket,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252,episode_count,episodes_per_100_universe_years
chinext,228000,171963,171963,682.3928571428571,679,99.50280002093474
main_board,912000,740888,740888,2940.031746031746,1814,61.70001403720941
