instrument,episode_id,episode_low_date,episode_high_date,qfq_low_at_low_date,qfq_high_at_high_date,mfe_120,low_to_high_sessions,low_to_high_calendar_days,low_detection_window,forward_horizon_days,dedup_cluster_id,cluster_policy,primary_low_selection_policy,earliest_qualifying_low_date,earliest_qualifying_high_date,max_mfe_low_date,max_mfe_high_date,max_mfe_120,structural_low_date,structural_low_to_cluster_high_mfe,high_at_horizon_boundary,profile_start_date,profile_end_date,profile_pre_low_complete,profile_post_high_complete,lookback_60_complete,lookback_120_complete,lookback_250_complete,first_ema60_reclaim_date,first_ema60_reclaim_missing_reason,split,duration_bucket,board_bucket,total_market_cap_cny,liquidity_money_20d,prior_return_20d,prior_return_60d,prior_drawdown,volatility_20d,market_regime_bucket,benchmark_alias,cluster_member_count,cluster_union_start_date,cluster_union_end_date,market_cap_bucket,liquidity_bucket,prior_return_20d_bucket,prior_return_60d_bucket,prior_drawdown_bucket,volatility_bucket,low_matched_control_count,ema60_matched_control_count
SH600000,SH600000_20250407_0000,2025-04-07,2025-07-07,9.18,14.36,0.5642701525054465,61,91,20,120,SH600000_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-04-07,2025-07-07,2025-04-07,2025-07-07,0.5642701525054465,2025-04-07,0.5642701525054465,False,2024-03-22,2025-08-18,True,True,True,True,True,2025-04-15,not_missing,robustness,medium,main_board,307610835878.08,520025169.2,-0.0477642276422765,-0.046795523906409064,-0.09903846153846163,0.02449306296691569,risk_off,csi300,1,2025-04-07,2025-07-07,q5,q4,q5,q4,q5,q1,5,5
SH600004,SH600004_20181030_0000,2018-10-30,2019-04-04,9.04,15.65,0.7311946902654869,105,156,20,120,SH600004_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-10-30,2019-04-04,2019-01-15,2019-07-01,1.0088202866593163,2018-10-30,1.0154867256637168,False,2017-10-20,2019-05-22,True,True,True,True,True,2018-12-13,not_missing,train,long,main_board,21148455653.08,112604998.05,-0.19491525423728817,-0.2725880551301685,-0.30959302325581395,0.04931578947368424,risk_off,csi300,2,2018-10-30,2019-07-01,q2,q2,q1,q1,q1,q4,5,5
SH600009,SH600009_20180209_0000,2018-02-09,2018-07-23,39.61,61.6,0.5551628376672557,106,164,20,120,SH600009_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-02-09,2018-07-23,2018-02-09,2018-07-23,0.5551628376672557,2018-02-09,0.5551628376672557,False,2017-02-09,2018-09-03,True,True,True,True,True,2018-02-22,not_missing,train,long,main_board,88659358192.48,379871569.25,0.006462422211584329,0.016682785299806602,-0.10111158614792659,0.0389298454221165,risk_off,csi300,1,2018-02-09,2018-07-23,q5,q4,q5,q4,q5,q3,5,5
SH600009,SH600009_20181029_0001,2018-10-29,2019-04-23,42.01,67.09,0.597000714115687,118,176,20,120,SH600009_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-10-29,2019-04-23,2019-01-24,2019-07-01,0.9044399368942981,2018-10-29,1.0114258509878602,False,2017-10-19,2019-06-10,True,True,True,True,True,2018-12-27,not_missing,train,long,main_board,93650180572.8,375430476.4,-0.22718910963944083,-0.28396113857167216,-0.29489761664988257,0.06485360628421802,risk_off,csi300,3,2018-10-29,2019-07-01,q5,q3,q1,q1,q2,q5,5,5
SH600009,SH600009_20210802_0002,2021-08-02,2022-01-21,35.79,54.11,0.5118748253702152,116,172,20,120,SH600009_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-08-02,2022-01-21,2021-08-02,2022-01-21,0.5118748253702152,2021-08-02,0.5118748253702152,False,2020-07-09,2022-03-11,True,True,True,True,True,2021-09-03,not_missing,train,long,main_board,74284248170.4,634127427.85,-0.17726567693330375,-0.3271112722000724,-0.33814616755793225,0.033517371397791554,risk_on,csi300,1,2021-08-02,2022-01-21,q4,q4,q1,q1,q1,q3,5,5
SH600010,SH600010_20201102_0000,2020-11-02,2021-03-08,1.12,2.22,0.9821428571428572,84,126,20,120,SH600010_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-11-02,2021-03-08,2021-02-08,2021-07-30,1.6126126126126121,2021-02-08,1.6126126126126121,False,2019-10-22,2021-04-20,True,True,True,True,True,2020-11-09,not_missing,train,long,main_board,51966937218.71999,161791256.15,-0.01754385964912264,-0.0344827586206895,-0.1384615384615384,0.01741071428571429,transition,csi300,4,2020-11-02,2021-07-30,q4,q2,q5,q4,q5,q1,5,5
SH600010,SH600010_20210428_0001,2021-04-28,2021-09-01,1.45,4.1,1.8275862068965516,86,126,20,120,SH600010_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-04-28,2021-09-01,2021-04-28,2021-09-01,1.8275862068965516,2021-04-28,1.8275862068965516,False,2020-04-17,2021-10-22,True,True,True,True,True,2021-05-07,not_missing,train,long,main_board,67921698645.52,1198304973.4,-0.06790123456790131,0.2905982905982907,-0.3198198198198199,0.040066225165562915,transition,csi300,4,2021-04-28,2021-09-01,q4,q5,q4,q5,q1,q3,5,5
SH600010,SH600010_20220427_0002,2022-04-27,2022-06-27,1.73,2.69,0.5549132947976878,39,61,20,120,SH600010_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-04-27,2022-06-27,2022-04-27,2022-06-27,0.5549132947976878,2022-04-27,0.5549132947976878,False,2021-04-15,2022-08-08,True,True,True,True,True,2022-06-06,not_missing,validation,fast,main_board,81597208439.92,961384089.95,-0.1659192825112107,-0.2530120481927711,-0.31868131868131866,0.042473118279569906,risk_off,csi300,1,2022-04-27,2022-06-27,q5,q5,q2,q1,q1,q4,5,5
SH600010,SH600010_20240624_0003,2024-06-24,2024-11-08,1.37,2.33,0.7007299270072991,92,137,20,120,SH600010_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2024-06-24,2024-11-08,2024-06-24,2024-11-08,0.7007299270072991,2024-06-24,0.7007299270072991,False,2023-06-09,2024-12-20,True,True,True,True,True,2024-08-20,not_missing,robustness,long,main_board,63566919147.2,219650992.8,-0.11538461538461553,-0.14285714285714302,-0.20231213872832376,0.021739130434782622,transition,csi300,8,2024-06-24,2024-11-08,q4,q3,q3,q2,q3,q1,5,2
SH600010,SH600010_20250407_0004,2025-04-07,2025-08-25,1.62,2.99,0.845679012345679,96,140,20,120,SH600010_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-04-07,2025-08-25,2025-04-07,2025-08-25,0.845679012345679,2025-04-07,0.8950617283950615,False,2024-03-22,2025-10-14,True,True,True,True,True,2025-05-06,not_missing,robustness,long,main_board,81519514826.40001,773125572.75,-0.11290322580645173,-0.08839779005524873,-0.1624365482233503,0.03151515151515149,risk_off,csi300,8,2025-04-07,2025-10-14,q4,q5,q3,q3,q4,q2,5,5
SH600010,SH600010_20250929_0005,2025-09-29,2026-03-02,2.26,3.41,0.5088495575221241,96,154,20,120,SH600010_cluster_0005,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-09-29,2026-03-02,2025-09-29,2026-03-02,0.5088495575221241,2026-01-19,0.5155555555555555,False,2024-09-19,2026-04-14,True,True,True,True,True,2025-10-09,not_missing,robustness,long,main_board,103258052113.44,2148130553.1,-0.14909090909090916,0.2999999999999998,-0.21739130434782616,0.037606837606837626,risk_on,csi300,1,2025-09-29,2026-03-02,q5,q5,q2,q5,q3,q3,5,5
