market_regime_bucket,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252,episode_count,episodes_per_100_universe_years
missing_insufficient_lookback,59000,0,0,0.0,0,
risk_off,262500,248887,248887,987.6468253968254,1580,159.97621410519633
risk_on,529500,418113,418113,1659.1785714285713,428,25.795897281356954
transition,289000,245851,245851,975.5992063492064,485,49.71303757153723
