year,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252,episode_count,episodes_per_100_universe_years
2017,121500,0,0,0.0,0,
2018,121500,106411,106411,422.265873015873,353,83.59662065012076
2019,122000,115082,115082,456.6746031746032,240,52.55383118124468
2020,121500,115135,115135,456.88492063492066,418,91.489121466105
2021,121500,115486,115486,458.27777777777777,279,60.880106679597525
2022,121000,115263,115263,457.39285714285717,328,71.71078316545638
2023,121000,117702,117702,467.07142857142856,117,25.049701789264418
2024,121000,119762,119762,475.24603174603175,405,85.21901771847497
2025,121500,108010,108010,428.6111111111111,353,82.35904082955282
2026,47500,0,0,0.0,0,
