dominance_id,factor_family,feature,shared_axis,anchor_family,relative_day,relative_window,split,regime_bucket,duration_bucket,winner_count,control_count,winner_total,control_total,winner_mean,control_mean,winner_std,control_std,standardized_mean_difference,winner_rate,control_rate,lift,odds_ratio,absolute_rate_difference,feature_non_missing_coverage,claim_status,missing_reason_policy,multiple_test_family
shared_axis_low_0_close_to_ema20_all_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,all,2482,12094,2482,12094,-0.09789803212942708,-0.09095243545462095,0.054461955751328124,0.051665779166525296,-0.13317891475753554,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_train_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,train,all,all,1281,6252,1281,6252,-0.10258246153998934,-0.09409463165852638,0.052901688266086745,0.04917202779625879,-0.17035066775954022,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_validation_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,validation,all,all,443,2186,443,2186,-0.09790158970582458,-0.0956973091073828,0.05548983120077427,0.05414071981271253,-0.040542181541925196,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_robustness_all_all,price_structure,close_to_ema20,shared_axis_low,,0,0,robustness,all,all,758,3656,758,3656,-0.08997939086125513,-0.08274201300611046,0.055599293877894834,0.05335310450228093,-0.13466098552861175,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_risk_off_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,risk_off,all,1577,7776,1577,7776,-0.11087532753743902,-0.10420400176728851,0.05552458283861455,0.052970836250502654,-0.1249082800977694,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_risk_on_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,risk_on,all,423,1974,423,1974,-0.06956788490037057,-0.06190999495756753,0.044615054919883435,0.037928490340535095,-0.19540640600805118,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_transition_all,price_structure,close_to_ema20,shared_axis_low,,0,0,all,transition,all,482,2344,482,2344,-0.08030147075900405,-0.07144970418067915,0.043395641081347976,0.03976128001653496,-0.21908463480212323,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_fast,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,fast,323,1550,323,1550,-0.1055884968081994,-0.10016533062018532,0.05965601666796567,0.05642359878624468,-0.0951550163206402,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_long,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,long,1573,7720,1573,7720,-0.09758907779251315,-0.09013395553298233,0.05411028656403117,0.04994339630551138,-0.14712361442346467,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_all_all_medium,price_structure,close_to_ema20,shared_axis_low,,0,0,all,all,medium,586,2824,586,2824,-0.09448841622622255,-0.08813327025930416,0.05203874146033128,0.053020835648418745,-0.1202406604160217,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_robustness_risk_off_all,price_structure,close_to_ema20,shared_axis_low,,0,0,robustness,risk_off,all,477,2321,477,2321,-0.10328485666281223,-0.09792721101547047,0.059290659352564064,0.055661358738480896,-0.09516962796578309,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
shared_axis_low_0_close_to_ema20_robustness_risk_on_all,price_structure,close_to_ema20,shared_axis_low,,0,0,robustness,risk_on,all,181,884,181,884,-0.05981628056588742,-0.05148665033634577,0.03689403969022615,0.03356604315621572,-0.24389593235465468,,,,,,1.0,no_claim,missing reasons retained in aligned panels,price_structure
