match_axis,split,winner_count,matched_winner_count,control_match_count,available_control_candidate_count,match_coverage,average_controls_per_winner,cross_split_boundary_unusable_count,unmatched_winner_count,match_anchor_date_min,match_anchor_date_max,match_fields,match_distance_mean,match_distance_p95,unmatched_reason_counts,future_label_used_for_profile_only
shared_axis_low,all,2493,2482,12094,7490,0.99558764540714,4.8511833132771764,0,11,2018-01-16,2025-11-26,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,5.49578303290888,15.0,"{""no_same_week_same_split_control"": 11}",True
shared_axis_low,train,1290,1281,6252,7490,0.9930232558139535,4.846511627906977,0,9,2018-01-16,2021-12-17,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,5.618202175303903,14.0,"{""no_same_week_same_split_control"": 9}",True
shared_axis_low,validation,445,443,2186,7490,0.9955056179775281,4.912359550561797,0,2,2022-01-10,2023-12-29,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,4.665141811527905,12.0,"{""no_same_week_same_split_control"": 2}",True
shared_axis_low,robustness,758,758,3656,7490,1.0,4.823218997361478,0,0,2024-01-15,2025-11-26,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,5.783096280087527,16.0,{},True
shared_axis_ema60,all,2493,2415,11902,7490,0.9687123947051745,4.7741676694745285,1853,78,2018-01-24,2026-01-08,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,7.622500420097462,18.0,"{""no_same_week_same_split_control"": 7}",True
shared_axis_ema60,train,1290,1250,6160,7490,0.9689922480620154,4.775193798449612,0,40,2018-01-24,2022-01-13,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,7.568831168831169,17.0,"{""no_same_week_same_split_control"": 6}",True
shared_axis_ema60,validation,445,429,2138,7490,0.9640449438202248,4.8044943820224715,260,16,2022-01-26,2024-03-11,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,7.115060804490177,16.0,{},True
shared_axis_ema60,robustness,758,736,3604,7490,0.9709762532981531,4.754617414248021,1593,22,2024-01-23,2026-01-08,board_bucket|market_cap_bucket|liquidity_bucket|prior_return_20d_bucket|prior_return_60d_bucket|prior_drawdown_bucket|volatility_bucket,8.015260821309656,20.0,"{""no_same_week_same_split_control"": 1}",True
