scope,year,split,board_bucket,duration_bucket,market_regime_bucket,episode_count,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252,episodes_per_100_universe_years,denominator_scope
all,all,all,all,all,all,2493,1140000.0,912851.0,912851.0,3622.4246031746034,68.82130818720688,evaluated_topn_instrument_days
year,2017,all,all,all,all,0,121500.0,0.0,0.0,0.0,,evaluated_topn_instrument_days
year,2018,all,all,all,all,353,121500.0,106411.0,106411.0,422.265873015873,83.59662065012076,evaluated_topn_instrument_days
year,2019,all,all,all,all,240,122000.0,115082.0,115082.0,456.6746031746032,52.55383118124468,evaluated_topn_instrument_days
year,2020,all,all,all,all,418,121500.0,115135.0,115135.0,456.88492063492066,91.489121466105,evaluated_topn_instrument_days
year,2021,all,all,all,all,279,121500.0,115486.0,115486.0,458.27777777777777,60.880106679597525,evaluated_topn_instrument_days
year,2022,all,all,all,all,328,121000.0,115263.0,115263.0,457.39285714285717,71.71078316545638,evaluated_topn_instrument_days
year,2023,all,all,all,all,117,121000.0,117702.0,117702.0,467.07142857142856,25.049701789264418,evaluated_topn_instrument_days
year,2024,all,all,all,all,405,121000.0,119762.0,119762.0,475.24603174603175,85.21901771847497,evaluated_topn_instrument_days
year,2025,all,all,all,all,353,121500.0,108010.0,108010.0,428.6111111111111,82.35904082955282,evaluated_topn_instrument_days
year,2026,all,all,all,all,0,47500.0,0.0,0.0,0.0,,evaluated_topn_instrument_days
split,all,outside_split,all,all,all,0,60000.0,0.0,0.0,0.0,,evaluated_topn_instrument_days
split,all,robustness,all,all,all,758,230000.0,227772.0,227772.0,903.8571428571429,83.86281017859964,evaluated_topn_instrument_days
split,all,train,all,all,all,1290,608000.0,452114.0,452114.0,1794.1031746031747,71.90221935175641,evaluated_topn_instrument_days
split,all,validation,all,all,all,445,242000.0,232965.0,232965.0,924.4642857142857,48.135986092331464,evaluated_topn_instrument_days
board_bucket,all,all,chinext,all,all,679,228000.0,171963.0,171963.0,682.3928571428571,99.50280002093474,evaluated_topn_instrument_days
board_bucket,all,all,main_board,all,all,1814,912000.0,740888.0,740888.0,2940.031746031746,61.70001403720941,evaluated_topn_instrument_days
market_regime_bucket,all,all,all,all,missing_insufficient_lookback,0,59000.0,0.0,0.0,0.0,,evaluated_topn_instrument_days
market_regime_bucket,all,all,all,all,risk_off,1580,262500.0,248887.0,248887.0,987.6468253968254,159.97621410519633,evaluated_topn_instrument_days
market_regime_bucket,all,all,all,all,risk_on,428,529500.0,418113.0,418113.0,1659.1785714285713,25.795897281356954,evaluated_topn_instrument_days
market_regime_bucket,all,all,all,all,transition,485,289000.0,245851.0,245851.0,975.5992063492064,49.71303757153723,evaluated_topn_instrument_days
duration_bucket,all,all,all,fast,all,324,,,,,,not_applicable_duration_episode_attribute
duration_bucket,all,all,all,long,all,1578,,,,,,not_applicable_duration_episode_attribute
duration_bucket,all,all,all,medium,all,591,,,,,,not_applicable_duration_episode_attribute
