split,raw_topn_instrument_days,evaluated_instrument_days,instrument_days,universe_years_252,episode_count,episodes_per_100_universe_years
outside_split,60000,0,0,0.0,0,
robustness,230000,227772,227772,903.8571428571429,758,83.86281017859964
train,608000,452114,452114,1794.1031746031747,1290,71.90221935175641
validation,242000,232965,232965,924.4642857142857,445,48.135986092331464
