comparison,split,winner_count,near_winner_control_count,winner_mfe_120_mean,near_winner_mfe_120_mean,claim_status,sequence_id,winner_sequence_rate,near_winner_sequence_rate,lift,absolute_rate_difference
winner_vs_near_winner_control,all,2493,6619,0.8318662203075585,0.4043699863805251,diagnostic,,,,,
winner_vs_near_winner_control,train,1290,3304,0.8292077405124868,0.407979717053246,diagnostic,,,,,
winner_vs_near_winner_control,validation,445,943,0.7433150005503226,0.4044214182532932,diagnostic,,,,,
winner_vs_near_winner_control,robustness,758,2372,0.888376420475912,0.39932148283976215,diagnostic,,,,,
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S1_context_to_repair_v0,0.9500402900886382,0.9339779422873545,1.017197780669152,0.016062347801283683
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S1_context_to_repair_v0,0.9430132708821234,0.9185835351089588,1.026595007246964,0.02442973577316454
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S1_context_to_repair_v0,0.9774266365688488,0.9713679745493107,1.0062372470353977,0.006058662019538086
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S1_context_to_repair_v0,0.945910290237467,0.9405564924114671,1.0056921597683872,0.005353797825999873
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S2_repair_money_vwap_v0,0.8755036261079774,0.8326031122526061,1.0515257668678466,0.0429005138553713
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S2_repair_money_vwap_v0,0.868071818891491,0.809322033898305,1.0725913573737795,0.05874978499318595
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S2_repair_money_vwap_v0,0.9119638826185101,0.8568398727465536,1.0643340857787809,0.055124009871956536
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S2_repair_money_vwap_v0,0.866754617414248,0.8553962900505903,1.0132784388894018,0.011358327363657716
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S3_repair_rank_persistence_v0,0.5789685737308622,0.21256987460341442,2.7236623948291236,0.36639869912744777
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S3_repair_rank_persistence_v0,0.5714285714285714,0.20520581113801453,2.7846607669616517,0.3662227602905569
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S3_repair_rank_persistence_v0,0.7133182844243793,0.32237539766702017,2.212694546750624,0.3909428867573591
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S3_repair_rank_persistence_v0,0.5131926121372031,0.17917369308600337,2.8642185317398727,0.33401891905119974
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S4_contraction_expansion_v0,0.9210314262691378,0.9095029460643602,1.0126755831354524,0.011528480204777591
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S4_contraction_expansion_v0,0.9344262295081968,0.9340193704600485,1.0004356002252373,0.0004068590481483003
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S4_contraction_expansion_v0,0.9051918735891648,0.8398727465535525,1.077772647467907,0.06531912703561227
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S4_contraction_expansion_v0,0.9076517150395779,0.903035413153457,1.0051119832277677,0.004616301886120833
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S5_money_no_distribution_v0,0.991941982272361,0.9957697537392355,0.9961559673282897,-0.003827771466874519
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S5_money_no_distribution_v0,0.9890710382513661,0.9945520581113801,0.9944889562941307,-0.005481019860014036
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S5_money_no_distribution_v0,0.9954853273137697,0.9978791092258749,0.9976011303473803,-0.002393781912105153
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S5_money_no_distribution_v0,0.9947229551451188,0.9966273187183811,0.9980891918799585,-0.001904363573262291
winner_vs_near_winner_sequence,all,2482,6619,,,diagnostic,S6_continuation_discriminator_v0,0.7973408541498791,0.6074935790904971,1.312509105600112,0.18984727505938204
winner_vs_near_winner_sequence,train,1281,3304,,,diagnostic,S6_continuation_discriminator_v0,0.7736143637782982,0.5438861985472155,1.4223827812595977,0.22972816523108264
winner_vs_near_winner_sequence,validation,443,943,,,diagnostic,S6_continuation_discriminator_v0,0.837471783295711,0.7497348886532343,1.1170238920054534,0.08773689464247669
winner_vs_near_winner_sequence,robustness,758,2372,,,diagnostic,S6_continuation_discriminator_v0,0.8139841688654353,0.6395446880269815,1.2727557340466793,0.17443948083845384
