split,exposed_episode_count,big_winner_episode_count_50h120,actionable_big_winner_episode_count_50h120,baseline_strict_captured_big_winner_count_50h120,actionable_uncaptured_big_winner_count_50h120,state_row_count,confirmed_exposed_episode_count,deterministic_candidate_count,model_candidate_count,estimated_free_parameter_count,events_per_candidate,events_per_free_parameter,deterministic_stage_allowed,full_model_stage_allowed,full_model_stage_executed,failure_reason
robustness,149,127,46,3,43,4591.0,339.0,3,0,0,42.333333333333336,inf,True,True,False,
train,236,185,73,6,67,4591.0,339.0,3,0,0,61.666666666666664,inf,True,True,False,
validation,104,43,16,2,14,4591.0,339.0,3,0,0,14.333333333333334,inf,True,False,False,insufficient_full_model_sample_power
