stage_order,stage_name,completed_at,model_training_executed,robustness_used_for_selection
1,entry_contract_validation,2026-05-09T11:10:34.088519+00:00,False,False
2,post_exposure_state_panel,2026-05-09T11:10:34.964137+00:00,False,False
3,deterministic_policy_simulation,2026-05-09T11:10:36.741450+00:00,False,False
4,regime_and_sample_power_audit,2026-05-09T11:10:36.745089+00:00,False,False
5,validation_selection_without_model,2026-05-09T11:10:37.096174+00:00,False,False
