policy_id,split,top1_instrument_year_exposure_share,top5_instrument_exposure_share
R03_original_H10_replay,robustness,0.020134228187919462,0.0738255033557047
R03_original_H10_replay,train,0.01694915254237288,0.05084745762711864
R03_original_H10_replay,validation,0.019230769230769232,0.09615384615384616
R04_R03_confirmed_H20_replay_diagnostic,robustness,0.020134228187919462,0.0738255033557047
R04_R03_confirmed_H20_replay_diagnostic,train,0.01694915254237288,0.05084745762711864
R04_R03_confirmed_H20_replay_diagnostic,validation,0.019230769230769232,0.09615384615384616
R04_R03_winner_state_hold_H120_replay_diagnostic,robustness,0.020134228187919462,0.0738255033557047
R04_R03_winner_state_hold_H120_replay_diagnostic,train,0.01694915254237288,0.05084745762711864
R04_R03_winner_state_hold_H120_replay_diagnostic,validation,0.019230769230769232,0.09615384615384616
partial_exit_after_profit_rule,robustness,0.020134228187919462,0.0738255033557047
partial_exit_after_profit_rule,train,0.01694915254237288,0.05084745762711864
partial_exit_after_profit_rule,validation,0.019230769230769232,0.09615384615384616
profit_lock_rule_simple,robustness,0.020134228187919462,0.0738255033557047
profit_lock_rule_simple,train,0.01694915254237288,0.05084745762711864
profit_lock_rule_simple,validation,0.019230769230769232,0.09615384615384616
trailing_stop_rule_simple,robustness,0.020134228187919462,0.0738255033557047
trailing_stop_rule_simple,train,0.01694915254237288,0.05084745762711864
trailing_stop_rule_simple,validation,0.019230769230769232,0.09615384615384616
