policy_id,action_type,action_reason,count,weighted_count,mean_pre_action_unrealized_return,mean_post_action_return_10d,mean_saved_loss,mean_missed_upside
R03_original_H10_replay,confirm_add,confirm_add,339,339,,,,
R03_original_H10_replay,fast_fail_exit,fast_fail_exit,66,66,,,,
R03_original_H10_replay,natural_exit,natural_exit,434,434,,,,
R03_original_H10_replay,probe_entry,probe_entry,489,489,,,,
R04_R03_confirmed_H20_replay_diagnostic,confirm_add,,339,339,,,,
R04_R03_confirmed_H20_replay_diagnostic,fast_fail_exit,,106,106,,,,
R04_R03_confirmed_H20_replay_diagnostic,natural_exit,,401,401,,,,
R04_R03_confirmed_H20_replay_diagnostic,probe_entry,,489,489,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,confirm_add,,339,339,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,confirm_add_price_floor_exit,,5,5,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,fast_fail_exit,,96,96,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,natural_exit,,352,352,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,probe_entry,,489,489,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,profit_floor_exit,,24,24,,,,
R04_R03_winner_state_hold_H120_replay_diagnostic,trailing_exit,,31,31,,,,
partial_exit_after_profit_rule,blocked_action,active_stop_floor_breach,6,6,,,,
partial_exit_after_profit_rule,blocked_action,r03_fast_fail,15,15,,,,
partial_exit_after_profit_rule,blocked_action,safety_cap,6,6,,,,
partial_exit_after_profit_rule,confirm_add,r03_confirm_add,339,339,,,,
partial_exit_after_profit_rule,fast_fail_exit,r03_fast_fail,134,134,,,,
partial_exit_after_profit_rule,forced_full_exit,active_stop_floor_breach,344,344,,,,
partial_exit_after_profit_rule,natural_exit,safety_cap,10,10,,,,
partial_exit_after_profit_rule,partial_exit,partial_exit_after_profit,348,348,,,,
partial_exit_after_profit_rule,probe_entry,r03_probe_entry,489,489,,,,
profit_lock_rule_simple,blocked_action,profit_lock_giveback,7,7,,,,
profit_lock_rule_simple,blocked_action,r03_fast_fail,15,15,,,,
profit_lock_rule_simple,blocked_action,safety_cap,6,6,,,,
profit_lock_rule_simple,confirm_add,r03_confirm_add,339,339,,,,
profit_lock_rule_simple,fast_fail_exit,r03_fast_fail,163,163,,,,
profit_lock_rule_simple,full_exit,profit_lock_giveback,266,266,,,,
profit_lock_rule_simple,natural_exit,safety_cap,57,57,,,,
profit_lock_rule_simple,partial_exit,profit_lock_partial,269,269,,,,
profit_lock_rule_simple,probe_entry,r03_probe_entry,489,489,,,,
trailing_stop_rule_simple,blocked_action,active_stop_floor_breach,6,6,,,,
trailing_stop_rule_simple,blocked_action,r03_fast_fail,15,15,,,,
trailing_stop_rule_simple,blocked_action,safety_cap,6,6,,,,
trailing_stop_rule_simple,confirm_add,r03_confirm_add,339,339,,,,
trailing_stop_rule_simple,fast_fail_exit,r03_fast_fail,115,115,,,,
trailing_stop_rule_simple,forced_full_exit,active_stop_floor_breach,365,365,,,,
trailing_stop_rule_simple,natural_exit,safety_cap,8,8,,,,
trailing_stop_rule_simple,probe_entry,r03_probe_entry,489,489,,,,
