label_or_metric_name,label_or_metric_type,reference_date_field,reference_price_field,horizon_trading_days,formula_text,sign_convention,used_for_training,used_for_validation_selection,used_for_robustness_gate,used_for_diagnostic_only
strict_big_winner_capture_50h120,evaluation,first_50pct_target_date,target_day_open_effective_exposure,120,exposure_weight_at_first_50pct_target_date > 0,higher_is_better,False,True,True,False
after_cost_return,metric,exit_date,execution_price,120,cum net return after costs,higher_is_better,False,True,True,False
