policy_id,split,policy_role,episode_count,exposed_episode_count,action_count,partial_exit_count,full_exit_count,tighten_stop_count,blocked_exit_count,blocked_exit_retry_count,terminal_blocked_exit_count,mean_after_cost_return,median_after_cost_return,p05_after_cost_return,p95_after_cost_return,max_adverse_excursion_mean,max_adverse_excursion_p95,strict_big_winner_capture_rate_50h120,strict_big_winner_capture_count_50h120,exposure_weighted_big_winner_capture_rate_50h120,partial_capture_rate_50h120,actionable_big_winner_episode_count_50h120,baseline_strict_captured_big_winner_count_50h120,actionable_uncaptured_big_winner_count_50h120,big_winner_episode_count_50h120,mean_exposure_days,median_exposure_days,capital_occupancy_proxy,turnover_proxy,turnover_ratio_vs_R03,exposure_day_multiple_vs_R03,top1_instrument_year_exposure_share,top5_instrument_exposure_share,matched_random_real_minus_p50,matched_random_real_minus_p95,track_B_one_capture_loss_exception_used,sample_power_stage,promotion_eligible_stage
R03_original_H10_replay,robustness,baseline,770,149,0,0,0,0,0,0,0,0.0057689560113419885,0.0,-0.018225416373091,0.0577714054833266,-0.003979754091699815,0.0,0.023622047244094488,3,0.01811023622047244,0.36220472440944884,46,3,43,127,1.7727272727272727,0.0,1.3490909090909093,8.044363636363636,1.0,1.0,0.020134228187919462,0.0738255033557047,,,False,deterministic_prephase_only,False
R03_original_H10_replay,train,baseline,1142,236,0,0,0,0,0,0,0,0.01285184640046513,0.0,-0.0026947702231088916,0.1076653064005026,-0.0032681475496267316,0.0,0.032432432432432434,6,0.024864864864864864,0.3945945945945946,73,6,67,185,1.9457092819614712,0.0,1.3781085814360772,7.979264448336252,1.0,1.0,0.01694915254237288,0.05084745762711864,,,False,deterministic_prephase_only,False
R03_original_H10_replay,validation,baseline,532,104,0,0,0,0,0,0,0,0.008591669687090502,0.0,-0.007542595729666961,0.08088874687186459,-0.003362382856446901,0.0,0.046511627906976744,2,0.030232558139534883,0.37209302325581395,16,2,14,43,1.887218045112782,0.0,1.39906015037594,7.92,1.0,1.0,0.019230769230769232,0.09615384615384616,,,False,deterministic_prephase_only,False
R04_R03_confirmed_H20_replay_diagnostic,robustness,diagnostic,770,149,149,0,149,0,0,0,0,0.014949239811898662,0.0,-0.0060845569264257994,0.11463856732430071,-0.004780176619632284,0.0,0.08661417322834646,11,0.08110236220472442,0.36220472440944884,46,3,43,127,3.083116883116883,0.0,2.6594805194805198,8.044363636363636,1.0,1.9713130535232959,0.020134228187919462,0.0738255033557047,,,False,deterministic_prephase_only,False
R04_R03_confirmed_H20_replay_diagnostic,train,diagnostic,1142,236,236,0,236,0,4,7,0,0.013279685912173439,0.0,-0.014142148197294212,0.12350378704073044,-0.004941053739535101,0.0,0.07027027027027027,13,0.0627027027027027,0.3945945945945946,73,6,67,185,3.2381786339754814,0.0,2.6705779334500876,7.979264448336252,1.0,1.9378574151734653,0.01694915254237288,0.05084745762711864,,,False,deterministic_prephase_only,False
R04_R03_confirmed_H20_replay_diagnostic,validation,diagnostic,532,104,104,0,104,0,0,0,0,0.00706263725844248,0.0,-0.014278732804190225,0.08032096962301315,-0.004738674980670158,0.0,0.06976744186046512,3,0.053488372093023255,0.37209302325581395,16,2,14,43,3.242481203007519,0.0,2.754323308270677,7.92,1.0,1.9686954185140402,0.019230769230769232,0.09615384615384616,,,False,deterministic_prephase_only,False
R04_R03_winner_state_hold_H120_replay_diagnostic,robustness,diagnostic,770,149,149,0,149,0,0,0,0,0.014428270430870095,0.0,-0.0060845569264257994,0.09351962282027515,-0.004528061919004813,0.0,0.08661417322834646,11,0.08110236220472442,0.36220472440944884,46,3,43,127,2.8844155844155845,0.0,2.4607792207792207,8.044363636363636,1.0,1.8240277242972658,0.020134228187919462,0.0738255033557047,,,False,deterministic_prephase_only,False
R04_R03_winner_state_hold_H120_replay_diagnostic,train,diagnostic,1142,236,236,0,236,0,4,8,0,0.01338632076302967,0.0,-0.01746472267798523,0.12349673101834911,-0.004555955739723389,0.0,0.07027027027027027,13,0.0627027027027027,0.3945945945945946,73,6,67,185,3.1199649737302977,0.0,2.552364273204904,7.979264448336252,1.0,1.8520777735417462,0.01694915254237288,0.05084745762711864,,,False,deterministic_prephase_only,False
R04_R03_winner_state_hold_H120_replay_diagnostic,validation,diagnostic,532,104,104,0,104,0,0,0,0,0.007340710013953111,0.0,-0.013453130210107099,0.08032096962301315,-0.004581936301859069,0.0,0.06976744186046512,3,0.053488372093023255,0.37209302325581395,16,2,14,43,3.193609022556391,0.0,2.705451127819549,7.92,1.0,1.9337632674996643,0.019230769230769232,0.09615384615384616,,,False,deterministic_prephase_only,False
partial_exit_after_profit_rule,robustness,deterministic,770,149,255,107,148,0,2,11,1,0.013534882819728337,0.0,-0.01814141162799788,0.12731267258938095,-0.004497990333376869,0.0,0.11811023622047244,15,0.05354330708661417,0.36220472440944884,46,3,43,127,4.893506493506494,0.0,3.2960389610389607,7.962545454545454,0.9898291293734743,2.4431555641124367,0.020134228187919462,0.0738255033557047,0.007502357949056985,0.005156326344333925,False,deterministic_prephase_only,True
